,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-19 11:00:23,39,80,39,15310,124045,17669,131,54,5620,5096,9.6%,43.7%,53.1%
Value,2020-05-19 11:01:54,37,80,39,12777,124045,17631,101,56,5429,4923,8.6%,43.8%,53.1%
Value,2020-05-19 11:03:23,42,80,39,9351,124045,17459,106,68,5505,5006,10.6%,43.9%,53.1%
Value,2020-05-19 11:04:38,52,80,39,14712,124045,17218,129,65,5711,5187,11.2%,43.8%,53.1%
Value,2020-05-19 11:06:03,41,80,39,12311,124045,17291,152,71,5498,4962,13.3%,43.8%,53.1%
Value,2020-05-19 11:07:34,40,80,39,9984,124045,17225,141,71,5508,5013,12.9%,43.8%,53.1%
Value,2020-05-19 11:09:46,40,80,39,16919,124045,17355,120,57,5348,4861,11.3%,43.8%,54.1%
Value,2020-05-19 11:11:19,47,80,40,36646,124045,17852,126,74,5396,4904,10.8%,43.8%,54.1%
Value,2020-05-19 11:13:22,35,80,40,16060,124045,18225,141,62,5417,4894,10.8%,43.7%,54.1%
Value,2020-05-19 11:14:58,33,80,40,18660,124045,18193,126,53,5222,4710,9.0%,43.7%,54.1%
Value,2020-05-19 11:16:43,36,80,40,15308,124045,18006,127,63,5275,4771,14.0%,43.7%,54.1%
Value,2020-05-19 11:18:47,34,80,40,39167,173137,18314,114,49,5214,4703,11.6%,43.9%,53.1%
Value,2020-05-19 11:20:27,43,80,40,5542,173137,18320,117,71,5372,4884,9.9%,43.9%,53.1%
Value,2020-05-19 11:22:11,43,80,40,16535,173137,18279,85,62,5066,4601,8.5%,43.8%,53.1%
Value,2020-05-19 11:23:57,32,80,40,7819,173137,17549,91,50,5205,4712,12.1%,43.8%,53.1%
Value,2020-05-19 11:25:55,41,80,40,9864,173137,17201,95,46,5233,4744,12.9%,43.8%,53.1%
Value,2020-05-19 11:27:36,43,80,40,10891,173137,17369,121,52,5383,4883,12.2%,43.8%,53.1%
Value,2020-05-19 11:29:02,45,80,40,11304,173137,17251,102,50,5593,5100,12.9%,43.8%,53.1%
