,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-06 00:25:15,2,16,3,164,83286,1130,63,10,609,555,5.2%,42.9%,49.9%
Value,2020-05-06 00:26:43,2,16,3,430,83286,999,55,9,563,518,8.0%,42.9%,49.9%
Value,2020-05-06 00:28:11,4,16,3,75,83286,989,54,5,593,545,5.9%,42.9%,49.9%
Value,2020-05-06 00:29:49,9,16,3,517,83286,980,57,4,631,580,6.6%,42.9%,49.9%
Value,2020-05-06 00:31:18,8,16,4,505,83286,985,56,5,600,549,5.0%,42.9%,49.9%
Value,2020-05-06 00:32:47,5,16,4,126,62707,747,63,7,582,526,8.2%,42.9%,49.9%
Value,2020-05-06 00:34:16,4,16,4,79,62707,743,61,9,568,517,9.1%,42.9%,49.9%
Value,2020-05-06 00:35:44,5,16,4,360,62707,745,68,22,613,567,10.4%,42.9%,49.9%
Value,2020-05-06 00:37:15,5,16,4,577,62707,745,70,16,608,555,10.7%,42.9%,49.9%
Value,2020-05-06 00:38:45,6,16,4,247,62707,733,67,16,617,568,9.6%,42.9%,49.9%
Value,2020-05-06 00:40:15,5,16,4,241,62707,734,65,12,634,578,4.0%,43.0%,49.9%
Value,2020-05-06 00:41:44,6,16,4,1072,62707,739,72,5,607,540,4.6%,42.9%,49.9%
Value,2020-05-06 00:43:13,7,16,4,318,62707,726,71,22,619,570,4.0%,42.9%,49.9%
Value,2020-05-06 00:44:45,5,16,4,346,62707,728,65,19,607,562,4.4%,42.9%,49.9%
Value,2020-05-06 00:46:14,4,16,4,76,62707,731,85,18,636,570,4.3%,42.9%,49.9%
Value,2020-05-06 00:47:43,5,16,4,655,62707,748,82,11,606,535,4.3%,42.9%,49.9%
Value,2020-05-06 00:49:12,5,16,4,210,62707,707,76,12,579,516,4.2%,42.9%,49.9%
Value,2020-05-06 00:50:40,5,16,4,185,62707,586,65,14,577,525,4.8%,42.9%,49.9%
Value,2020-05-06 00:52:06,4,16,4,86,62707,576,58,9,556,507,9.2%,42.9%,49.9%
Value,2020-05-06 00:53:36,7,16,4,149,62707,576,50,9,621,585,3.7%,42.9%,49.9%
Value,2020-05-06 00:55:06,7,16,4,637,62707,581,25,6,567,552,5.3%,42.9%,49.9%
Value,2020-05-06 00:56:37,4,16,4,305,13583,409,20,8,519,510,3.5%,42.9%,49.9%
Value,2020-05-06 00:58:08,4,16,4,2304,13583,474,13,9,502,496,4.3%,42.9%,49.9%
Value,2020-05-06 00:59:39,4,16,4,107,13583,438,9,8,508,507,9.8%,42.9%,50.8%
Value,2020-05-06 01:01:13,4,16,4,536,18011,473,13,4,530,522,7.5%,42.9%,50.8%
Value,2020-05-06 01:02:47,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,7.6%,42.9%,50.8%
Value,2020-05-06 01:04:22,13,23,5,844,114635,839,18,9,562,558,8.8%,42.9%,50.8%
Value,2020-05-06 01:05:55,9,23,5,139,114635,834,8,7,503,505,6.2%,42.9%,50.8%
Value,2020-05-06 01:07:27,9,23,5,88,114635,833,13,4,521,512,6.0%,42.9%,50.8%
Value,2020-05-06 01:09:03,9,23,5,87,114635,833,16,6,541,532,5.7%,42.9%,50.8%
Value,2020-05-06 01:10:35,10,23,5,341,114635,837,16,5,530,520,6.5%,42.9%,50.8%
Value,2020-05-06 01:12:08,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,4.5%,42.9%,50.8%
Value,2020-05-06 01:13:43,10,23,6,91,114635,799,20,6,540,529,7.5%,42.9%,50.8%
Value,2020-05-06 01:15:18,10,23,6,81,114635,789,20,8,518,509,6.4%,42.9%,50.8%
Value,2020-05-06 01:16:50,11,23,6,644,114635,804,24,7,529,515,4.6%,42.9%,50.8%
Value,2020-05-06 01:18:25,8,23,6,102,114635,802,21,5,529,516,6.1%,42.9%,50.8%
Value,2020-05-06 01:19:59,10,23,6,8068,114635,931,8,5,501,502,5.4%,42.9%,49.9%
Value,2020-05-06 01:21:32,10,23,7,5532,114635,1020,10,5,504,501,4.1%,42.9%,49.9%
Value,2020-05-06 01:23:03,10,23,7,833,114635,1022,12,10,512,510,5.4%,42.9%,49.9%
Value,2020-05-06 01:24:37,10,23,7,89,114635,1011,19,6,491,480,8.8%,42.9%,49.9%
Value,2020-05-06 01:26:10,10,23,7,418,114635,1014,12,6,480,478,6.4%,42.9%,49.9%
Value,2020-05-06 01:27:43,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,6.9%,42.9%,49.9%
Value,2020-05-06 01:29:17,15,24,7,10901,114635,1185,27,25,523,528,6.4%,43.0%,49.9%
Value,2020-05-06 01:30:49,8,24,7,541,114635,1186,19,17,487,492,5.6%,42.9%,49.9%
Value,2020-05-06 01:32:24,8,24,7,107,114635,1178,21,15,499,496,6.2%,43.0%,49.9%
Value,2020-05-06 01:33:55,8,24,7,156,114635,1183,17,7,481,474,3.9%,42.9%,49.9%
Value,2020-05-06 01:35:24,8,24,7,707,114635,1193,15,5,463,459,5.5%,42.9%,49.9%
Value,2020-05-06 01:36:52,7,24,8,171,114635,1182,14,5,478,476,5.9%,42.9%,49.9%
Value,2020-05-06 01:38:23,8,24,8,150,114635,1185,19,5,474,465,6.7%,42.9%,49.9%
