,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-09 06:12:24,4,16,3,222,47193,611,38,5,711,481,4.4%,43.0%,50.8%
Value,2020-05-09 06:14:22,3,16,3,74,47193,610,33,3,779,561,8.2%,43.0%,50.8%
Value,2020-05-09 06:16:20,4,16,3,816,47193,634,22,4,736,527,5.7%,43.0%,50.8%
Value,2020-05-09 06:18:15,3,16,3,57,47193,726,14,5,730,529,10.9%,43.1%,51.8%
Value,2020-05-09 06:20:14,3,16,3,56,47193,722,13,8,727,527,5.5%,43.1%,51.8%
Value,2020-05-09 06:22:14,4,16,3,103,47193,710,19,21,833,639,6.3%,43.1%,51.8%
Value,2020-05-09 06:24:10,7,16,3,1382,47193,748,17,21,817,628,5.3%,43.2%,50.8%
Value,2020-05-09 06:26:05,4,12,3,8781,47193,755,31,23,770,569,6.6%,43.1%,50.8%
Value,2020-05-09 06:28:06,2,12,3,6377,48078,1170,23,18,757,559,5.0%,43.1%,50.8%
Value,2020-05-09 06:30:03,5,12,3,250,48078,1079,25,16,758,554,4.4%,43.1%,50.8%
Value,2020-05-09 06:31:59,5,12,3,316,48078,1066,29,16,779,572,4.9%,43.1%,50.8%
Value,2020-05-09 06:34:10,3,12,3,75,48078,1093,22,12,728,527,4.7%,43.1%,50.8%
Value,2020-05-09 06:36:23,3,12,3,59,48078,975,20,5,693,486,4.4%,43.1%,50.8%
Value,2020-05-09 06:38:15,5,12,4,514,48078,946,13,3,722,517,8.7%,43.1%,50.8%
Value,2020-05-09 06:40:08,4,12,4,519,48078,961,19,12,796,595,3.9%,43.1%,50.8%
Value,2020-05-09 06:42:01,3,12,4,161,48078,975,24,7,754,544,3.5%,43.2%,50.8%
Value,2020-05-09 06:43:57,3,12,4,517,48078,985,20,4,724,517,4.1%,43.2%,50.8%
Value,2020-05-09 06:45:58,4,12,4,382,48078,961,33,5,752,532,4.7%,43.1%,50.8%
Value,2020-05-09 06:47:55,3,12,4,720,48078,972,13,8,732,532,5.1%,43.1%,50.8%
Value,2020-05-09 06:50:05,4,12,4,148,48078,958,18,7,752,545,3.9%,43.1%,50.8%
Value,2020-05-09 06:51:59,3,12,4,108,48078,946,25,12,721,514,4.8%,43.1%,50.8%
Value,2020-05-09 06:53:57,3,12,4,55,48078,930,23,11,732,526,3.8%,43.1%,50.8%
Value,2020-05-09 06:55:52,3,12,4,415,48078,939,23,8,733,524,5.4%,43.1%,50.8%
Value,2020-05-09 06:57:56,3,12,4,61,48078,802,21,6,771,560,4.3%,43.1%,50.8%
Value,2020-05-09 06:59:57,3,12,4,1464,48078,866,18,8,755,550,4.8%,43.1%,50.8%
Value,2020-05-09 07:01:52,8,12,4,1099,48078,876,27,12,809,600,6.8%,42.9%,50.8%
Value,2020-05-09 07:03:49,9,15,4,328,48078,871,35,15,787,578,13.8%,43.0%,51.8%
Value,2020-05-09 07:05:46,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,6.8%,43.0%,51.8%
Value,2020-05-09 07:07:43,7,15,4,625,48078,879,22,5,723,516,6.6%,43.0%,51.8%
Value,2020-05-09 07:09:38,10,15,4,438,48078,863,23,8,783,574,7.3%,43.1%,51.8%
