,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-01 00:01:20,7,24,7,177,18077,464,13,12,46954,457,8.9%,41.7%,43.2%
Value,2020-05-01 00:02:47,8,24,7,60,18077,449,8,8,46930,433,13.1%,41.7%,43.2%
Value,2020-05-01 00:04:14,8,24,7,887,18077,460,9,6,46938,422,5.5%,41.9%,43.2%
Value,2020-05-01 00:05:38,11,24,7,115,18077,447,15,10,46988,461,8.2%,41.7%,43.2%
Value,2020-05-01 00:07:06,10,24,8,439,18077,454,5,9,47023,490,6.3%,41.7%,43.2%
Value,2020-05-01 00:08:31,9,24,8,188,18077,450,9,7,47002,441,7.7%,41.7%,43.2%
Value,2020-05-01 00:09:57,12,24,8,449,18077,445,10,9,47084,514,8.6%,41.7%,43.2%
Value,2020-05-01 00:11:23,10,24,8,6342,37346,507,9,11,47094,502,8.1%,41.7%,43.2%
Value,2020-05-01 00:12:50,9,24,8,339,125882,1172,9,7,47103,487,5.7%,41.7%,43.2%
Value,2020-05-01 00:14:18,12,24,8,1224,125882,813,8,9,47082,455,5.8%,41.7%,43.2%
Value,2020-05-01 00:15:45,12,24,9,137,125882,803,6,11,47125,502,11.1%,41.8%,43.2%
Value,2020-05-01 00:17:25,4,21,8,81,125882,783,2,5,47084,452,5.4%,41.9%,43.2%
Value,2020-05-01 00:18:53,6,21,8,214,125882,785,8,6,47080,438,6.3%,41.9%,43.2%
Value,2020-05-01 00:20:20,3,18,8,294,125882,788,5,5,47100,452,11.3%,41.8%,43.2%
Value,2020-05-01 00:21:45,4,18,8,414,125882,792,9,6,47101,436,6.8%,41.8%,43.2%
Value,2020-05-01 01:04:03,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,10.2%,41.8%,44.2%
Value,2020-05-01 01:05:31,1,18,4,48,125882,878,13,9,47397,376,10.5%,41.8%,44.2%
Value,2020-05-01 01:07:02,1,18,4,116,125882,874,11,5,47375,350,10.5%,41.8%,44.2%
Value,2020-05-01 01:08:32,1,18,4,44,125882,866,12,9,47395,355,8.8%,41.8%,44.2%
Value,2020-05-01 01:10:02,1,18,3,128,125882,861,14,11,47400,339,8.3%,41.8%,44.2%
Value,2020-05-01 01:11:53,2,18,3,220,21764,412,13,11,47434,352,17.0%,41.8%,44.2%
Value,2020-05-01 01:13:21,4,18,3,399,21764,399,10,24,47448,364,5.2%,41.7%,44.2%
Value,2020-05-01 01:14:49,2,16,3,29,21764,378,10,17,47448,352,16.0%,41.7%,44.2%
Value,2020-05-01 01:16:15,1,16,3,33,21764,376,15,19,47476,363,5.1%,41.7%,44.2%
Value,2020-05-01 01:17:43,8,16,3,276,21764,381,10,4,47467,339,10.0%,41.7%,43.3%
Value,2020-05-01 01:19:09,6,16,3,446,21764,388,12,6,47488,340,6.4%,41.7%,43.3%
Value,2020-05-01 01:20:38,7,16,3,201,21764,383,12,6,47513,346,6.9%,41.7%,43.3%
Value,2020-05-01 01:22:04,6,16,3,235,21764,369,11,5,47518,336,9.6%,41.7%,43.3%
Value,2020-05-01 01:23:32,5,16,3,39,21764,364,9,3,47520,333,3.8%,41.7%,44.2%
Value,2020-05-01 01:25:02,7,16,3,36,21764,364,5,2,47535,326,6.3%,41.7%,44.2%
Value,2020-05-01 01:26:46,7,16,3,379,21764,343,3,3,47534,319,6.5%,41.7%,44.2%
Value,2020-05-01 01:28:14,7,16,3,135,21764,339,3,2,47547,316,7.3%,41.8%,43.3%
Value,2020-05-01 01:29:37,6,16,3,37,21764,324,5,8,47560,317,4.2%,41.7%,43.3%
Value,2020-05-01 01:31:05,6,16,3,374,21764,302,6,7,47592,323,14.6%,41.7%,43.3%
Value,2020-05-01 01:32:50,6,16,3,22,21764,304,7,9,47609,329,12.3%,41.7%,43.3%
Value,2020-05-01 01:34:32,7,16,3,56,21764,246,2,3,47628,329,23.7%,41.7%,43.3%
Value,2020-05-01 01:35:59,7,16,3,66,21764,246,4,3,47634,325,16.6%,41.7%,43.3%
Value,2020-05-01 01:37:22,7,16,3,181,21764,246,3,4,47639,330,11.0%,41.7%,43.3%
Value,2020-05-01 01:38:45,6,16,3,73,21764,233,3,4,47650,337,7.2%,41.8%,43.3%
Value,2020-05-01 01:40:16,6,16,4,874,5500,200,6,5,47674,341,11.0%,41.7%,43.3%
Value,2020-05-01 01:41:47,4,16,4,81,5500,188,6,3,47696,346,5.1%,41.7%,43.3%
Value,2020-05-01 01:43:20,9,16,4,26,5500,182,2,1,47689,339,10.5%,41.7%,43.3%
Value,2020-05-01 01:44:53,5,16,4,98,5500,185,4,1,47672,314,8.3%,41.8%,43.3%
Value,2020-05-01 01:46:21,5,16,4,28,5500,182,4,1,47704,330,12.0%,41.7%,43.3%
Value,2020-05-01 01:47:46,6,14,4,253,5330,169,3,3,47707,320,6.6%,41.7%,43.3%
Value,2020-05-01 01:49:32,5,14,4,184,5330,178,3,2,47721,312,23.5%,41.7%,43.3%
Value,2020-05-01 01:50:58,5,14,4,182,5330,179,10,8,47746,316,5.8%,41.7%,43.3%
Value,2020-05-01 01:52:26,7,14,4,158,5330,176,6,5,47772,330,5.0%,41.7%,43.3%
Value,2020-05-01 01:53:59,8,14,4,134,5021,162,6,6,47802,345,22.4%,41.7%,44.2%
Value,2020-05-01 01:55:31,5,14,4,197,10453,219,9,6,47795,331,6.3%,41.7%,44.2%
Value,2020-05-01 01:57:25,5,14,4,104,10453,191,3,4,47816,334,6.6%,41.7%,44.2%
Value,2020-05-01 01:58:52,6,14,5,1546,10453,215,4,5,47859,343,20.5%,41.7%,43.3%
Value,2020-05-01 02:00:21,7,14,5,230,10453,217,2,6,47879,349,13.3%,41.7%,43.3%
Value,2020-05-01 02:01:51,10,14,5,129,10453,221,4,9,47881,343,5.5%,41.8%,43.3%
Value,2020-05-01 02:03:21,6,14,5,37,10453,216,2,6,47918,362,4.0%,41.7%,43.3%
Value,2020-05-01 02:04:51,5,14,5,531,10453,225,3,5,47911,333,4.7%,41.7%,43.3%
Value,2020-05-01 02:06:22,6,14,5,65,10453,224,2,3,47954,359,3.9%,41.7%,43.3%
Value,2020-05-01 02:07:47,5,14,5,185,10453,226,3,2,47951,347,7.4%,41.7%,43.3%
Value,2020-05-01 02:09:33,6,14,5,110,10453,223,2,4,47966,351,6.1%,41.7%,43.3%
Value,2020-05-01 02:11:09,9,14,6,847,10453,250,5,5,47984,369,7.6%,41.7%,43.3%
Value,2020-05-01 02:12:51,7,14,6,407,10453,239,4,7,47996,362,24.6%,41.9%,43.3%
Value,2020-05-01 02:14:21,5,14,6,289,10453,246,2,5,48013,354,13.3%,41.7%,43.3%
Value,2020-05-01 02:15:47,7,14,6,171,10453,250,3,6,48045,376,10.3%,41.7%,43.3%
Value,2020-05-01 02:17:14,6,14,6,112,10453,247,4,6,48020,349,4.6%,41.7%,43.3%
Value,2020-05-01 02:18:44,1,14,6,146,10453,242,7,3,48039,343,5.4%,41.7%,43.3%
Value,2020-05-01 02:20:16,0.0%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,14.3%,41.7%,43.3%
Value,2020-05-01 02:21:57,3,14,5,1106,10453,256,16,6,48091,354,6.3%,41.7%,43.3%
Value,2020-05-01 02:23:32,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,3.7%,41.7%,44.2%
Value,2020-05-01 02:25:26,3,14,5,37,10453,259,21,6,48106,350,4.8%,41.7%,44.2%
Value,2020-05-01 02:27:29,1,14,5,83,10453,258,14,5,48106,345,3.2%,41.7%,44.2%
Value,2020-05-01 02:29:15,1,14,5,206,10453,260,14,3,48116,327,8.0%,41.7%,44.2%
Value,2020-05-01 02:31:30,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,4.7%,41.7%,44.2%
Value,2020-05-01 02:34:05,1,14,5,67,10453,258,8,6,48169,344,4.8%,41.8%,44.2%
Value,2020-05-01 02:35:46,2,14,4,76,10453,258,14,6,48191,346,5.7%,41.7%,44.2%
Value,2020-05-01 02:37:21,2,14,4,573,10453,276,10,5,48184,339,10.3%,41.7%,44.2%
Value,2020-05-01 02:38:49,4,14,4,3712,21745,327,9,2,48185,320,11.7%,41.7%,44.2%
Value,2020-05-01 02:40:27,2,14,4,58,21745,317,14,6,48235,344,6.8%,41.7%,44.2%
Value,2020-05-01 02:42:06,3,14,4,784,21745,345,11,4,48216,328,7.7%,41.8%,44.2%
Value,2020-05-01 02:43:39,4,14,4,122,21745,328,18,7,48218,320,6.6%,41.7%,44.2%
Value,2020-05-01 02:45:13,3,14,4,109,21745,332,18,25,48235,349,7.0%,41.7%,44.2%
Value,2020-05-01 02:46:45,2,14,4,165,21745,330,24,20,48250,344,5.7%,41.7%,44.2%
Value,2020-05-01 02:48:18,2,14,4,36,21745,317,15,17,48242,334,15.6%,41.7%,44.2%
