,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-09 06:13:42,10,17,6,2353,15646,893,7,11,788,464,5.7%,41.6%,61.8%
Value,2020-05-09 06:15:41,7,17,6,425,15646,885,7,9,784,458,5.3%,41.6%,61.8%
Value,2020-05-09 06:17:36,7,17,6,712,15646,901,9,7,777,449,9.6%,41.7%,62.9%
Value,2020-05-09 06:19:31,7,17,6,429,15646,912,6,2,777,448,4.6%,41.7%,62.9%
Value,2020-05-09 06:21:34,4,17,6,1277,15646,949,7,6,781,453,3.9%,41.7%,62.9%
Value,2020-05-09 06:23:30,7,17,6,529,15646,964,1,5,766,440,5.7%,41.7%,61.9%
Value,2020-05-09 06:25:27,6,17,6,289,15646,972,4,3,762,432,5.3%,41.7%,61.9%
Value,2020-05-09 06:27:26,4,17,6,879,15646,1002,10,2,777,447,6.0%,41.7%,61.9%
Value,2020-05-09 06:29:23,4,17,6,97,15646,991,5,6,779,453,6.5%,41.8%,61.9%
Value,2020-05-09 06:31:21,6,17,6,877,15646,1000,8,5,798,467,2.9%,41.8%,61.9%
Value,2020-05-09 06:33:21,4,17,6,1095,15646,1049,6,3,810,479,2.8%,41.7%,61.9%
Value,2020-05-09 06:35:44,6,17,6,543,15646,1046,8,5,808,478,3.8%,41.7%,61.9%
Value,2020-05-09 06:37:36,6,16,6,65,15298,880,8,7,782,454,5.2%,41.7%,61.9%
Value,2020-05-09 06:39:32,2,16,5,1132,15298,869,6,6,777,449,3.2%,41.7%,61.9%
Value,2020-05-09 06:41:25,1,16,5,48,9034,668,7,4,775,444,4.1%,41.7%,61.9%
Value,2020-05-09 06:43:17,3,16,5,131,9034,668,5,4,780,450,3.5%,41.7%,61.9%
Value,2020-05-09 06:45:19,3,16,5,235,9034,655,49,8,827,457,3.9%,41.7%,61.9%
Value,2020-05-09 06:47:18,2,16,5,152,9034,661,48,7,836,467,5.4%,41.7%,61.9%
Value,2020-05-09 06:49:14,2,16,5,119,9034,664,35,7,816,461,2.2%,41.7%,61.9%
Value,2020-05-09 06:51:21,2,16,5,104,9034,690,4,12,757,436,5.0%,41.7%,61.9%
Value,2020-05-09 06:53:19,2,16,5,91,9034,690,5,6,787,461,5.5%,41.7%,61.9%
Value,2020-05-09 06:55:12,3,16,5,66,9034,689,9,4,790,458,2.0%,41.7%,61.9%
Value,2020-05-09 06:57:13,2,16,5,117,9034,694,7,3,788,456,2.9%,41.7%,61.9%
Value,2020-05-09 06:59:17,4,16,5,103,9034,687,7,7,820,491,2.2%,41.7%,61.9%
Value,2020-05-09 07:01:16,5,16,5,90,9034,668,6,8,845,518,2.8%,41.7%,61.9%
Value,2020-05-09 07:03:10,4,16,5,85,9034,681,4,7,811,485,7.8%,41.7%,62.9%
Value,2020-05-09 07:05:05,5,16,4,2716,11971,728,4,4,811,482,4.6%,41.7%,62.9%
Value,2020-05-09 07:07:04,5,16,4,244,11971,726,5,4,800,470,4.1%,41.7%,62.9%
Value,2020-05-09 07:09:02,5,16,4,821,11971,742,8,6,806,476,4.7%,41.7%,62.9%
Value,2020-05-09 07:10:54,4,16,4,427,11971,648,6,4,805,476,4.3%,41.7%,62.9%
Value,2020-05-09 07:12:45,5,16,4,2170,11971,579,3,6,797,473,4.5%,41.8%,62.9%
Value,2020-05-09 07:14:42,5,16,4,110,11971,547,16,4,816,477,4.2%,41.8%,62.9%
Value,2020-05-09 07:16:41,5,16,4,316,11971,520,28,5,850,500,5.0%,41.8%,62.9%
Value,2020-05-09 07:18:34,7,16,4,849,11971,525,34,6,889,535,4.0%,41.8%,61.9%
Value,2020-05-09 07:20:30,4,16,4,66,11971,510,19,5,843,502,4.9%,41.8%,61.9%
Value,2020-05-09 07:22:31,6,16,4,10656,62909,1017,25,4,849,511,6.2%,41.8%,61.9%
Value,2020-05-09 07:24:34,4,14,4,72,62909,741,23,5,839,494,3.7%,41.8%,61.9%
Value,2020-05-09 07:26:31,4,14,4,78,62909,720,34,4,857,500,5.7%,41.7%,61.9%
Value,2020-05-09 07:28:23,4,14,4,72,62909,719,35,7,836,479,4.9%,41.7%,61.9%
Value,2020-05-09 07:30:15,4,14,4,422,62909,726,37,5,845,485,2.0%,41.7%,61.9%
Value,2020-05-09 07:32:14,4,14,4,107,62909,677,39,5,875,514,3.0%,41.7%,61.9%
Value,2020-05-09 07:34:12,4,14,4,74,62909,661,38,4,879,518,5.3%,41.8%,62.9%
Value,2020-05-09 07:36:10,4,14,4,104,62909,663,41,5,878,517,6.5%,41.8%,62.9%
Value,2020-05-09 07:38:18,9,14,4,2773,62909,758,47,18,952,599,2.5%,41.8%,62.9%
Value,2020-05-09 07:40:26,9,17,4,1547,62909,765,45,15,953,598,3.9%,41.8%,62.9%
Value,2020-05-09 07:42:24,10,17,4,275,62909,831,45,9,951,587,3.3%,41.8%,62.9%
Value,2020-05-09 07:44:21,11,17,5,847,62909,845,41,11,946,591,3.7%,41.8%,62.9%
Value,2020-05-09 07:46:18,10,17,5,121,62909,867,47,9,989,626,4.1%,41.8%,62.9%
Value,2020-05-09 07:48:23,12,17,5,219,132083,1243,49,16,974,614,4.8%,41.8%,62.9%
Value,2020-05-09 07:50:19,15,20,6,1093,132083,1246,71,16,999,637,6.3%,41.8%,62.9%
Value,2020-05-09 07:52:18,15,22,6,1410,132083,1287,83,20,1098,726,8.3%,41.8%,62.9%
Value,2020-05-09 07:54:11,18,30,7,5326,132083,1475,69,22,1073,710,3.3%,41.8%,62.9%
Value,2020-05-09 07:56:07,15,30,7,705,132083,1516,78,34,1176,814,4.2%,41.8%,62.9%
Value,2020-05-09 07:58:07,14,30,7,1785,132083,1626,67,20,1139,768,8.8%,41.8%,62.7%
Value,2020-05-09 08:00:05,15,41,8,3125,132083,1726,56,17,1072,708,2.9%,41.9%,62.9%
Value,2020-05-09 08:02:00,14,41,8,1923,132083,1754,76,20,1176,793,4.0%,41.8%,62.9%
