,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-04-27 00:00:39,5,15,3,294,16852,333,5,8,47478,363,6.6%,41.7%,42.1%
Value,2020-04-27 00:02:03,7,23,3,929,16852,362,4,11,47510,382,13.4%,41.7%,42.1%
Value,2020-04-27 00:03:26,3,23,3,190,16852,366,3,8,47505,357,11.6%,41.7%,42.1%
Value,2020-04-27 00:04:51,3,23,3,702,16852,390,1,6,47512,344,6.3%,41.8%,42.1%
Value,2020-04-27 00:06:13,5,23,3,2295,16852,406,4,4,47565,375,6.6%,41.7%,42.1%
Value,2020-04-27 00:07:39,7,23,3,561,16852,427,5,6,47620,409,8.7%,41.7%,42.1%
Value,2020-04-27 00:09:03,4,23,3,57,16852,418,9,8,47633,406,5.0%,41.7%,42.1%
Value,2020-04-27 00:10:28,7,23,3,1109,16852,436,3,9,47626,388,3.8%,41.7%,42.1%
Value,2020-04-27 00:11:51,3,23,3,270,13458,395,1,11,47621,368,8.9%,41.8%,43.1%
Value,2020-04-27 00:13:15,3,23,3,85,13458,399,2,9,47610,353,9.4%,41.8%,43.1%
Value,2020-04-27 00:14:36,3,23,4,73,13458,399,2,5,47614,335,10.1%,41.8%,43.1%
Value,2020-04-27 00:16:01,3,23,4,30,13458,398,2,2,47612,331,4.9%,41.8%,43.1%
Value,2020-04-27 00:17:25,2,23,3,41,13458,395,2,2,47623,326,5.7%,41.8%,42.1%
Value,2020-04-27 00:18:50,4,23,4,42,13458,393,1,2,47636,324,9.9%,41.8%,42.1%
Value,2020-04-27 00:20:12,3,23,4,137,13458,395,1,5,47637,316,6.6%,41.8%,42.1%
Value,2020-04-27 00:21:33,3,23,4,48,13458,394,0,5,47647,311,5.2%,41.8%,42.1%
Value,2020-04-27 00:22:56,3,23,4,43,13458,393,1,3,47654,303,6.7%,41.8%,42.1%
Value,2020-04-27 00:24:20,3,23,4,224,13458,365,1,2,47687,324,5.0%,41.8%,42.1%
Value,2020-04-27 00:25:43,3,23,4,33,13458,365,2,2,47716,333,3.4%,41.8%,42.1%
Value,2020-04-27 00:27:06,1,23,4,42,13458,364,4,4,47718,320,9.0%,41.8%,42.1%
Value,2020-04-27 00:28:32,5,23,4,1687,13458,423,7,3,47781,361,10.6%,41.8%,42.1%
Value,2020-04-27 00:29:54,4,23,4,2885,13458,462,11,6,47813,373,4.4%,41.8%,42.1%
Value,2020-04-27 00:31:16,7,23,4,4101,13458,538,12,8,47837,381,4.3%,41.8%,42.1%
Value,2020-04-27 00:32:42,4,23,4,1661,13458,559,5,12,47793,338,10.2%,41.8%,42.1%
Value,2020-04-27 00:34:08,1,23,4,648,13458,548,3,10,47786,330,8.1%,41.7%,42.1%
Value,2020-04-27 00:35:32,2,23,4,730,13458,549,9,11,47827,347,5.8%,41.7%,42.1%
Value,2020-04-27 00:37:00,2,23,4,350,13458,540,10,13,47860,366,6.9%,41.7%,42.1%
Value,2020-04-27 00:38:27,2,23,4,5790,23699,656,13,22,47863,364,9.3%,41.7%,42.1%
Value,2020-04-27 00:39:50,6,23,4,1167,28547,766,8,19,47847,348,5.2%,41.7%,42.1%
Value,2020-04-27 00:41:17,1,23,4,247,28547,736,8,14,47845,332,6.6%,41.7%,42.1%
Value,2020-04-27 00:42:40,2,23,4,133,28547,737,24,7,47868,323,9.6%,41.7%,43.1%
Value,2020-04-27 00:44:06,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,3.9%,41.7%,43.1%
Value,2020-04-27 00:45:30,12,39,4,559,28547,781,34,7,47921,355,10.4%,41.7%,43.1%
Value,2020-04-27 00:46:55,10,39,4,255,28547,779,37,6,47925,339,6.8%,41.7%,43.1%
Value,2020-04-27 00:48:23,3,39,4,84,28547,786,40,6,47943,338,7.2%,41.7%,43.1%
Value,2020-04-27 00:49:50,1,39,4,105,28547,752,36,7,47928,324,4.7%,41.7%,43.1%
Value,2020-04-27 00:51:16,1,39,4,52,28547,756,32,5,47934,314,9.6%,41.7%,43.1%
Value,2020-04-27 00:52:41,1,39,4,50,28547,736,34,5,47950,316,6.6%,41.7%,43.1%
Value,2020-04-27 00:54:06,1,39,4,122,28547,724,36,5,47950,303,9.9%,41.7%,43.1%
Value,2020-04-27 00:55:30,3,39,4,38,28547,722,31,2,47969,304,8.5%,41.7%,43.1%
Value,2020-04-27 00:56:53,2,39,4,33,28547,719,31,2,47981,296,4.1%,41.7%,43.1%
Value,2020-04-27 00:58:20,2,39,4,97,28547,716,35,5,48007,300,10.5%,41.7%,43.1%
Value,2020-04-27 00:59:45,1,39,3,33,28547,709,34,5,48035,305,6.6%,41.7%,43.1%
Value,2020-04-27 01:01:10,2,39,3,121,28547,687,33,5,48034,290,4.5%,41.7%,43.1%
Value,2020-04-27 01:02:40,2,39,3,120,28547,670,33,4,48056,292,6.7%,41.7%,42.2%
Value,2020-04-27 01:04:05,1,39,3,21,28547,656,31,4,48067,288,9.8%,41.7%,42.2%
Value,2020-04-27 01:05:30,2,39,3,33,28547,656,49,4,48097,280,5.6%,41.8%,42.2%
Value,2020-04-27 01:06:52,1,39,3,24,28547,602,39,5,48101,279,5.3%,41.8%,42.1%
Value,2020-04-27 01:08:22,2,39,3,88,28547,602,42,5,48118,280,4.9%,41.7%,42.1%
Value,2020-04-27 01:09:49,2,39,3,34,28547,583,37,4,48135,293,6.6%,41.7%,42.1%
Value,2020-04-27 01:11:23,5,39,3,1562,28547,613,51,3,48167,303,5.2%,41.7%,42.1%
Value,2020-04-27 01:12:55,1,39,3,28,28547,604,35,2,48150,292,8.9%,41.7%,43.1%
Value,2020-04-27 01:14:23,5,39,3,616,28547,613,42,2,48160,288,7.5%,41.7%,43.1%
Value,2020-04-27 01:15:50,2,39,3,81,28547,615,46,2,48169,294,11.2%,41.7%,43.1%
Value,2020-04-27 01:17:20,2,39,3,50,28547,669,40,5,48152,281,5.0%,41.7%,43.1%
Value,2020-04-27 01:18:50,4,39,3,57,28547,670,42,5,48162,277,5.9%,41.7%,43.1%
Value,2020-04-27 01:20:19,2,39,3,24,28547,667,42,5,48175,280,3.6%,41.7%,43.1%
Value,2020-04-27 01:21:47,1,39,3,21,28547,666,42,3,48191,281,7.8%,41.7%,42.2%
Value,2020-04-27 01:23:14,2,39,3,34,28547,666,40,2,48223,292,9.2%,41.7%,42.2%
Value,2020-04-27 01:24:41,1,39,3,18,28547,701,38,3,48235,291,4.7%,41.7%,42.2%
Value,2020-04-27 01:26:09,2,39,3,18,28547,701,39,3,48266,303,4.4%,41.7%,42.2%
Value,2020-04-27 01:27:40,5,39,3,928,28547,692,45,9,48291,318,6.5%,41.7%,42.2%
Value,2020-04-27 01:29:08,4,39,3,54,28547,670,37,7,48280,293,7.8%,41.7%,42.2%
Value,2020-04-27 01:30:35,2,39,3,45,28547,570,49,6,48309,291,5.4%,41.7%,42.2%
Value,2020-04-27 01:32:00,2,39,3,128,28547,546,46,7,48324,303,7.1%,41.9%,42.2%
Value,2020-04-27 01:33:22,2,39,2,256,28547,538,45,6,48341,292,4.1%,41.7%,42.2%
Value,2020-04-27 01:34:47,2,39,3,112,28547,519,44,6,48368,299,7.2%,41.8%,42.2%
Value,2020-04-27 01:36:12,2,39,3,88,28547,513,48,7,48412,322,7.6%,41.8%,42.2%
Value,2020-04-27 01:37:37,2,39,2,201,28547,390,44,7,48401,307,4.2%,41.7%,42.2%
Value,2020-04-27 01:39:05,1,39,2,320,14709,300,42,5,48383,287,5.7%,41.7%,42.2%
Value,2020-04-27 01:40:33,3,39,2,21,14709,277,46,3,48396,284,9.3%,41.7%,42.2%
Value,2020-04-27 01:42:02,2,39,2,1729,14709,330,38,4,48389,277,8.4%,41.7%,42.2%
Value,2020-04-27 01:43:33,1,39,2,26,14709,281,25,4,48411,303,5.7%,41.7%,42.2%
Value,2020-04-27 01:45:02,1,39,2,112,14709,278,14,4,48394,289,7.5%,41.7%,42.2%
Value,2020-04-27 01:46:31,1,14,2,129,14709,274,16,5,48406,291,6.7%,41.7%,42.2%
Value,2020-04-27 01:48:14,4,14,2,1373,14709,295,6,5,48387,277,5.4%,41.7%,43.1%
Value,2020-04-27 01:49:48,1,14,2,28,14709,290,11,5,48399,278,5.6%,41.7%,43.1%
Value,2020-04-27 01:51:44,1,14,2,38,14709,289,15,4,48421,284,5.5%,41.7%,42.2%
Value,2020-04-27 01:53:51,0,14,2,23,14709,292,9,4,48433,284,10.0%,41.8%,42.2%
Value,2020-04-27 01:55:35,1,14,2,18,14709,291,15,4,48465,285,6.7%,41.7%,42.2%
Value,2020-04-27 01:57:05,0,14,2,33,14709,291,11,3,48477,286,10.1%,41.7%,42.2%
Value,2020-04-27 01:58:41,2,14,2,38,14709,290,13,4,48493,282,5.9%,41.7%,42.2%
Value,2020-04-27 02:00:32,0.0%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,5.0%,41.7%,42.2%
Value,2020-04-27 02:02:21,2,14,2,430,14709,287,7,17,48544,312,10.6%,41.7%,42.2%
Value,2020-04-27 02:04:01,3,15,2,285,14709,310,9,9,48515,271,12.1%,41.7%,42.2%
Value,2020-04-27 02:05:57,0,15,2,154,14709,315,3,6,48534,267,4.6%,41.7%,42.2%
Value,2020-04-27 02:08:07,2,15,2,140,14709,319,1,3,48553,256,7.4%,41.7%,42.2%
Value,2020-04-27 02:10:00,5,25,2,219,14709,316,5,6,48586,263,5.5%,41.7%,42.2%
Value,2020-04-27 02:11:43,0,25,2,15,14709,289,1,4,48600,271,5.1%,41.7%,42.2%
Value,2020-04-27 02:13:24,2,25,2,128,14709,292,7,6,48612,271,7.7%,41.8%,43.1%
Value,2020-04-27 02:15:07,1,25,2,183,16626,333,4,3,48620,262,4.8%,41.8%,43.1%
Value,2020-04-27 02:16:54,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,5.4%,41.8%,43.1%
Value,2020-04-27 02:18:44,1,25,2,32,16626,277,5,7,48641,266,5.4%,41.8%,43.1%
Value,2020-04-27 02:20:24,1,25,2,108,16626,278,4,8,48647,273,4.4%,41.8%,43.1%
Value,2020-04-27 02:22:07,0,25,2,101,16626,280,5,6,48652,264,7.1%,41.8%,42.2%
Value,2020-04-27 02:24:09,1,25,2,133,16626,242,3,6,48693,271,5.2%,41.8%,42.2%
Value,2020-04-27 02:25:56,6,25,2,707,69634,452,2,7,48695,269,7.3%,41.8%,42.2%
Value,2020-04-27 02:27:39,1,25,2,21,69634,427,0,6,48713,261,8.2%,41.7%,42.2%
Value,2020-04-27 02:29:20,2,25,2,71,69634,428,10,16,48757,286,8.5%,41.8%,42.2%
Value,2020-04-27 02:30:53,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,6.3%,41.8%,42.2%
Value,2020-04-27 02:32:32,2,25,2,45,69634,426,2,14,48787,278,8.0%,41.7%,42.2%
Value,2020-04-27 02:34:06,0,25,2,51,69634,422,3,7,48795,262,4.0%,41.7%,42.2%
Value,2020-04-27 02:35:50,0,25,2,166,69634,425,7,6,48802,257,7.5%,41.8%,42.2%
Value,2020-04-27 02:37:30,1,25,2,351,69634,421,3,5,48803,252,11.8%,41.7%,42.2%
Value,2020-04-27 02:39:06,3,25,2,4278,69634,492,4,5,48812,245,4.5%,41.7%,42.2%
Value,2020-04-27 02:40:42,1,25,2,378,69634,477,3,5,48841,256,13.4%,41.7%,42.2%
Value,2020-04-27 02:42:21,3,25,2,341,69634,473,10,4,48877,261,14.8%,41.8%,43.1%
Value,2020-04-27 02:43:55,1,25,2,45,69634,467,20,5,48915,268,6.1%,41.7%,43.1%
Value,2020-04-27 02:45:23,1,25,2,48,69634,460,35,5,48937,261,5.7%,41.8%,43.1%
Value,2020-04-27 02:46:55,1,25,2,49,69634,458,34,4,48973,273,7.0%,41.7%,43.1%
Value,2020-04-27 02:48:26,1,25,2,76,69634,437,37,5,48997,277,5.7%,41.7%,42.2%
Value,2020-04-27 02:50:18,1,25,2,44,69634,437,27,6,49010,281,5.3%,41.8%,42.2%
Value,2020-04-27 02:51:57,3,25,2,32,69634,437,32,5,49012,273,6.1%,41.8%,42.2%
Value,2020-04-27 02:53:25,1,25,2,64,69634,434,25,6,49011,267,9.5%,41.8%,42.2%
Value,2020-04-27 02:54:57,1,25,2,42,69634,435,21,5,49018,266,9.5%,41.8%,42.2%
Value,2020-04-27 02:56:32,1,25,2,54,69634,435,3,6,49019,280,5.3%,41.7%,42.2%
Value,2020-04-27 02:58:02,4,25,2,56,69634,448,9,3,49018,253,7.1%,41.9%,42.2%
Value,2020-04-27 02:59:38,5,25,2,139,69634,452,4,2,49006,236,4.1%,41.8%,42.2%
Value,2020-04-27 03:01:27,5,25,2,38,69634,452,3,4,49018,239,6.8%,41.8%,42.2%
Value,2020-04-27 03:02:59,7,25,2,243,69634,443,0,5,49018,229,7.4%,41.8%,42.2%
Value,2020-04-27 03:04:40,5,25,2,270,69634,452,3,5,49025,222,7.1%,41.8%,42.2%
Value,2020-04-27 03:06:21,7,25,2,2419,69634,491,3,4,49022,211,4.3%,41.8%,42.2%
Value,2020-04-27 03:08:06,6,25,2,983,69634,547,4,1,49024,194,6.0%,41.8%,43.1%
Value,2020-04-27 03:09:35,6,12,2,4282,69634,678,3,1,49015,179,6.2%,41.8%,43.1%
