,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-04-26 00:20:10,4,11,3,3149,126280,713,11,6,34752,394,3.4%,41.3%,42.1%
Value,2020-04-26 00:21:32,3,11,3,43,126280,713,14,6,34786,393,3.4%,41.3%,42.1%
Value,2020-04-26 00:22:54,0.0%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,4.8%,41.3%,42.1%
Value,2020-04-26 00:24:18,5,11,3,40,126280,713,7,2,34790,387,6.1%,41.3%,42.1%
Value,2020-04-26 00:25:40,5,11,3,134,126280,715,17,4,34815,402,4.2%,41.3%,42.1%
Value,2020-04-26 00:27:00,1,11,3,3520,126280,771,17,6,34811,383,5.4%,41.3%,42.1%
Value,2020-04-26 00:28:21,3,11,3,220,126280,774,27,9,34878,442,4.7%,41.3%,42.1%
Value,2020-04-26 00:29:45,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,4.8%,41.3%,42.1%
Value,2020-04-26 00:31:11,6,11,3,3353,126280,857,21,10,34878,411,5.4%,41.3%,42.1%
Value,2020-04-26 00:32:34,7,11,4,476,126280,871,14,6,34867,393,7.1%,41.3%,42.1%
Value,2020-04-26 00:34:01,7,11,4,298,126280,877,21,5,34890,401,14.0%,41.3%,43.0%
Value,2020-04-26 00:35:24,6,11,4,2910,126280,919,10,7,34890,392,6.0%,41.3%,43.0%
Value,2020-04-26 00:36:50,7,11,4,250,126280,918,15,5,34894,382,10.9%,41.3%,43.0%
Value,2020-04-26 00:38:15,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,5.5%,41.3%,42.1%
Value,2020-04-26 00:39:37,5,11,4,27,126280,992,15,5,34889,368,5.4%,41.4%,42.1%
Value,2020-04-26 00:41:00,6,11,4,150,126280,993,16,3,34914,376,5.6%,41.3%,42.1%
Value,2020-04-26 00:42:25,5,11,4,62,126280,992,5,5,34920,378,6.3%,41.3%,42.1%
Value,2020-04-26 00:43:50,6,11,4,76,126280,994,11,7,34963,402,5.3%,41.3%,42.1%
Value,2020-04-26 00:45:15,5,11,4,2931,126280,1039,7,5,34960,393,11.0%,41.3%,42.1%
Value,2020-04-26 00:46:38,10,13,4,487,126280,1037,21,6,35035,450,10.1%,41.3%,42.1%
Value,2020-04-26 00:48:01,8,13,4,831,126280,1036,22,8,34999,414,7.1%,41.3%,42.1%
Value,2020-04-26 00:49:24,7,13,4,2795,126280,1092,26,10,35013,426,5.6%,41.3%,42.1%
Value,2020-04-26 00:50:49,7,13,4,85,126280,1060,25,8,35017,411,3.7%,41.3%,42.1%
Value,2020-04-26 00:52:13,6,13,4,404,126280,1060,15,7,34985,383,5.7%,41.3%,42.1%
Value,2020-04-26 00:53:36,7,13,4,9432,126280,1363,9,5,34979,358,5.1%,41.3%,42.1%
Value,2020-04-26 00:54:59,6,13,4,117,126280,1195,11,6,34987,354,5.5%,41.3%,42.1%
Value,2020-04-26 00:56:23,6,13,5,29,126280,1193,10,5,34986,352,7.5%,41.3%,42.1%
Value,2020-04-26 00:57:47,6,13,5,2779,126280,1284,11,5,34976,337,5.2%,41.3%,42.1%
Value,2020-04-26 00:59:13,5,13,5,67,126280,1239,8,6,35000,346,8.4%,41.2%,42.7%
Value,2020-04-26 01:00:43,6,13,5,39,126280,1232,3,7,34993,333,6.7%,41.4%,43.0%
Value,2020-04-26 01:02:14,5,13,5,2981,126280,1327,5,9,35003,339,5.6%,41.4%,43.0%
Value,2020-04-26 01:03:44,6,13,5,64,126280,1279,6,7,35020,350,6.2%,41.4%,43.0%
Value,2020-04-26 01:05:09,6,13,5,49,126280,1278,5,7,35053,375,9.3%,41.3%,43.0%
Value,2020-04-26 01:06:36,9,13,5,345,126280,1328,8,7,35080,392,6.5%,41.3%,43.0%
Value,2020-04-26 01:08:00,7,13,5,288,126280,1334,6,4,35028,332,8.7%,41.3%,43.0%
Value,2020-04-26 01:09:23,9,14,5,1109,126280,1350,10,6,35064,349,11.2%,41.3%,42.1%
Value,2020-04-26 01:10:45,7,14,5,95,38047,1002,9,8,35082,355,5.8%,41.3%,42.1%
Value,2020-04-26 01:12:09,6,14,5,115,38047,1001,11,9,35095,366,5.6%,41.4%,42.1%
Value,2020-04-26 01:13:35,7,14,5,58,38047,1034,7,8,35077,343,11.1%,41.3%,42.1%
Value,2020-04-26 01:14:57,6,14,5,110,38047,1035,6,6,35067,319,9.4%,41.3%,42.1%
Value,2020-04-26 01:16:18,6,14,5,28,38047,993,10,3,35082,321,8.4%,41.4%,42.1%
Value,2020-04-26 01:17:39,5,14,5,23,38047,989,4,3,35089,322,8.7%,41.3%,42.1%
Value,2020-04-26 01:19:01,8,14,5,422,38047,976,6,4,35138,352,7.3%,41.3%,42.1%
Value,2020-04-26 01:20:23,7,14,6,125,38047,926,12,5,35176,381,5.5%,41.3%,42.1%
