,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-07 00:55:40,13,34,4,1966,204723,2722,53,20,726,633,5.8%,42.9%,50.2%
Value,2020-05-07 00:57:14,5,34,4,620,204723,2708,51,13,757,662,5.1%,42.9%,50.2%
Value,2020-05-07 00:58:48,6,34,4,708,204723,2506,48,10,703,605,3.7%,42.9%,50.2%
Value,2020-05-07 01:00:22,3,34,4,301,204723,2490,46,6,679,580,3.4%,42.9%,50.2%
Value,2020-05-07 01:01:56,4,34,4,1624,204723,2478,41,5,666,569,6.9%,42.9%,50.2%
Value,2020-05-07 01:03:32,2,34,4,8683,204723,2607,18,5,631,553,4.3%,42.9%,50.2%
Value,2020-05-07 01:05:15,2,34,4,248,204723,2609,18,7,619,549,7.5%,42.9%,50.2%
Value,2020-05-07 01:06:53,2,34,4,98,204723,2898,19,6,616,546,4.1%,43.0%,50.2%
Value,2020-05-07 01:08:30,3,34,4,132,204723,2824,12,6,602,537,4.3%,43.0%,51.1%
Value,2020-05-07 01:10:05,2,34,4,2080,204723,2645,15,5,618,547,4.4%,43.0%,51.1%
Value,2020-05-07 01:11:42,2,34,4,154,204723,2522,13,2,597,527,5.8%,43.0%,51.1%
Value,2020-05-07 01:13:19,2,34,4,77,204723,2494,14,3,611,542,5.5%,43.0%,51.1%
Value,2020-05-07 01:14:53,1,34,4,73,204723,2444,21,3,630,553,4.8%,43.0%,51.1%
Value,2020-05-07 01:16:29,2,34,4,68,204723,2441,15,4,628,557,4.5%,43.0%,51.1%
Value,2020-05-07 01:18:08,3,34,4,284,204723,2405,18,4,616,544,5.4%,43.0%,51.1%
Value,2020-05-07 01:19:43,2,34,4,147,204723,2386,14,5,598,529,4.5%,43.0%,51.1%
Value,2020-05-07 01:21:17,2,34,4,100,204723,2370,17,5,605,533,6.2%,43.0%,51.1%
Value,2020-05-07 01:22:52,2,34,4,145,204723,2340,17,3,600,528,5.0%,43.0%,50.2%
Value,2020-05-07 01:24:27,2,34,4,88,204723,2339,13,4,595,527,4.7%,43.0%,50.2%
Value,2020-05-07 01:26:05,2,34,4,91,204723,2300,26,4,606,525,4.0%,43.0%,50.2%
Value,2020-05-07 01:27:39,3,34,4,131,194430,1721,14,5,612,543,8.8%,43.1%,50.2%
Value,2020-05-07 01:29:14,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,5.1%,43.0%,50.2%
Value,2020-05-07 01:30:48,12,34,4,1107,194430,1697,30,6,640,557,5.0%,43.0%,50.2%
Value,2020-05-07 01:32:27,6,34,4,116,194430,1701,17,8,603,534,12.2%,43.0%,50.7%
Value,2020-05-07 01:34:03,5,34,4,196,113964,1150,13,4,595,526,6.0%,43.1%,51.1%
Value,2020-05-07 01:35:39,5,34,4,324,113964,1047,16,8,606,540,5.0%,43.0%,51.1%
Value,2020-05-07 01:37:12,6,34,4,158,113964,1029,17,6,602,535,6.5%,43.0%,51.1%
Value,2020-05-07 01:38:47,5,34,4,124,113964,996,16,6,618,551,4.1%,43.0%,51.1%
Value,2020-05-07 01:40:20,7,34,4,274,113964,995,20,4,616,542,7.7%,43.0%,51.1%
Value,2020-05-07 01:41:55,8,34,4,311,113964,986,16,4,617,546,6.3%,43.0%,51.1%
Value,2020-05-07 01:43:34,9,34,4,228,113964,918,21,9,597,526,6.9%,43.0%,50.2%
Value,2020-05-07 01:45:13,7,34,4,320,113964,952,13,9,585,522,6.8%,43.0%,50.2%
Value,2020-05-07 01:46:51,7,34,4,3324,113964,996,12,11,575,516,5.4%,43.0%,50.2%
Value,2020-05-07 01:48:28,4,34,4,606,113964,1051,3,6,566,509,7.7%,43.0%,50.2%
Value,2020-05-07 01:50:03,4,34,4,58,113964,1017,3,6,580,522,8.2%,43.0%,50.2%
Value,2020-05-07 01:51:39,4,34,4,191,113964,1004,7,5,554,493,5.4%,43.0%,50.2%
Value,2020-05-07 01:53:16,5,34,4,466,113964,996,12,6,606,543,5.7%,43.1%,50.2%
Value,2020-05-07 01:54:51,4,24,4,104,113964,958,14,9,575,511,4.3%,43.0%,50.2%
Value,2020-05-07 01:56:27,5,24,4,353,113964,942,15,7,591,522,5.6%,43.0%,50.2%
Value,2020-05-07 01:58:02,4,24,4,516,113964,938,10,8,565,502,4.2%,43.0%,50.2%
Value,2020-05-07 01:59:37,3,24,4,331,113964,927,7,3,563,499,5.9%,43.0%,50.2%
Value,2020-05-07 02:01:10,4,24,4,8050,113964,1042,4,3,536,473,5.7%,43.0%,50.2%
Value,2020-05-07 02:02:43,5,24,4,3697,113964,1003,18,4,562,488,4.6%,43.0%,50.2%
Value,2020-05-07 02:04:17,11,24,4,130,113964,940,30,8,569,487,7.5%,43.0%,50.2%
Value,2020-05-07 02:05:52,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,4.2%,43.0%,50.2%
Value,2020-05-07 02:07:29,9,24,5,80,47728,616,37,5,579,487,7.2%,43.2%,50.3%
Value,2020-05-07 02:09:06,10,24,5,86,47728,608,42,5,577,478,9.6%,43.0%,51.1%
Value,2020-05-07 02:10:46,9,24,5,365,47728,591,37,3,588,492,5.2%,43.0%,51.1%
Value,2020-05-07 02:12:21,10,24,5,192,47728,587,42,3,585,487,5.2%,43.0%,51.1%
Value,2020-05-07 02:13:54,9,24,5,67,47728,586,45,3,589,489,4.5%,43.0%,51.1%
Value,2020-05-07 02:15:29,14,24,6,246,47728,589,38,3,597,505,8.1%,43.0%,51.1%
Value,2020-05-07 02:17:05,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,4.1%,43.1%,51.1%
Value,2020-05-07 02:18:39,10,24,6,119,47728,591,34,8,572,485,8.2%,43.0%,50.2%
Value,2020-05-07 02:20:14,10,24,6,505,47728,598,40,8,575,483,5.9%,43.0%,50.2%
Value,2020-05-07 02:21:46,9,24,7,65,47728,597,44,7,578,483,5.7%,43.0%,50.2%
Value,2020-05-07 02:23:19,10,24,7,58,47728,596,40,4,620,527,5.1%,43.0%,50.2%
Value,2020-05-07 02:24:54,9,24,7,272,47728,601,44,8,596,501,6.0%,43.0%,50.2%
Value,2020-05-07 02:26:31,9,24,7,507,47728,606,36,10,585,496,6.9%,43.0%,50.2%
Value,2020-05-07 02:28:04,9,24,7,7139,47728,840,39,8,574,483,5.3%,43.0%,50.2%
Value,2020-05-07 02:29:37,9,24,7,70,47728,719,34,9,570,482,4.9%,43.0%,50.2%
Value,2020-05-07 02:31:08,9,19,7,2273,47728,730,40,12,560,470,4.6%,43.0%,50.2%
Value,2020-05-07 02:32:41,9,19,7,97,47728,730,43,9,572,476,17.0%,43.1%,50.2%
Value,2020-05-07 02:34:15,9,19,7,102,47728,729,44,8,566,469,7.6%,43.0%,50.2%
Value,2020-05-07 02:35:50,8,19,7,959,47728,763,35,5,534,444,5.5%,43.0%,50.2%
Value,2020-05-07 02:37:29,9,19,7,257,47728,750,36,5,548,456,5.3%,43.0%,50.2%
Value,2020-05-07 02:39:03,10,19,8,203,47728,750,35,4,550,456,4.4%,43.0%,51.2%
Value,2020-05-07 02:40:39,9,19,8,72,47728,742,35,2,551,456,5.1%,43.0%,51.2%
Value,2020-05-07 02:42:14,8,19,8,43,47728,738,36,3,545,451,5.8%,43.1%,51.2%
Value,2020-05-07 02:43:48,9,19,8,44,47728,671,32,4,545,457,6.3%,43.0%,51.2%
Value,2020-05-07 02:45:23,10,19,8,2977,47728,716,37,7,558,468,5.0%,43.0%,51.2%
Value,2020-05-07 02:47:00,12,19,8,871,47728,610,44,7,577,482,6.2%,43.0%,51.2%
Value,2020-05-07 02:48:37,11,19,8,268,47728,613,36,6,556,468,6.5%,43.0%,51.2%
Value,2020-05-07 02:50:16,9,19,8,1014,47728,653,36,6,563,474,4.1%,43.0%,51.2%
Value,2020-05-07 02:51:51,9,19,8,2027,47728,701,34,5,546,455,5.0%,43.0%,51.2%
Value,2020-05-07 02:53:23,9,19,8,337,47728,670,34,8,545,459,4.7%,43.1%,51.2%
Value,2020-05-07 02:55:00,8,19,8,84,47728,668,38,9,535,447,6.5%,43.0%,51.2%
Value,2020-05-07 02:56:34,9,19,8,167,47728,665,36,8,545,456,6.0%,43.0%,51.2%
Value,2020-05-07 02:58:10,8,19,9,151,47728,659,37,8,532,445,4.4%,43.0%,51.2%
Value,2020-05-07 02:59:44,9,19,9,225,47728,659,34,5,522,432,4.5%,43.0%,51.2%
Value,2020-05-07 03:01:17,9,19,9,82,42556,526,27,2,493,407,5.7%,43.0%,51.2%
Value,2020-05-07 03:02:56,9,19,9,69,42556,466,20,5,499,424,4.5%,43.0%,50.5%
Value,2020-05-07 03:04:38,8,19,9,92,42556,464,10,5,484,419,5.2%,43.0%,51.2%
Value,2020-05-07 03:06:11,8,19,9,351,42556,469,6,15,497,446,5.0%,43.0%,51.2%
Value,2020-05-07 03:07:44,9,19,9,188,42556,471,9,11,483,426,6.9%,43.0%,51.2%
Value,2020-05-07 03:09:21,9,19,9,173,42556,470,12,11,476,415,8.3%,43.0%,50.2%
Value,2020-05-07 03:10:57,9,19,9,66,42556,462,11,12,478,418,4.6%,43.0%,50.2%
Value,2020-05-07 03:12:32,10,19,9,44,42556,460,10,7,481,420,9.1%,43.0%,50.2%
Value,2020-05-07 03:14:06,9,19,9,179,42556,462,10,6,472,409,5.9%,43.2%,50.2%
Value,2020-05-07 03:15:42,10,18,9,296,42556,464,9,6,459,397,4.0%,43.0%,50.2%
Value,2020-05-07 03:17:20,8,18,9,155,42556,464,9,7,476,414,5.4%,43.0%,50.2%
Value,2020-05-07 03:18:56,9,18,8,41,42556,455,9,5,479,416,5.4%,43.0%,50.2%
Value,2020-05-07 03:20:31,10,18,8,522,42556,459,16,7,497,431,5.4%,43.1%,50.2%
Value,2020-05-07 03:22:08,9,18,8,4634,42556,616,15,9,491,427,5.9%,43.1%,50.2%
Value,2020-05-07 03:23:43,9,18,8,199,42556,541,9,9,510,444,5.8%,43.0%,50.2%
Value,2020-05-07 03:25:18,12,22,9,726,42556,563,16,10,513,448,7.1%,43.0%,50.2%
Value,2020-05-07 03:26:54,4,23,8,560,26701,456,17,8,488,423,9.4%,43.0%,50.2%
Value,2020-05-07 03:28:29,2,23,8,856,26701,468,8,6,486,425,5.9%,43.0%,50.2%
Value,2020-05-07 03:30:07,1,23,8,58,26701,468,12,4,519,452,6.0%,43.0%,50.2%
Value,2020-05-07 03:31:45,2,23,8,397,26701,445,12,7,516,450,4.2%,43.0%,50.2%
Value,2020-05-07 03:33:21,2,23,8,200,26701,441,8,4,507,443,12.8%,43.0%,51.0%
Value,2020-05-07 03:34:53,2,23,8,86,26701,416,8,5,499,436,4.9%,43.0%,51.2%
Value,2020-05-07 03:36:25,2,23,7,942,26701,433,13,5,512,444,4.4%,43.0%,51.2%
Value,2020-05-07 03:38:00,4,23,7,442,26701,441,19,5,534,463,6.0%,43.0%,51.2%
Value,2020-05-07 03:39:35,2,23,7,166,26701,438,19,6,544,473,4.9%,43.0%,51.2%
Value,2020-05-07 03:41:13,2,23,7,268,26701,447,6,5,508,446,5.6%,43.0%,51.2%
Value,2020-05-07 03:42:47,2,23,7,226,26701,450,2,7,494,438,3.8%,43.0%,51.2%
Value,2020-05-07 03:44:22,2,23,7,156,26701,452,8,5,513,451,6.3%,43.0%,51.2%
Value,2020-05-07 03:45:59,3,23,6,57,26701,406,11,5,510,446,5.2%,43.0%,51.2%
Value,2020-05-07 03:47:33,2,23,6,58,26701,389,10,8,520,460,6.9%,43.0%,51.2%
Value,2020-05-07 03:49:07,2,23,6,197,26701,360,14,8,535,473,5.7%,43.0%,50.2%
Value,2020-05-07 03:50:42,2,23,6,63,26701,336,19,6,525,457,4.5%,43.0%,50.2%
Value,2020-05-07 03:52:20,2,23,6,157,26701,333,14,5,500,435,6.8%,43.0%,50.2%
Value,2020-05-07 03:53:57,2,23,5,518,26701,346,16,6,514,447,4.8%,43.0%,50.2%
Value,2020-05-07 03:55:31,2,23,5,104,26701,346,8,5,519,458,5.3%,43.0%,50.2%
Value,2020-05-07 03:57:04,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,5.2%,43.0%,50.2%
Value,2020-05-07 03:58:41,2,23,5,270,26701,346,11,5,506,443,6.9%,43.0%,50.2%
Value,2020-05-07 04:00:16,2,23,5,78,26701,342,7,4,539,477,4.4%,43.0%,50.2%
Value,2020-05-07 04:01:52,3,23,5,200,26701,346,11,5,548,482,7.3%,43.0%,50.2%
Value,2020-05-07 04:03:30,4,23,5,892,26701,359,10,7,555,490,13.7%,43.0%,51.1%
Value,2020-05-07 04:05:09,2,23,4,427,26701,371,14,7,514,450,6.0%,43.0%,51.2%
Value,2020-05-07 04:06:42,1,23,4,162,26701,367,10,8,499,440,7.2%,43.0%,51.2%
Value,2020-05-07 04:08:18,2,23,4,1774,26701,392,7,5,486,425,6.0%,43.0%,50.2%
Value,2020-05-07 04:09:54,4,23,4,3951,26701,566,6,5,501,439,5.4%,43.0%,50.2%
Value,2020-05-07 04:11:32,1,23,4,44,26701,503,5,4,493,431,4.1%,43.0%,50.2%
Value,2020-05-07 04:13:12,1,23,4,76,26701,503,6,4,505,443,4.0%,43.0%,50.2%
Value,2020-05-07 04:14:47,2,23,3,477,26701,505,4,5,497,438,6.6%,43.0%,50.2%
Value,2020-05-07 04:16:25,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,5.1%,42.9%,50.2%
Value,2020-05-07 04:18:01,2,23,3,365,26701,508,13,4,534,471,3.8%,42.9%,50.2%
Value,2020-05-07 04:19:32,2,23,3,420,26701,511,6,9,510,453,3.7%,42.9%,50.2%
Value,2020-05-07 04:21:06,2,23,3,98,7276,425,4,6,514,456,5.1%,42.9%,50.2%
Value,2020-05-07 04:22:38,2,23,2,58,7276,431,4,3,521,461,4.5%,43.0%,50.2%
Value,2020-05-07 04:24:12,2,23,2,381,7276,422,6,3,507,445,4.4%,42.9%,50.2%
Value,2020-05-07 04:25:45,3,14,2,275,7276,402,10,4,525,464,8.4%,42.9%,50.2%
Value,2020-05-07 04:27:20,3,14,2,8449,48325,541,11,7,527,464,6.2%,42.9%,50.2%
Value,2020-05-07 04:28:54,2,14,2,5080,48325,676,10,8,538,478,4.5%,42.9%,50.2%
Value,2020-05-07 04:30:28,4,14,2,197,48325,614,9,8,543,484,5.4%,42.9%,50.2%
Value,2020-05-07 04:32:07,3,14,2,562,48325,621,12,7,530,467,4.9%,42.9%,50.2%
Value,2020-05-07 04:33:43,2,14,2,438,48325,628,9,7,540,479,12.2%,43.1%,51.0%
Value,2020-05-07 04:35:21,5,14,2,1138,48325,654,14,6,562,498,7.7%,42.9%,51.2%
Value,2020-05-07 04:36:54,4,14,2,1241,48325,672,14,5,543,483,6.3%,43.0%,51.2%
Value,2020-05-07 04:38:30,3,14,2,205,48325,664,12,4,552,491,5.1%,43.0%,51.2%
Value,2020-05-07 04:40:05,2,14,2,372,48325,667,13,6,550,488,4.7%,42.9%,51.2%
Value,2020-05-07 04:41:41,3,14,2,1165,48325,702,11,3,556,492,6.3%,42.9%,51.2%
Value,2020-05-07 04:43:17,3,14,2,378,48325,701,10,5,538,477,4.6%,43.0%,51.2%
Value,2020-05-07 04:44:53,3,14,2,313,48325,706,12,4,567,505,5.4%,42.9%,50.2%
Value,2020-05-07 04:46:27,3,14,2,751,48325,713,15,10,559,498,3.7%,42.9%,50.2%
Value,2020-05-07 04:48:04,2,14,2,101,48325,715,10,10,531,475,5.2%,42.9%,50.2%
Value,2020-05-07 04:49:39,3,14,2,352,48325,731,12,10,551,494,5.1%,42.9%,50.2%
Value,2020-05-07 04:51:12,3,14,2,159,48325,736,18,10,538,478,6.0%,42.9%,50.2%
Value,2020-05-07 04:52:46,3,14,2,364,48325,750,12,7,563,505,4.7%,42.9%,50.2%
Value,2020-05-07 04:54:25,3,14,2,1027,48325,749,14,7,540,480,5.2%,42.9%,50.2%
Value,2020-05-07 04:56:01,3,14,3,1058,48325,783,13,2,550,485,7.1%,43.0%,50.2%
Value,2020-05-07 04:57:34,3,14,3,230,48325,783,13,4,530,468,4.8%,42.9%,50.2%
Value,2020-05-07 04:59:08,3,14,3,743,48325,796,11,5,547,488,12.3%,42.9%,51.2%
Value,2020-05-07 05:00:48,4,14,3,1881,48325,840,22,8,598,528,4.2%,42.9%,51.2%
Value,2020-05-07 05:02:22,6,14,3,945,48325,883,34,8,592,514,6.0%,43.0%,51.2%
Value,2020-05-07 05:03:58,10,17,3,1207,48325,895,32,11,585,501,6.2%,42.9%,50.2%
Value,2020-05-07 05:05:33,5,17,3,400,48325,893,39,13,590,507,8.0%,42.9%,50.2%
Value,2020-05-07 05:07:08,5,17,3,646,48325,985,43,12,591,502,5.6%,42.9%,50.2%
Value,2020-05-07 05:08:44,5,17,3,201,48325,850,40,10,600,511,5.8%,43.0%,50.2%
Value,2020-05-07 05:10:21,3,17,3,536,48325,860,34,9,573,488,4.0%,42.9%,50.2%
Value,2020-05-07 05:11:57,4,17,3,684,48325,875,38,6,581,491,5.0%,42.9%,50.2%
Value,2020-05-07 05:13:37,3,17,3,1559,48325,928,40,7,564,474,7.7%,42.9%,50.2%
Value,2020-05-07 05:15:15,2,17,3,103,48325,897,38,4,574,481,7.5%,42.9%,50.2%
Value,2020-05-07 05:16:52,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,5.0%,42.9%,50.2%
Value,2020-05-07 05:18:28,4,17,3,99,48325,898,40,6,558,467,6.0%,42.9%,50.2%
Value,2020-05-07 05:20:03,2,17,3,46,48325,890,42,8,547,455,4.0%,42.9%,50.2%
Value,2020-05-07 05:21:40,2,17,3,74,48325,914,43,7,565,472,5.2%,42.9%,50.2%
Value,2020-05-07 05:23:15,2,17,3,249,48325,938,42,6,552,458,8.1%,43.0%,50.2%
Value,2020-05-07 05:24:49,2,17,3,83,48325,927,39,4,546,454,6.0%,43.0%,50.2%
Value,2020-05-07 05:26:31,5,17,3,138,48325,935,37,14,558,477,4.3%,42.9%,50.2%
Value,2020-05-07 05:28:05,4,17,3,70,24930,726,39,9,567,480,3.8%,42.9%,50.2%
Value,2020-05-07 05:29:45,4,17,3,9150,24930,708,37,7,564,474,10.6%,43.0%,51.2%
Value,2020-05-07 05:31:19,5,17,3,1434,54464,882,37,7,546,457,6.1%,43.0%,51.2%
Value,2020-05-07 05:32:50,4,17,3,104,54464,870,40,4,547,452,6.0%,43.0%,51.2%
Value,2020-05-07 05:34:27,5,17,4,69,54464,853,36,4,538,446,6.8%,43.0%,51.2%
Value,2020-05-07 05:36:01,6,17,4,9908,59075,1149,42,4,556,458,6.4%,43.0%,51.2%
Value,2020-05-07 05:37:36,5,17,4,1238,59075,1013,40,6,551,457,4.6%,43.0%,51.2%
Value,2020-05-07 05:39:12,6,17,4,316,59075,994,36,8,535,445,5.5%,43.0%,50.3%
Value,2020-05-07 05:40:46,4,17,4,177,59075,970,42,8,528,432,3.2%,43.1%,50.3%
Value,2020-05-07 05:42:21,4,17,4,132,59075,957,40,6,519,424,5.5%,43.1%,50.3%
Value,2020-05-07 05:43:58,4,17,4,58,59075,945,36,7,526,435,8.6%,43.0%,50.3%
Value,2020-05-07 05:45:35,6,17,4,52,59075,943,32,6,517,429,4.7%,43.0%,50.3%
Value,2020-05-07 05:47:08,4,17,4,270,59075,935,34,3,503,410,5.2%,43.0%,50.3%
Value,2020-05-07 05:48:45,4,17,4,590,59075,927,34,4,504,411,4.4%,43.0%,50.3%
Value,2020-05-07 05:50:20,4,17,4,340,59075,916,34,5,514,423,8.0%,43.0%,50.3%
Value,2020-05-07 05:51:52,4,17,4,140,59075,899,33,6,512,423,6.0%,43.0%,50.3%
Value,2020-05-07 05:53:25,4,17,4,204,59075,895,38,6,520,426,5.1%,43.0%,50.3%
Value,2020-05-07 05:54:57,5,17,4,1061,59075,893,36,8,533,442,4.2%,43.1%,50.3%
Value,2020-05-07 05:56:38,5,17,4,331,59075,929,36,4,533,440,5.6%,43.0%,50.3%
Value,2020-05-07 05:58:16,4,17,4,83,59075,920,36,7,516,425,4.6%,43.0%,50.3%
Value,2020-05-07 05:59:53,4,17,4,707,59075,915,40,7,529,434,16.0%,43.1%,51.2%
Value,2020-05-07 06:01:26,4,17,4,626,59075,862,35,6,520,429,6.4%,43.0%,51.2%
Value,2020-05-07 06:03:02,4,17,4,126,59075,835,39,4,522,426,4.2%,43.0%,51.2%
Value,2020-05-07 06:04:35,4,15,4,339,59075,822,41,4,552,454,6.1%,43.0%,50.3%
Value,2020-05-07 06:06:12,4,15,4,569,59075,743,36,5,544,451,5.8%,43.0%,50.3%
Value,2020-05-07 06:07:46,4,15,4,570,59075,748,35,5,526,432,6.5%,43.0%,50.3%
Value,2020-05-07 06:09:21,4,15,4,83,59075,734,38,6,548,455,4.5%,43.0%,50.3%
Value,2020-05-07 06:10:57,4,15,4,928,59075,750,38,6,574,480,5.1%,43.0%,50.3%
Value,2020-05-07 06:12:35,4,15,4,99,59075,734,37,4,575,478,3.8%,43.0%,50.3%
Value,2020-05-07 06:14:08,5,15,4,2238,59075,768,46,4,574,469,8.9%,43.0%,50.3%
Value,2020-05-07 06:15:40,5,15,4,237,59075,746,43,4,591,490,7.0%,43.2%,50.3%
Value,2020-05-07 06:17:18,4,15,4,128,59075,747,38,3,606,510,6.1%,43.0%,50.3%
Value,2020-05-07 06:18:51,5,15,4,740,59075,769,43,8,609,513,6.3%,43.0%,50.3%
Value,2020-05-07 06:20:24,5,15,4,319,59075,736,39,8,601,509,5.0%,43.0%,50.3%
Value,2020-05-07 06:21:58,5,15,4,1896,59075,775,48,16,592,499,5.0%,43.0%,50.3%
Value,2020-05-07 06:23:31,5,15,4,930,59075,780,44,12,595,502,4.4%,43.0%,50.3%
Value,2020-05-07 06:25:04,10,15,4,1823,59075,830,56,19,936,838,4.0%,43.0%,50.3%
Value,2020-05-07 06:26:43,11,15,5,10230,59075,1014,47,13,683,588,5.3%,43.0%,50.3%
