,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-08 00:00:42,5,26,9,395,18392,1165,54,9,762,498,18.1%,41.7%,61.5%
Value,2020-05-08 00:02:33,4,23,9,945,18392,1164,60,9,781,512,4.1%,41.7%,61.5%
Value,2020-05-08 00:28:39,6,19,6,1533,18392,866,25,10,692,461,2.9%,41.8%,62.5%
Value,2020-05-08 00:30:12,5,19,6,81,18392,847,14,13,668,451,3.5%,41.8%,62.5%
Value,2020-05-08 00:31:43,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,4.3%,41.8%,61.5%
Value,2020-05-08 00:33:14,5,19,5,129,18392,799,17,9,683,460,3.4%,41.9%,61.5%
Value,2020-05-08 00:34:44,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,4.3%,41.8%,61.5%
Value,2020-05-08 00:36:16,5,19,5,353,18392,738,16,21,707,496,6.6%,41.8%,62.5%
Value,2020-05-08 00:37:52,5,19,5,86,18392,717,23,12,693,464,6.1%,41.8%,62.5%
Value,2020-05-08 00:39:24,8,19,5,1624,18392,750,16,8,704,477,6.1%,41.9%,62.5%
Value,2020-05-08 00:40:55,12,19,5,1191,18392,742,25,12,723,496,4.8%,41.9%,61.5%
Value,2020-05-08 00:42:28,7,16,5,1135,18392,719,22,10,707,482,3.2%,41.8%,61.5%
Value,2020-05-08 00:44:06,8,16,5,1240,18392,722,21,9,695,468,5.7%,41.8%,61.5%
Value,2020-05-08 00:45:39,4,16,5,2282,18392,759,17,7,669,442,4.4%,41.7%,61.5%
Value,2020-05-08 00:47:11,6,16,5,345,18392,715,18,14,689,469,5.8%,41.7%,61.5%
Value,2020-05-08 00:48:47,4,16,5,136,18392,700,7,12,697,484,4.6%,41.7%,61.5%
Value,2020-05-08 00:50:20,4,16,5,280,18392,655,6,11,684,470,3.6%,41.7%,61.5%
Value,2020-05-08 00:51:51,8,16,5,262,155384,1082,9,9,698,481,5.3%,41.7%,61.5%
Value,2020-05-08 00:53:25,8,16,5,179,155384,1049,9,7,683,464,3.5%,41.7%,61.5%
Value,2020-05-08 00:55:01,11,16,5,6575,155384,1120,8,7,706,482,3.7%,41.8%,61.5%
Value,2020-05-08 00:56:34,9,16,5,230,155384,1088,15,12,738,519,5.3%,41.7%,61.5%
Value,2020-05-08 00:58:07,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,4.5%,41.7%,61.5%
Value,2020-05-08 00:59:38,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,2.4%,41.7%,61.5%
Value,2020-05-08 01:01:11,8,16,6,577,155384,1016,12,5,668,447,3.0%,41.7%,61.5%
Value,2020-05-08 01:02:47,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,5.3%,41.7%,61.5%
Value,2020-05-08 01:04:24,11,24,6,456,155384,1015,6,5,664,446,10.2%,41.7%,61.5%
Value,2020-05-08 01:05:59,8,24,6,38,155384,1010,13,5,666,442,5.7%,41.7%,61.5%
Value,2020-05-08 01:07:38,10,24,6,122,155384,1003,12,3,675,450,5.4%,41.8%,62.5%
Value,2020-05-08 01:09:17,9,24,6,83,155384,1000,11,4,647,423,4.7%,41.8%,62.5%
Value,2020-05-08 01:10:52,8,24,6,104,155384,1001,13,7,647,423,3.3%,42.0%,62.5%
Value,2020-05-08 01:12:26,9,24,7,57,155384,987,13,6,631,404,4.4%,41.7%,61.5%
Value,2020-05-08 01:13:58,9,24,7,78,155384,985,8,7,626,406,6.7%,41.7%,61.5%
Value,2020-05-08 01:15:34,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,4.3%,41.7%,61.5%
Value,2020-05-08 01:17:12,9,24,7,96,155384,963,22,13,662,436,5.6%,41.8%,61.5%
Value,2020-05-08 01:18:46,8,24,7,59,155384,964,11,12,637,420,4.0%,41.7%,61.5%
Value,2020-05-08 01:20:18,7,24,7,89,155384,957,8,11,629,415,4.3%,41.7%,61.5%
Value,2020-05-08 01:21:50,9,24,7,41,155384,953,13,9,640,421,4.7%,41.7%,61.5%
Value,2020-05-08 01:23:22,10,24,7,175,155384,956,7,7,673,458,5.3%,41.7%,61.5%
Value,2020-05-08 01:24:55,13,24,7,1116,155384,995,11,9,680,462,4.6%,41.7%,61.5%
Value,2020-05-08 01:26:45,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,3.6%,41.7%,61.5%
Value,2020-05-08 01:28:16,5,24,7,358,155384,956,14,7,657,438,3.7%,41.7%,61.5%
Value,2020-05-08 01:29:50,11,30,8,1807,155384,977,11,6,666,448,6.0%,41.7%,61.5%
Value,2020-05-08 01:31:20,5,30,8,327,155384,987,9,9,649,434,9.3%,41.7%,61.8%
Value,2020-05-08 01:32:53,7,30,8,720,155384,998,14,7,694,473,5.2%,41.7%,62.5%
Value,2020-05-08 01:34:28,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,4.1%,41.7%,62.5%
Value,2020-05-08 01:36:02,5,30,8,568,155384,1015,13,6,674,454,4.2%,41.8%,62.5%
Value,2020-05-08 01:37:34,6,30,8,802,155384,1036,8,5,640,421,5.4%,41.8%,62.5%
Value,2020-05-08 01:39:05,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,3.1%,41.8%,62.5%
Value,2020-05-08 01:40:37,7,30,8,390,155384,983,10,6,636,417,4.8%,41.8%,62.5%
Value,2020-05-08 01:42:10,5,30,7,340,155384,978,7,6,614,397,4.1%,41.8%,62.5%
Value,2020-05-08 01:43:40,4,30,7,180,155384,942,9,5,604,385,6.6%,41.8%,62.5%
Value,2020-05-08 01:45:13,4,30,7,79,155384,869,13,5,613,390,4.2%,41.8%,62.5%
Value,2020-05-08 01:46:45,6,30,7,221,155384,870,20,11,633,409,3.1%,41.8%,61.5%
Value,2020-05-08 01:48:17,6,30,7,230,155384,873,27,5,652,416,3.9%,41.8%,61.5%
Value,2020-05-08 01:49:48,4,30,7,85,155384,881,25,8,640,408,2.8%,41.8%,61.5%
Value,2020-05-08 01:51:20,4,30,7,326,35210,451,14,7,621,398,4.7%,41.8%,61.5%
