,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-09 06:13:05,8,22,9,49,21297,332,7,7,7073,263,5.0%,40.0%,44.9%
Value,2020-05-09 06:15:01,9,22,9,98,21297,334,27,6,7101,268,4.9%,40.0%,44.9%
Value,2020-05-09 06:16:58,11,22,9,50,21297,334,35,5,7141,284,5.1%,40.0%,44.9%
Value,2020-05-09 06:18:52,9,22,9,199,21297,339,40,7,7203,319,4.2%,40.0%,44.9%
Value,2020-05-09 06:20:55,11,22,9,411,21297,348,40,18,7257,375,5.1%,40.0%,45.3%
Value,2020-05-09 06:22:51,12,22,9,709,21297,363,44,14,7209,298,3.3%,40.0%,45.9%
Value,2020-05-09 06:24:49,13,22,10,223,21297,356,37,7,7228,307,4.8%,40.0%,45.9%
Value,2020-05-09 06:26:43,10,22,10,81,21297,361,34,8,7219,294,6.6%,40.0%,44.9%
Value,2020-05-09 06:28:44,12,22,10,321,21297,371,38,8,7243,301,4.7%,40.0%,44.9%
Value,2020-05-09 06:30:41,9,22,10,423,21297,369,42,9,7249,296,4.7%,40.1%,44.9%
Value,2020-05-09 06:32:41,10,22,10,227,21297,368,33,5,7262,304,4.5%,40.0%,44.9%
Value,2020-05-09 06:35:04,9,22,10,134,21297,381,33,5,7265,295,3.8%,40.0%,44.9%
Value,2020-05-09 06:36:59,10,22,10,104,21297,378,36,5,7322,338,5.6%,40.0%,44.9%
Value,2020-05-09 06:38:52,10,22,10,1060,21297,401,39,17,7326,325,4.4%,40.0%,44.9%
Value,2020-05-09 06:40:45,10,22,10,614,21297,401,36,15,7355,329,5.3%,40.0%,44.9%
Value,2020-05-09 06:42:39,9,22,10,992,21297,408,42,17,7359,321,5.0%,40.0%,44.9%
Value,2020-05-09 06:44:39,11,22,10,143,21297,359,35,9,7366,318,4.6%,40.0%,44.9%
Value,2020-05-09 06:46:38,10,22,10,172,21297,362,41,7,7404,333,5.2%,40.1%,44.9%
Value,2020-05-09 06:48:34,10,22,10,295,21297,370,36,11,7409,340,11.9%,40.0%,44.9%
Value,2020-05-09 06:50:42,9,22,10,110,21297,370,40,9,7410,323,4.4%,40.0%,44.9%
Value,2020-05-09 06:52:40,9,22,10,94,21297,364,37,7,7452,359,5.0%,40.0%,44.9%
Value,2020-05-09 06:54:34,9,22,10,88,21297,359,36,6,7430,330,4.1%,40.0%,44.9%
Value,2020-05-09 06:56:33,10,22,10,294,21297,365,43,9,7489,363,6.8%,40.0%,44.9%
Value,2020-05-09 06:58:39,9,22,10,94,21297,349,43,11,7541,390,3.5%,40.0%,44.9%
Value,2020-05-09 07:00:37,7,22,10,244,4481,295,34,11,7525,374,4.1%,40.0%,44.9%
Value,2020-05-09 07:02:31,5,22,10,338,4481,295,34,7,7514,332,4.6%,40.0%,44.9%
Value,2020-05-09 07:04:26,5,22,9,111,4628,304,35,5,7564,346,4.1%,40.0%,44.9%
Value,2020-05-09 07:06:25,6,22,9,99,4628,300,39,6,7585,354,15.1%,40.0%,45.9%
Value,2020-05-09 07:08:21,5,22,9,143,4628,305,39,4,7576,328,3.0%,40.0%,46.0%
Value,2020-05-09 07:10:17,5,22,9,1278,6110,319,45,15,7649,399,3.5%,40.0%,46.0%
Value,2020-05-09 07:12:08,5,22,9,73,6110,317,44,12,7640,376,3.4%,40.0%,46.0%
Value,2020-05-09 07:14:01,6,22,9,719,6110,329,30,7,7627,351,5.7%,40.0%,46.0%
Value,2020-05-09 07:16:02,6,22,9,242,6110,334,20,5,7659,367,4.7%,40.1%,46.0%
Value,2020-05-09 07:17:56,6,22,9,218,6110,334,7,7,7648,356,7.7%,40.1%,44.9%
Value,2020-05-09 07:19:55,5,22,8,1582,8573,383,8,7,7653,354,5.3%,40.1%,44.9%
Value,2020-05-09 07:21:47,6,22,8,482,8573,362,7,5,7687,378,5.9%,40.1%,44.9%
Value,2020-05-09 07:23:54,4,21,8,2522,10261,410,3,6,7672,359,5.5%,40.1%,44.9%
Value,2020-05-09 07:25:52,5,21,8,1428,10261,445,5,6,7710,373,5.4%,40.1%,44.9%
