,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-04 07:14:28,5,19,5,1756,247973,2190,21,22,651,558,4.1%,41.3%,60.6%
Value,2020-05-04 07:16:01,5,19,5,2681,247973,2250,29,22,602,500,3.0%,41.3%,60.6%
Value,2020-05-04 07:17:30,5,19,5,4258,247973,2394,23,12,602,497,4.1%,41.3%,60.6%
Value,2020-05-04 07:19:03,5,19,5,320,247973,2290,16,8,570,470,2.3%,41.3%,60.6%
Value,2020-05-04 07:20:32,6,19,5,296,247973,2295,19,7,572,470,3.4%,41.3%,60.6%
Value,2020-05-04 07:22:01,5,19,5,627,247973,2306,23,7,518,414,3.9%,41.3%,61.6%
Value,2020-05-04 07:23:30,6,19,5,569,247973,2314,20,7,537,431,4.5%,41.3%,61.6%
Value,2020-05-04 07:25:01,5,19,5,335,247973,2293,15,8,510,409,4.7%,41.3%,61.6%
Value,2020-05-04 07:26:41,7,19,5,1767,247973,2499,20,4,544,434,4.1%,41.3%,61.6%
Value,2020-05-04 07:28:14,7,19,6,492,247973,2399,13,6,495,397,2.2%,41.3%,61.6%
Value,2020-05-04 07:29:45,9,19,6,1346,247973,2402,12,5,563,463,3.3%,41.3%,61.6%
Value,2020-05-04 07:31:16,10,15,6,3969,247973,2544,10,10,611,517,2.3%,41.3%,61.6%
Value,2020-05-04 07:32:45,11,15,6,3820,247973,2615,26,14,622,519,3.2%,41.3%,61.6%
Value,2020-05-04 07:34:14,10,16,6,305,247973,2635,15,9,544,446,3.0%,41.3%,61.6%
Value,2020-05-04 07:35:44,8,16,6,298,247973,2637,19,9,540,436,4.0%,41.3%,61.6%
Value,2020-05-04 07:37:17,8,16,6,1922,247973,2685,16,9,527,427,3.5%,41.3%,61.6%
Value,2020-05-04 07:39:01,8,16,6,626,247973,2662,23,5,536,425,1.7%,41.3%,61.6%
Value,2020-05-04 07:40:32,8,16,7,115,247973,2593,14,3,500,396,5.8%,41.3%,61.6%
Value,2020-05-04 07:42:02,6,16,7,319,247973,2559,18,3,502,397,5.9%,41.3%,61.6%
Value,2020-05-04 07:43:31,8,16,7,1885,247973,2587,19,5,495,391,7.1%,41.3%,61.6%
Value,2020-05-04 07:45:12,7,16,7,1051,247973,2516,13,4,510,412,6.9%,41.3%,61.6%
Value,2020-05-04 07:46:48,9,16,7,992,247973,2433,23,7,522,419,6.0%,41.3%,61.6%
Value,2020-05-04 07:48:40,6,16,7,180,247973,2382,17,6,565,466,3.6%,41.4%,61.6%
Value,2020-05-04 07:50:09,10,17,7,382,247973,2376,26,8,631,526,2.7%,41.3%,61.6%
Value,2020-05-04 07:51:59,9,18,7,577,247973,2346,32,8,599,488,3.6%,41.3%,61.6%
Value,2020-05-04 07:53:30,8,18,7,556,247973,2356,23,13,569,472,4.4%,41.3%,61.6%
Value,2020-05-04 07:54:58,9,18,7,442,247973,2362,31,12,565,459,4.7%,41.3%,61.6%
Value,2020-05-04 07:56:29,9,18,7,3125,247973,2442,13,9,506,412,5.5%,41.3%,60.6%
Value,2020-05-04 07:57:58,12,18,7,1053,247973,2403,29,6,628,520,5.6%,41.3%,60.6%
Value,2020-05-04 07:59:31,11,18,7,2086,247973,2439,33,12,677,573,5.0%,41.3%,60.6%
Value,2020-05-04 08:01:00,14,18,8,5082,247973,2493,36,15,692,586,5.5%,41.3%,60.6%
Value,2020-05-04 08:02:33,14,28,8,6386,247973,2698,36,9,726,614,2.8%,41.3%,60.6%
Value,2020-05-04 08:04:02,12,28,8,4013,247973,2687,32,13,765,660,4.6%,41.3%,60.6%
Value,2020-05-04 08:05:32,13,28,8,4279,247973,2791,39,10,735,620,2.9%,41.3%,60.6%
Value,2020-05-04 08:07:02,16,28,8,14083,247973,2879,41,13,695,580,3.9%,41.3%,60.6%
Value,2020-05-04 08:08:35,9,28,8,841,247973,2920,27,15,769,667,2.2%,41.3%,60.6%
Value,2020-05-04 15:44:38,27,63,22,7515,1018690,9454,41,30,2768,2668,6.6%,41.4%,61.5%
Value,2020-05-04 15:46:31,25,63,22,4192,1018690,9356,51,16,2788,2665,10.4%,41.5%,61.5%
Value,2020-05-04 15:48:23,24,52,23,7712,1018690,9707,38,22,2821,2714,4.9%,41.4%,61.5%
Value,2020-05-04 15:50:14,26,52,23,9584,1018690,9556,51,34,2795,2688,6.7%,41.4%,61.5%
Value,2020-05-04 15:52:09,29,52,23,15615,1018690,9664,58,31,2839,2727,3.6%,41.4%,61.5%
Value,2020-05-04 15:53:57,27,52,24,26327,1018690,10092,64,32,2836,2721,4.2%,41.4%,61.5%
Value,2020-05-04 15:56:00,25,52,24,12707,1018690,10150,62,28,2822,2709,4.2%,41.4%,61.6%
Value,2020-05-04 15:58:02,25,52,24,3107,1018690,9917,58,32,2930,2820,3.6%,41.4%,61.6%
Value,2020-05-04 16:00:09,30,52,24,15362,1018690,9941,60,31,2973,2857,4.1%,41.5%,61.5%
Value,2020-05-04 16:02:10,28,52,25,3186,1018690,9954,42,22,2933,2823,6.8%,41.4%,61.5%
Value,2020-05-04 16:04:31,25,52,25,4009,1018690,9565,58,37,2955,2844,5.4%,41.6%,61.5%
Value,2020-05-04 16:13:24,22,52,26,4615,104420,6752,41,21,2793,2685,4.1%,41.5%,61.6%
Value,2020-05-04 16:20:18,24,45,25,4748,104420,6922,48,14,2699,2574,5.4%,41.4%,61.6%
Value,2020-05-04 16:27:25,29,45,25,10867,528155,8527,35,18,2751,2644,3.7%,41.4%,61.6%
Value,2020-05-04 16:35:48,8.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,7.1%,41.4%,60.7%
Value,2020-05-04 16:42:06,26,48,25,2224,528155,8672,61,16,2884,2749,5.3%,41.4%,60.7%
Value,2020-05-04 16:44:06,24,48,25,3451,528155,8501,73,17,2816,2674,6.2%,41.4%,60.7%
Value,2020-05-04 16:46:03,27,48,25,10878,528155,8549,79,15,2950,2802,6.8%,41.4%,60.7%
Value,2020-05-04 16:47:58,32,54,25,8729,528155,8480,78,19,2925,2777,5.1%,41.4%,60.7%
Value,2020-05-04 16:49:50,28,54,26,3324,528155,8335,71,31,3037,2906,6.5%,41.5%,61.6%
Value,2020-05-04 16:51:49,27,54,26,8218,528155,8243,83,23,2885,2744,5.6%,41.4%,61.6%
Value,2020-05-04 16:53:42,8.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,4.6%,41.5%,61.6%
Value,2020-05-04 16:55:36,26,54,26,5969,528155,7760,87,32,2890,2748,5.3%,41.4%,61.6%
