,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-04-28 11:26:15,20,100,39,7789,91068,6633,49,23,16092,2611,6.9%,40.4%,43.6%
Value,2020-04-28 11:28:00,27,100,39,3767,91068,6503,44,24,16175,2671,9.1%,40.5%,42.7%
Value,2020-04-28 11:29:36,25,100,39,11832,91068,6694,51,23,16065,2546,7.6%,40.4%,42.7%
Value,2020-04-28 11:31:09,20,100,39,10689,91068,6941,59,25,15939,2407,8.8%,40.4%,42.7%
Value,2020-04-28 11:32:44,18,100,38,3336,91068,6814,51,25,16021,2477,12.8%,40.4%,43.3%
Value,2020-04-28 11:34:25,19,100,35,7107,91068,6837,67,23,16076,2515,13.0%,40.4%,43.6%
Value,2020-04-28 11:36:02,20,96,33,4607,91068,6674,73,22,16042,2477,10.5%,40.4%,43.6%
Value,2020-04-28 11:37:36,19,96,32,4592,91068,6682,62,23,15977,2410,8.7%,40.4%,42.7%
Value,2020-04-28 22:46:08,2,20,6,514,67609,1480,45,6,19634,682,6.5%,40.5%,42.9%
Value,2020-04-28 22:47:48,2,20,6,937,67609,1485,41,9,19610,664,7.5%,40.5%,43.8%
Value,2020-04-28 22:49:21,7,20,6,1854,67609,1517,40,10,19757,796,5.2%,40.5%,43.8%
Value,2020-04-28 22:50:57,6,20,6,808,67609,1511,50,12,19688,712,6.1%,40.5%,43.8%
Value,2020-04-28 22:52:29,4,20,6,954,67609,1525,45,10,19622,621,5.0%,40.5%,43.8%
Value,2020-04-28 22:53:57,3,20,6,262,67609,1527,37,10,19615,619,6.9%,40.5%,43.8%
Value,2020-04-28 22:55:21,6,20,6,497,67609,1520,42,8,19613,604,5.4%,40.5%,43.8%
Value,2020-04-28 22:56:46,3,20,6,788,67609,1519,43,4,19619,596,10.3%,40.5%,42.9%
Value,2020-04-28 22:58:11,6,20,6,1812,67609,1535,36,5,19607,586,3.8%,40.5%,42.9%
Value,2020-04-28 22:59:44,1,20,5,192,67609,1516,26,5,19581,564,3.6%,40.5%,42.9%
Value,2020-04-28 23:01:13,6,20,5,2282,67609,1545,24,8,19598,576,3.3%,40.5%,42.9%
Value,2020-04-28 23:02:52,3,20,5,1237,67609,1521,11,10,19676,640,6.9%,40.5%,42.9%
Value,2020-04-28 23:04:34,6,20,5,564,67609,1531,10,10,19625,576,6.6%,40.5%,42.9%
Value,2020-04-28 23:06:14,4,20,5,123,67609,1500,16,11,19597,528,5.4%,40.6%,42.9%
Value,2020-04-28 23:07:45,3,20,5,539,67609,1504,11,4,19614,519,5.1%,40.5%,42.9%
Value,2020-04-28 23:09:13,2,20,5,100,30383,1261,14,5,19626,510,4.7%,40.6%,42.9%
Value,2020-04-28 23:10:47,3,19,5,138,30383,1231,6,4,19632,505,4.3%,40.5%,42.9%
Value,2020-04-28 23:12:17,3,19,4,162,30383,1192,5,4,19622,484,3.3%,40.5%,42.9%
Value,2020-04-28 23:13:48,1,19,4,133,30383,1140,6,3,19627,476,4.1%,40.5%,42.9%
Value,2020-04-28 23:15:26,1,19,4,73,30383,1079,9,5,19622,462,4.8%,40.5%,42.9%
Value,2020-04-28 23:16:54,2,19,4,313,30383,1057,20,4,19694,514,15.6%,40.5%,43.8%
Value,2020-04-28 23:18:23,2,19,4,2021,23203,940,10,4,19642,470,7.3%,40.5%,43.8%
Value,2020-04-28 23:19:47,2,19,4,105,23203,890,14,4,19653,471,5.4%,40.5%,43.8%
Value,2020-04-28 23:21:16,3,19,4,315,23203,826,12,4,19669,467,7.1%,40.5%,43.8%
Value,2020-04-28 23:22:47,2,19,4,56,23203,807,14,3,19694,478,5.2%,40.5%,43.8%
Value,2020-04-28 23:24:17,4,19,4,368,23203,782,14,3,19729,488,4.7%,40.5%,43.8%
Value,2020-04-28 23:25:49,2,19,4,60,23203,763,12,2,19735,492,6.1%,40.5%,43.8%
Value,2020-04-28 23:27:21,2,19,4,220,23203,716,13,3,19741,479,3.5%,40.5%,43.8%
Value,2020-04-28 23:28:52,3,19,4,197,23203,684,11,4,19713,441,4.2%,40.5%,43.8%
Value,2020-04-28 23:30:28,3,19,4,93,23203,674,9,4,19712,435,6.2%,40.5%,43.8%
Value,2020-04-28 23:31:56,2,19,4,154,23203,667,20,5,19756,446,6.9%,40.5%,42.9%
Value,2020-04-28 23:33:26,3,19,4,121,23203,629,17,4,19815,491,8.1%,40.5%,42.9%
Value,2020-04-28 23:34:49,6,19,4,681,23203,629,11,4,19842,508,3.3%,40.6%,42.9%
Value,2020-04-28 23:36:14,2,19,3,349,23203,624,14,9,19865,522,5.0%,40.5%,42.9%
Value,2020-04-28 23:37:38,2,15,3,611,23203,636,10,7,19812,454,5.5%,40.5%,42.9%
Value,2020-04-28 23:39:03,3,15,3,458,10410,554,12,8,19833,458,4.5%,40.5%,42.9%
Value,2020-04-28 23:40:25,9,15,3,2036,10410,575,11,9,19821,431,2.5%,40.5%,42.9%
Value,2020-04-28 23:41:47,6,15,3,113,10410,594,14,7,19831,422,7.3%,40.5%,42.9%
Value,2020-04-28 23:43:15,7,15,4,182,10410,582,21,15,19867,444,7.4%,40.5%,42.9%
Value,2020-04-28 23:44:40,6,15,4,98,10410,549,10,11,19850,418,9.1%,40.5%,42.9%
Value,2020-04-28 23:46:05,8,15,4,84,10410,534,12,12,19866,416,2.8%,40.5%,42.9%
Value,2020-04-28 23:47:27,6,15,4,87,10410,521,12,10,19870,410,10.2%,40.5%,43.8%
Value,2020-04-28 23:55:11,7,15,4,82,10410,433,10,4,19961,437,2.1%,40.5%,43.8%
Value,2020-04-28 23:56:33,11,20,4,81,10410,432,9,5,19941,395,5.7%,40.5%,43.8%
Value,2020-04-28 23:57:58,6,20,4,67747,406239,1541,15,4,19952,399,5.2%,40.5%,42.9%
Value,2020-04-28 23:59:21,6,20,4,77,406239,1529,9,2,19959,392,8.3%,40.5%,42.8%
