,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-05 00:00:21,6,19,7,199,19277,629,61,20,735,612,4.0%,41.6%,61.7%
Value,2020-05-05 00:01:45,6,19,7,534,19277,639,55,12,657,535,5.3%,41.6%,61.7%
Value,2020-05-05 08:21:55,10,24,11,3916,302554,4468,40,18,1098,981,2.7%,41.4%,61.8%
Value,2020-05-05 08:28:59,25,28,12,15433,302554,5579,57,24,1335,1215,4.3%,41.7%,61.8%
Value,2020-05-05 08:34:52,19,36,13,16103,302554,6934,56,25,1491,1370,4.4%,41.5%,61.8%
Value,2020-05-05 08:39:23,11,36,13,4502,302554,6635,36,18,1510,1409,4.6%,41.5%,61.8%
Value,2020-05-05 08:42:49,12,36,13,15732,302554,6978,35,28,1440,1342,3.1%,41.5%,61.8%
Value,2020-05-05 08:48:11,18,36,13,6795,302554,7833,55,24,1692,1575,6.6%,41.5%,60.9%
Value,2020-05-05 08:52:10,26,36,14,9264,302554,8475,63,30,1888,1782,7.6%,41.5%,60.9%
Value,2020-05-05 08:55:53,24,36,14,23381,302554,8925,72,51,1894,1791,3.9%,41.5%,60.9%
Value,2020-05-05 08:58:59,19,36,15,4469,302554,9096,44,29,1902,1796,3.7%,41.6%,60.9%
Value,2020-05-05 09:01:15,17,36,15,7806,302554,9541,52,29,1891,1781,7.4%,41.6%,61.8%
Value,2020-05-05 09:04:04,27,38,16,12938,302554,10057,77,41,2052,1930,3.7%,41.5%,60.9%
Value,2020-05-05 09:06:47,18,38,16,4415,302554,10598,41,24,1917,1816,5.4%,41.5%,60.9%
Value,2020-05-05 09:10:22,16,38,17,13668,266634,10439,40,22,2110,2014,5.7%,41.5%,60.9%
Value,2020-05-05 09:13:34,16,38,17,3483,266634,11261,50,25,2086,1976,4.7%,41.5%,60.9%
Value,2020-05-05 09:16:16,18,38,18,14389,266634,11561,39,42,2112,2023,3.4%,41.5%,60.9%
Value,2020-05-05 09:19:00,18,38,18,3957,266634,11820,31,23,2054,1958,3.9%,41.5%,60.9%
Value,2020-05-05 09:21:57,31,38,18,9590,266634,12008,36,29,2165,2069,7.8%,41.5%,60.9%
Value,2020-05-05 09:24:34,33,43,19,14362,266634,12061,49,24,2193,2083,6.1%,41.5%,60.9%
Value,2020-05-05 09:27:22,30,43,20,5212,266634,11895,55,36,2163,2058,4.6%,41.5%,60.9%
Value,2020-05-05 09:30:09,33,43,20,8798,266634,11396,56,32,2229,2124,5.4%,41.6%,61.8%
Value,2020-05-05 09:33:05,28,43,20,6338,266634,10652,33,25,2305,2207,6.0%,41.6%,61.8%
Value,2020-05-05 09:36:04,20,43,21,7376,266634,10565,24,15,2245,2147,5.8%,41.6%,61.8%
Value,2020-05-05 09:38:22,15,43,21,4437,266634,10714,36,10,2282,2171,3.8%,41.6%,61.8%
Value,2020-05-05 09:40:40,17,43,21,2795,266634,10700,52,22,2472,2360,9.4%,41.6%,61.8%
Value,2020-05-05 09:42:42,15,43,21,5448,266634,10697,45,17,2404,2292,6.7%,41.6%,61.8%
Value,2020-05-05 09:51:20,21,43,22,15830,147753,9894,47,23,2415,2306,3.3%,41.6%,60.9%
Value,2020-05-05 09:53:54,20,43,22,12134,147753,10091,40,25,2550,2455,6.5%,41.6%,60.9%
Value,2020-05-05 09:55:54,24,43,22,17229,147753,10139,33,24,2531,2430,5.4%,41.6%,60.9%
Value,2020-05-05 09:57:54,18,43,22,30134,147753,10543,48,27,2496,2388,7.2%,41.7%,60.9%
Value,2020-05-05 09:59:49,18,43,22,3679,147753,10392,59,34,2608,2512,9.3%,41.6%,61.8%
Value,2020-05-05 10:01:42,22,43,22,6273,147753,10531,81,33,2681,2554,4.0%,41.7%,61.8%
Value,2020-05-05 10:03:40,30,62,22,10791,147753,10415,66,38,2721,2621,5.1%,41.7%,61.8%
Value,2020-05-05 10:05:34,28,62,22,7341,147753,10320,82,46,2743,2643,3.8%,41.7%,61.8%
Value,2020-05-05 10:07:26,29,75,22,11891,147753,10302,67,32,2670,2561,4.4%,41.7%,61.9%
Value,2020-05-05 10:09:18,23,75,23,4845,147753,10026,55,30,2681,2574,5.3%,41.7%,61.8%
Value,2020-05-05 10:11:04,17,75,23,6169,147753,9593,54,27,2690,2578,4.2%,41.9%,60.9%
Value,2020-05-05 10:12:56,25,75,23,5780,147753,9342,57,45,2886,2790,6.2%,41.7%,60.9%
Value,2020-05-05 10:14:46,28,75,23,25371,147753,9652,53,37,2775,2683,6.2%,41.7%,60.9%
Value,2020-05-05 10:17:27,24,75,23,13861,147753,9571,72,29,2842,2724,5.1%,41.7%,60.9%
Value,2020-05-05 10:19:22,27,75,23,8583,147753,9549,52,29,2808,2705,5.2%,41.7%,60.9%
Value,2020-05-05 10:21:18,26,75,23,9787,147753,9459,54,26,2781,2677,7.3%,41.7%,60.9%
Value,2020-05-05 10:23:16,24,75,23,6335,147753,9448,44,21,2850,2747,4.6%,41.7%,60.9%
Value,2020-05-05 10:25:10,22,75,23,5971,147753,9330,58,22,2978,2858,6.7%,41.7%,61.9%
Value,2020-05-05 10:27:09,16,75,23,4096,147753,9441,51,13,2800,2688,4.9%,41.7%,61.9%
Value,2020-05-05 10:29:23,24,75,22,13333,147753,9866,74,33,3004,2887,6.5%,41.6%,61.9%
Value,2020-05-05 10:31:47,19,75,22,12469,147753,10320,45,36,2826,2734,3.6%,41.7%,60.9%
Value,2020-05-05 10:34:11,23,75,22,7972,147753,10562,47,24,2916,2813,8.4%,41.6%,60.9%
Value,2020-05-05 10:36:26,20,75,22,14585,115971,10578,39,22,2784,2684,5.1%,41.6%,60.9%
Value,2020-05-05 10:38:23,19,75,22,4810,115971,10421,30,19,2778,2683,6.1%,41.6%,60.9%
Value,2020-05-05 10:40:18,22,75,22,3466,115971,10291,46,18,2816,2702,4.0%,41.7%,60.9%
Value,2020-05-05 10:42:29,23,75,22,135265,652261,14684,60,16,2851,2727,4.7%,41.6%,60.9%
Value,2020-05-05 10:44:29,23,75,22,8379,652261,12606,69,18,3221,3085,5.6%,41.6%,60.9%
Value,2020-05-05 10:46:25,32,75,23,10004,652261,12695,54,30,2940,2829,6.1%,41.6%,60.9%
Value,2020-05-05 10:48:39,24,75,23,4055,652261,12582,53,31,2913,2807,3.5%,41.6%,60.9%
Value,2020-05-05 10:50:32,26,75,23,7105,652261,12659,62,26,2972,2861,7.0%,41.6%,60.9%
Value,2020-05-05 10:52:29,28,75,23,10304,652261,12510,63,35,2933,2821,6.0%,41.6%,60.9%
Value,2020-05-05 10:54:39,28,75,23,11186,652261,12524,64,21,3084,2968,6.3%,41.6%,60.9%
Value,2020-05-05 10:56:35,8.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,6.6%,41.6%,61.9%
Value,2020-05-05 10:58:34,27,75,24,8147,652261,12091,65,19,3206,3077,6.8%,41.7%,61.9%
Value,2020-05-05 11:39:20,35,48,28,10921,652261,13671,62,34,3312,3201,4.6%,41.8%,61.9%
Value,2020-05-05 11:40:50,35,48,28,7846,652261,13901,59,44,3225,3120,4.1%,41.7%,61.9%
Value,2020-05-05 11:42:20,41,62,28,27558,154874,12318,77,44,3486,3385,5.8%,41.7%,61.9%
Value,2020-05-05 11:43:55,44,62,29,11865,154874,12155,58,43,3382,3285,5.5%,41.7%,61.9%
Value,2020-05-05 11:45:28,32,62,29,7617,154874,12295,56,36,3245,3142,4.5%,41.7%,61.9%
Value,2020-05-05 11:47:02,31,62,29,15818,154874,12504,45,25,3313,3204,10.5%,41.7%,61.9%
Value,2020-05-05 11:48:35,29,62,29,10143,154874,12620,57,24,3390,3266,6.6%,41.7%,61.9%
Value,2020-05-05 13:23:00,25,66,28,3413,1147759,22141,46,38,3271,3183,6.8%,41.8%,62.0%
Value,2020-05-05 13:24:33,26,66,27,5362,1147759,21969,53,36,3247,3154,5.3%,42.0%,62.0%
Value,2020-05-05 13:26:13,33,66,27,20645,1147759,22406,98,30,3296,3153,6.7%,41.8%,61.0%
Value,2020-05-05 13:27:50,26,66,27,20367,1147759,22601,67,26,3217,3104,5.1%,41.8%,61.0%
Value,2020-05-05 14:54:25,28,57,26,3929,799373,14348,79,31,3477,3344,5.2%,41.8%,62.0%
Value,2020-05-05 14:56:19,29,57,26,4913,799373,13791,90,36,3412,3278,4.6%,41.8%,61.0%
