,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-04-29 00:00:17,3,16,5,67,14004,579,39,7,604,574,9.0%,42.8%,49.0%
Value,2020-04-29 00:01:42,2,16,5,71,14004,547,43,7,598,565,6.9%,42.8%,49.0%
Value,2020-04-29 00:03:09,6,16,5,6068,28027,720,47,9,610,577,7.3%,42.8%,49.0%
Value,2020-04-29 00:04:35,2,16,5,437,28027,623,49,7,607,570,4.5%,42.9%,49.0%
Value,2020-04-29 00:06:02,2,16,5,1286,28027,637,46,7,594,562,4.5%,42.8%,49.0%
Value,2020-04-29 00:07:26,2,16,5,480,28027,619,44,6,589,557,4.1%,42.8%,49.0%
Value,2020-04-29 00:08:48,3,16,5,426,47595,712,40,5,577,545,9.3%,42.8%,49.0%
Value,2020-04-29 00:10:10,3,16,5,2638,47595,825,41,3,558,524,4.6%,42.9%,49.0%
Value,2020-04-29 00:11:34,2,16,5,377,47595,800,42,4,560,523,6.2%,42.8%,49.0%
Value,2020-04-29 00:13:00,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,5.2%,42.8%,49.0%
Value,2020-04-29 00:14:27,4,15,4,351,47595,777,46,6,593,557,5.7%,42.8%,49.9%
Value,2020-04-29 00:15:49,3,15,4,157,47595,766,47,6,597,559,6.5%,42.8%,49.9%
Value,2020-04-29 00:17:18,6,15,4,244,47595,756,54,4,592,545,4.1%,42.8%,49.9%
Value,2020-04-29 00:18:44,3,15,4,86,47595,749,45,4,562,523,3.8%,42.8%,50.0%
Value,2020-04-29 00:20:07,4,15,4,141,47595,747,48,5,582,541,3.7%,42.8%,50.0%
Value,2020-04-29 00:21:29,2,15,4,504,47595,756,40,5,575,540,10.8%,42.8%,50.0%
Value,2020-04-29 00:22:51,5,15,4,387,47595,758,52,7,562,519,4.5%,42.9%,49.9%
Value,2020-04-29 00:24:14,2,15,4,306,47595,752,51,7,540,501,4.0%,42.8%,49.0%
