,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-16 10:19:07,13,33,14,4685,67167,3315,29,16,1553,981,3.9%,42.3%,64.6%
Value,2020-05-16 10:21:18,15,33,14,2995,67167,3344,33,13,1508,940,4.3%,42.3%,64.6%
Value,2020-05-16 10:22:24,14,33,14,4747,67167,3426,48,13,1497,915,9.1%,42.3%,64.6%
Value,2020-05-16 10:23:29,12,33,14,3399,67167,3389,30,14,1481,914,5.2%,42.4%,64.6%
Value,2020-05-16 10:24:39,12,33,14,2780,67167,3387,30,14,1512,941,3.0%,42.3%,64.6%
Value,2020-05-16 10:25:49,13,33,14,721,67167,3414,32,10,1531,951,3.6%,42.3%,64.6%
Value,2020-05-16 10:27:00,12,33,14,1002,67167,3412,25,15,1526,953,7.0%,42.3%,64.6%
Value,2020-05-16 10:28:08,13,33,14,726,67167,3401,24,22,1518,951,6.2%,42.3%,63.6%
Value,2020-05-16 10:29:14,9,33,14,1793,67167,3343,25,24,1523,961,5.2%,42.3%,63.6%
Value,2020-05-16 10:30:20,9,33,14,1166,67167,3268,25,22,1542,978,3.3%,42.3%,63.6%
Value,2020-05-16 10:31:27,11,33,14,7256,67167,3332,17,14,1563,995,5.3%,42.3%,63.6%
Value,2020-05-16 10:32:37,9,33,14,1184,67167,3098,17,8,1515,943,3.2%,42.3%,63.6%
Value,2020-05-16 10:33:46,11,33,14,18631,109244,3675,29,11,1506,926,3.0%,42.3%,63.6%
Value,2020-05-16 10:35:19,13,33,14,1178,109244,3375,22,7,1507,931,4.7%,42.3%,63.6%
Value,2020-05-16 10:36:36,11,33,14,450,109244,3113,15,7,1522,952,2.5%,42.3%,63.6%
Value,2020-05-16 10:37:44,10,33,14,371,109244,3065,23,11,1569,1001,4.8%,42.3%,63.6%
Value,2020-05-16 10:38:52,12,33,14,2682,109244,3138,13,10,1585,1017,2.7%,42.3%,63.6%
Value,2020-05-16 10:39:58,12,33,14,783,109244,3035,20,12,1590,1019,5.3%,42.3%,63.6%
Value,2020-05-16 10:41:18,12,33,14,2297,109244,2982,21,12,1561,986,6.4%,42.3%,63.6%
Value,2020-05-16 10:42:35,12,33,14,2394,109244,2955,38,23,1587,1011,9.3%,42.3%,64.6%
Value,2020-05-16 10:43:47,13,33,14,2703,109244,2978,40,21,1548,967,6.2%,42.3%,64.6%
Value,2020-05-16 10:44:56,10,33,14,15966,109244,3387,31,20,1559,985,3.9%,42.4%,64.6%
Value,2020-05-16 10:46:03,10,33,14,1194,109244,3142,32,15,1521,945,4.9%,42.3%,64.6%
Value,2020-05-16 10:47:12,13,33,14,809,109244,3124,21,10,1513,943,5.3%,42.3%,64.6%
Value,2020-05-16 10:48:27,16,33,14,1220,109244,3083,21,9,1512,939,4.8%,42.3%,63.6%
Value,2020-05-16 10:49:39,14,33,14,2043,109244,3120,19,16,1460,892,2.9%,42.3%,63.6%
Value,2020-05-16 10:50:50,12,33,13,557,109244,3081,14,18,1497,937,5.5%,42.3%,63.6%
Value,2020-05-16 10:51:59,12,33,13,202,109244,3063,19,16,1564,996,6.5%,42.3%,63.6%
Value,2020-05-16 10:53:06,12,33,13,981,109244,3037,17,15,1529,963,5.3%,42.3%,63.6%
Value,2020-05-16 10:54:11,12,33,13,943,109244,2982,12,11,1521,956,4.1%,42.3%,63.6%
Value,2020-05-16 10:55:19,15,33,13,656,109244,2953,19,11,1529,959,3.3%,42.3%,63.6%
Value,2020-05-16 10:56:27,19,33,13,2409,109244,2860,41,21,1582,1006,3.6%,42.3%,63.6%
Value,2020-05-16 10:57:36,16,33,13,2655,109244,2865,24,16,1565,998,5.4%,42.3%,63.6%
Value,2020-05-16 10:58:44,16,33,13,1075,109244,2822,25,18,1612,1046,3.0%,42.3%,63.6%
Value,2020-05-16 10:59:55,15,33,13,808,109244,2615,36,20,1631,1046,4.3%,42.3%,63.6%
Value,2020-05-16 11:01:04,19,33,13,962,109244,2605,36,15,1577,996,6.9%,42.3%,63.6%
Value,2020-05-16 11:02:22,15,33,13,976,109244,2624,40,15,1593,1010,4.9%,42.3%,63.6%
Value,2020-05-16 11:03:43,14,33,13,369,109244,2500,47,15,1601,1009,4.1%,42.3%,63.6%
Value,2020-05-16 11:04:56,10,33,13,880,109244,2482,24,16,1555,987,3.1%,42.3%,63.6%
Value,2020-05-16 11:06:04,18,33,13,1412,109244,2449,24,15,1579,1013,4.6%,42.5%,63.6%
Value,2020-05-16 11:07:10,18,33,13,2288,109244,2428,25,17,1574,1006,2.7%,42.3%,63.6%
Value,2020-05-16 11:08:22,13,31,13,1250,109244,2327,26,13,1571,1003,6.4%,42.3%,64.6%
Value,2020-05-16 11:09:28,12,31,13,1875,109244,2354,27,12,1618,1045,4.9%,42.3%,64.6%
Value,2020-05-16 11:10:35,15,31,13,795,109244,2332,19,14,1556,994,3.9%,42.3%,64.6%
Value,2020-05-16 11:11:42,15,31,13,7840,109244,2555,27,20,1536,969,3.0%,42.3%,64.6%
Value,2020-05-16 11:12:49,19,31,13,14384,109244,2845,31,19,1673,1106,8.9%,42.3%,63.6%
Value,2020-05-16 11:13:57,18,31,13,1424,109244,2674,29,21,1697,1130,3.7%,42.3%,63.6%
Value,2020-05-16 11:15:04,18,31,13,6160,109244,2777,51,19,1720,1132,5.1%,42.3%,63.6%
Value,2020-05-16 15:32:38,8,36,8,885,28579,1838,23,30,1546,994,2.2%,42.2%,63.4%
Value,2020-05-16 15:33:47,7,36,8,1955,28579,1868,22,21,1500,943,2.6%,42.3%,63.4%
Value,2020-05-16 15:34:50,6,36,8,2388,28579,1878,25,24,1472,914,2.0%,42.2%,63.4%
Value,2020-05-16 15:35:52,7,36,8,1011,28579,1866,31,21,1470,911,6.9%,42.2%,63.4%
Value,2020-05-16 15:37:03,6,36,8,1056,28579,1881,26,12,1514,942,3.8%,42.2%,63.4%
Value,2020-05-16 15:38:21,10,36,8,1387,28579,1833,26,11,1537,969,4.4%,42.3%,63.4%
Value,2020-05-16 15:39:28,10,36,8,1705,28579,1808,20,14,1536,972,5.6%,42.2%,63.4%
Value,2020-05-16 15:40:37,11,36,8,4877,28579,1883,16,14,1584,1016,4.2%,42.2%,63.4%
Value,2020-05-16 15:41:44,8,36,8,3878,28579,1870,22,13,1602,1034,4.3%,42.2%,63.4%
Value,2020-05-16 15:42:50,8,36,8,7917,32701,2097,31,17,1580,1011,1.6%,42.2%,63.4%
Value,2020-05-16 15:43:53,8,36,8,5084,32701,2097,29,13,1551,978,1.5%,42.2%,63.4%
Value,2020-05-16 15:45:00,7,36,8,7368,32701,2203,23,7,1551,975,8.0%,42.3%,64.3%
Value,2020-05-16 15:46:05,6,36,7,2441,32701,2236,20,8,1528,956,4.9%,42.2%,64.3%
Value,2020-05-16 15:47:10,8,36,7,3573,32701,2288,21,10,1525,959,4.5%,42.2%,64.3%
Value,2020-05-16 15:48:13,10,36,8,3336,32701,2346,30,18,1588,1022,4.1%,42.2%,64.3%
Value,2020-05-16 15:49:16,13,36,8,1871,32701,2354,23,16,1559,992,4.7%,42.2%,64.3%
Value,2020-05-16 15:50:20,12,36,8,3990,32701,2345,25,14,1543,972,2.9%,42.3%,64.3%
Value,2020-05-16 15:51:23,11,36,8,953,32701,2340,23,11,1522,952,2.4%,42.2%,64.3%
Value,2020-05-16 15:52:28,13,36,8,2520,32701,2376,23,16,1523,957,4.7%,42.3%,64.3%
Value,2020-05-16 15:53:31,10,36,8,1047,32701,2337,20,16,1512,948,4.9%,42.3%,64.3%
