,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-04-26 00:19:43,3,15,3,242,47151,756,8,7,443,446,10.3%,42.8%,48.4%
Value,2020-04-26 00:21:05,5,15,3,1109,47151,776,6,6,440,441,8.7%,42.8%,48.4%
Value,2020-04-26 00:22:25,4,15,3,132,47151,772,12,8,427,424,5.0%,42.8%,48.4%
Value,2020-04-26 00:23:50,5,15,3,2954,47151,834,17,21,442,443,5.3%,42.8%,48.4%
Value,2020-04-26 00:25:12,6,15,3,3965,47151,899,14,20,434,438,4.4%,42.9%,48.4%
Value,2020-04-26 00:26:33,9,15,3,2469,47151,938,17,24,477,482,3.4%,42.8%,48.4%
Value,2020-04-26 00:27:54,8,15,3,2526,47151,1032,15,21,445,450,5.3%,42.8%,48.4%
Value,2020-04-26 00:29:16,9,15,3,3046,47151,1028,16,17,436,437,8.8%,42.8%,48.4%
Value,2020-04-26 00:30:42,9,15,4,2611,47151,1115,12,13,448,448,4.3%,42.8%,48.4%
Value,2020-04-26 00:32:05,12,15,4,2683,47151,1150,25,21,472,474,6.9%,42.8%,48.4%
Value,2020-04-26 00:33:31,9,15,4,2630,47151,1190,20,16,477,476,10.5%,42.8%,49.0%
Value,2020-04-26 00:34:55,10,16,4,2532,47151,1266,28,15,500,498,8.1%,42.8%,49.3%
Value,2020-04-26 00:36:21,12,24,4,2817,47151,1315,18,7,468,460,7.1%,42.8%,49.3%
Value,2020-04-26 00:37:46,11,24,5,3927,47151,1439,15,8,443,436,3.7%,42.8%,49.3%
Value,2020-04-26 00:39:09,8,24,5,2787,47151,1468,15,12,451,448,6.2%,42.8%,48.4%
Value,2020-04-26 00:40:31,8,24,5,3022,47151,1513,15,11,461,463,7.2%,42.8%,48.4%
Value,2020-04-26 00:41:55,11,24,5,2726,47151,1602,29,12,496,497,5.5%,42.8%,48.4%
Value,2020-04-26 00:43:21,9,24,5,3218,47151,1649,12,9,515,513,11.8%,42.9%,48.4%
Value,2020-04-26 00:44:47,8,24,5,3285,47151,1754,9,10,489,491,2.8%,42.8%,48.4%
Value,2020-04-26 00:46:09,9,24,5,3135,47151,1795,9,14,496,501,5.3%,42.8%,48.4%
Value,2020-04-26 00:47:32,10,24,6,3012,47151,1837,15,17,469,473,9.2%,42.8%,48.4%
Value,2020-04-26 00:48:56,9,24,6,2245,47151,1904,17,18,497,501,3.0%,42.9%,48.4%
Value,2020-04-26 00:50:18,8,24,6,2416,47151,1947,12,14,449,453,2.7%,42.9%,48.4%
Value,2020-04-26 00:51:45,7,24,6,2363,47151,2022,9,10,430,433,6.0%,42.8%,48.4%
Value,2020-04-26 00:53:07,6,24,6,3658,47151,2048,10,9,446,449,4.3%,42.8%,48.4%
Value,2020-04-26 00:54:30,6,24,6,2295,47151,1929,7,7,416,416,9.0%,42.8%,48.4%
Value,2020-04-26 00:55:54,8,24,6,2687,47151,2002,9,11,418,420,4.1%,42.8%,48.4%
