,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-03 17:21:50,13,28,6,1760,293951,3210,70,25,30003,790,4.7%,40.6%,44.3%
Value,2020-05-03 17:23:10,12,28,7,938,293951,3224,76,17,30004,754,5.2%,40.7%,44.3%
Value,2020-05-03 17:24:32,16,29,7,6522,293951,3370,81,22,30055,791,5.4%,40.6%,44.3%
Value,2020-05-03 17:25:59,10,29,7,922,293951,3222,77,19,30021,736,9.0%,40.6%,44.3%
Value,2020-05-03 17:27:23,9,29,7,991,293951,3201,75,14,30014,711,5.9%,40.6%,44.3%
Value,2020-05-03 17:28:46,8,29,7,1419,293951,3211,65,9,30017,711,5.9%,40.7%,44.3%
Value,2020-05-03 17:30:19,8,29,7,981,293951,2990,69,7,29998,670,9.4%,40.6%,44.3%
Value,2020-05-03 17:32:01,13,29,7,758,293951,2974,83,13,30066,727,20.9%,40.7%,44.3%
Value,2020-05-03 17:46:26,8,33,8,992,43333,1636,88,10,30217,747,9.8%,40.7%,44.3%
Value,2020-05-03 17:47:50,9,33,9,430,43333,1633,85,11,30213,735,8.8%,40.7%,44.3%
Value,2020-05-03 17:49:13,11,33,9,811,43333,1643,76,8,30199,723,3.6%,40.7%,44.3%
Value,2020-05-03 17:50:35,11,33,9,804,43333,1640,77,7,30209,728,4.3%,40.7%,44.3%
Value,2020-05-03 17:51:58,12,33,9,1006,43333,1654,74,10,30222,733,6.7%,40.7%,44.3%
Value,2020-05-03 17:53:19,10,33,9,5033,43333,1796,74,7,30215,712,7.5%,40.7%,44.3%
Value,2020-05-03 17:54:42,9,33,9,548,43333,1710,81,12,30191,690,4.2%,40.8%,44.3%
Value,2020-05-03 17:56:08,8,33,10,160,43333,1696,76,12,30217,707,8.0%,40.7%,44.3%
Value,2020-05-03 17:57:32,10,33,10,179,43333,1690,60,8,30199,697,8.8%,40.7%,44.3%
Value,2020-05-03 17:58:56,10,33,10,397,43333,1660,47,10,30195,708,3.6%,40.7%,44.3%
Value,2020-05-03 18:00:24,12,33,10,1259,43333,1622,50,7,30235,736,6.9%,40.7%,44.3%
Value,2020-05-03 18:01:50,11,33,10,2207,43333,1633,56,7,30203,680,12.0%,40.7%,43.5%
Value,2020-05-03 18:03:14,9,33,10,6188,43333,1800,63,8,30193,651,6.0%,40.7%,43.5%
Value,2020-05-03 18:04:38,15,33,10,276,43333,1697,71,8,30224,663,6.8%,40.7%,43.5%
Value,2020-05-03 18:06:04,13,33,10,322,43333,1649,78,7,30233,652,11.2%,40.7%,43.5%
Value,2020-05-03 18:07:28,14,33,10,455,43333,1599,81,9,30287,691,4.4%,40.8%,43.5%
Value,2020-05-03 18:08:51,12,33,10,1352,33115,1483,83,11,30234,640,4.9%,40.7%,43.5%
Value,2020-05-03 18:10:15,11,33,10,872,33115,1472,66,9,30220,629,9.5%,40.7%,43.5%
Value,2020-05-03 18:11:38,10,33,11,584,33115,1458,73,9,30252,629,14.3%,40.7%,44.3%
Value,2020-05-03 18:13:03,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,3.8%,40.7%,44.3%
Value,2020-05-03 18:14:25,12,33,11,401,33115,1444,70,17,30389,754,11.1%,40.7%,44.3%
Value,2020-05-03 18:15:48,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,9.0%,40.7%,44.3%
Value,2020-05-03 18:17:09,11,33,11,123,33115,1416,78,16,30351,692,7.2%,40.7%,43.5%
Value,2020-05-03 18:18:33,11,33,11,2689,33115,1447,69,14,30359,685,6.7%,40.7%,43.5%
Value,2020-05-03 18:19:56,15,33,11,2872,33115,1468,71,11,30368,677,4.4%,40.7%,43.5%
Value,2020-05-03 18:21:21,15,33,11,2900,33115,1530,80,11,30402,694,10.6%,40.6%,43.5%
Value,2020-05-03 18:22:43,14,33,11,9589,34474,1668,81,19,30396,692,7.0%,40.6%,43.5%
Value,2020-05-03 18:24:04,11,33,11,3116,34474,1638,75,18,30332,622,6.2%,40.6%,43.5%
Value,2020-05-03 18:25:28,12,33,11,4415,34474,1697,69,15,30379,655,5.3%,40.6%,43.5%
Value,2020-05-03 18:26:50,12,33,11,5878,34474,1836,65,14,30375,655,5.3%,40.6%,43.5%
Value,2020-05-03 18:28:11,12,33,11,3615,34474,1880,63,15,30370,637,10.9%,40.6%,43.5%
Value,2020-05-03 18:29:31,12,33,11,178,34474,1857,65,16,30371,623,4.7%,40.6%,43.5%
Value,2020-05-03 18:30:54,10,33,11,160,34474,1852,70,12,30382,625,8.9%,40.6%,43.5%
Value,2020-05-03 18:32:15,11,33,11,327,34474,1752,70,7,30377,615,9.6%,40.6%,43.5%
Value,2020-05-03 18:33:37,9,26,11,119,34474,1708,77,6,30369,590,7.7%,40.6%,43.5%
Value,2020-05-03 18:34:59,11,26,11,125,34474,1674,75,10,30417,637,5.6%,40.6%,43.5%
Value,2020-05-03 18:36:23,11,26,11,148,34474,1665,71,11,30446,654,9.5%,40.6%,43.8%
Value,2020-05-03 18:37:45,13,26,11,994,34474,1653,66,10,30425,621,6.3%,40.6%,44.4%
Value,2020-05-03 18:39:10,15,26,11,1315,34474,1630,79,11,30476,664,6.1%,40.6%,44.4%
Value,2020-05-03 18:40:32,12,26,11,1171,34474,1644,58,7,30414,607,5.1%,40.7%,44.4%
Value,2020-05-03 18:41:54,11,22,11,1970,34474,1684,73,14,30451,620,7.6%,40.6%,44.3%
Value,2020-05-03 18:43:18,11,20,11,1692,34474,1656,65,14,30454,622,4.0%,40.6%,44.3%
Value,2020-05-03 18:44:43,12,20,11,5123,34474,1720,65,15,30450,612,5.1%,40.7%,44.3%
Value,2020-05-03 18:46:06,11,20,11,13485,68439,2113,66,15,30472,627,5.2%,40.6%,44.4%
Value,2020-05-03 18:47:28,10,20,11,736,68439,1910,70,12,30486,627,6.7%,40.6%,44.4%
Value,2020-05-03 18:48:49,13,20,11,1299,68439,1927,70,13,30487,628,3.8%,40.7%,44.4%
Value,2020-05-03 18:50:12,10,19,11,204,68439,1906,71,8,30462,588,7.1%,40.7%,44.4%
Value,2020-05-03 18:51:34,9,19,11,423,68439,1923,67,8,30443,564,7.8%,40.6%,44.4%
Value,2020-05-03 18:52:58,9,19,11,1214,68439,1846,62,6,30469,588,5.5%,40.6%,44.3%
Value,2020-05-03 18:54:27,10,19,11,190,68439,1842,63,11,30485,597,7.1%,40.6%,44.4%
Value,2020-05-03 18:55:54,10,19,11,123,68439,1844,63,11,30516,608,9.1%,40.6%,44.4%
Value,2020-05-03 18:57:18,12,19,11,189,68439,1843,65,11,30578,646,4.6%,40.8%,43.5%
Value,2020-05-03 18:58:43,12,19,11,2146,68439,1873,49,14,30561,642,10.4%,40.6%,43.5%
Value,2020-05-03 19:00:05,10,19,11,181,68439,1828,51,11,30560,624,10.2%,40.6%,43.5%
Value,2020-05-03 19:01:27,10,19,11,148,68439,1835,48,6,30574,617,8.6%,40.6%,43.5%
Value,2020-05-03 19:02:53,9,19,11,107,68439,1741,44,7,30560,604,4.3%,40.6%,43.5%
Value,2020-05-03 19:04:18,5,19,11,75,68439,1733,44,6,30566,592,7.8%,40.6%,43.5%
Value,2020-05-03 19:05:46,7,19,11,300,68439,1733,49,4,30595,603,9.3%,40.6%,43.5%
Value,2020-05-03 19:07:10,9,19,11,3684,68439,1976,55,9,30568,573,10.0%,40.7%,44.4%
Value,2020-05-03 19:08:33,8,19,10,1134,68439,1913,65,12,30603,590,8.1%,40.7%,44.4%
Value,2020-05-03 19:09:58,7,19,10,5670,68439,2087,62,12,30608,585,3.8%,40.7%,44.4%
Value,2020-05-03 19:11:23,8,19,10,249,68439,2005,56,10,30664,643,6.8%,40.7%,44.4%
Value,2020-05-03 19:12:44,6,19,10,144,68439,1999,62,7,30661,614,5.9%,40.7%,43.5%
Value,2020-05-03 19:14:07,7,19,10,397,68439,1949,61,7,30647,587,4.1%,40.7%,43.5%
Value,2020-05-03 19:15:29,7,19,10,146,68439,1942,58,13,30637,579,3.9%,40.8%,43.5%
Value,2020-05-03 19:16:51,6,19,10,134,68439,1941,63,11,30656,580,5.5%,40.7%,43.5%
Value,2020-05-03 19:18:10,5,19,10,386,68439,1907,62,12,30675,579,3.4%,40.8%,43.5%
Value,2020-05-03 19:19:34,5,19,10,308,68439,1881,66,8,30695,583,10.9%,40.7%,43.5%
Value,2020-05-03 19:20:55,7,19,9,2294,68439,1818,62,5,30705,578,8.8%,40.7%,43.5%
Value,2020-05-03 19:22:17,6,19,9,3153,68439,1736,65,4,30739,590,4.8%,40.7%,43.5%
Value,2020-05-03 19:23:40,5,19,9,111,68439,1642,63,5,30727,568,7.1%,40.7%,43.5%
Value,2020-05-03 19:25:00,7,19,9,100,68439,1456,66,7,30758,597,4.9%,40.7%,43.5%
Value,2020-05-03 19:26:22,5,19,9,171,68439,1367,63,10,30737,573,2.9%,40.7%,43.5%
Value,2020-05-03 19:27:45,4,19,9,295,68439,1355,57,13,30711,548,6.5%,40.7%,43.5%
Value,2020-05-03 19:29:10,6,19,9,7634,68439,1545,40,4,30689,531,7.9%,40.7%,43.5%
Value,2020-05-03 19:30:33,7,19,9,1706,68439,1472,29,5,30667,513,4.4%,40.7%,43.5%
Value,2020-05-03 19:31:56,7,19,8,1614,68439,1512,15,5,30731,571,16.4%,40.8%,44.4%
Value,2020-05-03 19:33:20,10,19,8,1484,68439,1538,11,6,30774,615,9.1%,40.7%,44.4%
Value,2020-05-03 19:34:42,9,19,8,522,68439,1535,12,9,30844,672,7.6%,40.7%,44.4%
Value,2020-05-03 19:36:03,12,19,8,930,68439,1563,13,17,30871,686,5.1%,40.7%,44.4%
Value,2020-05-03 19:37:25,9,19,8,251,68439,1571,9,12,30867,663,4.2%,40.7%,44.4%
Value,2020-05-03 19:38:46,7,19,8,823,68439,1537,6,15,30898,697,4.8%,40.7%,44.4%
Value,2020-05-03 19:40:09,5,19,8,287,68439,1471,3,13,30899,680,11.7%,40.9%,44.4%
Value,2020-05-03 19:41:32,5,19,8,142,68439,1444,5,9,30858,619,5.6%,40.7%,44.4%
Value,2020-05-03 19:42:53,8,19,8,1866,68439,1415,9,9,30916,665,7.5%,40.7%,44.4%
Value,2020-05-03 19:44:15,7,16,8,612,68439,1336,4,8,30814,557,5.5%,40.7%,44.4%
Value,2020-05-03 19:45:36,4,16,8,112,51050,1110,9,4,30790,513,4.8%,40.7%,44.4%
Value,2020-05-03 19:47:01,4,16,7,59,51050,1088,8,3,30795,503,6.1%,40.7%,44.4%
Value,2020-05-03 19:48:23,4,16,7,80,51050,1078,13,6,30804,496,3.5%,40.7%,44.4%
Value,2020-05-03 19:49:48,5,16,7,141,51050,1077,9,6,30857,530,5.2%,40.7%,44.4%
Value,2020-05-03 19:51:15,8,16,7,636,51050,1073,8,7,30922,572,3.6%,40.8%,44.4%
Value,2020-05-03 19:52:42,5,16,7,143,51050,1064,12,8,30898,541,4.8%,40.7%,44.4%
Value,2020-05-03 19:54:11,6,16,7,1710,51050,1096,11,5,30899,521,4.6%,40.8%,44.4%
Value,2020-05-03 19:55:38,5,16,7,179,51050,1068,6,8,30922,540,7.2%,40.7%,44.4%
Value,2020-05-03 19:57:04,6,16,7,223,51050,1106,7,10,30948,565,17.2%,40.7%,44.4%
Value,2020-05-03 19:58:39,5,16,7,317,51050,1057,9,8,30925,517,6.0%,40.7%,44.4%
Value,2020-05-03 20:00:18,6,16,7,333,51050,1018,8,7,30979,544,5.6%,40.7%,44.4%
Value,2020-05-03 20:01:49,4,16,6,239,51050,1026,11,9,30978,517,6.0%,40.7%,43.5%
Value,2020-05-03 20:03:16,6,16,6,111,51050,1012,12,9,30979,494,6.0%,40.7%,43.5%
Value,2020-05-03 20:04:41,6,16,6,66,51050,1009,11,7,30979,489,11.7%,40.7%,43.5%
Value,2020-05-03 20:06:10,5,16,6,58,34264,801,11,9,31001,498,6.9%,40.7%,43.5%
Value,2020-05-03 20:07:35,4,16,6,53,34264,805,7,7,31058,541,11.2%,40.7%,43.5%
Value,2020-05-03 20:09:10,6,16,6,851,34264,716,9,5,31097,560,6.6%,40.7%,43.5%
Value,2020-05-03 20:10:37,8,16,6,314,34264,696,18,8,31120,571,9.4%,40.7%,43.5%
Value,2020-05-03 20:12:01,4,16,6,86,34264,691,9,10,31126,572,4.3%,40.7%,43.5%
Value,2020-05-03 20:13:37,11,16,6,339,34264,691,16,10,31169,588,6.7%,40.7%,43.5%
Value,2020-05-03 20:15:18,12,16,6,742,34264,701,9,9,31215,613,9.0%,40.9%,43.5%
Value,2020-05-03 20:16:57,11,16,7,508,34264,708,12,19,31286,680,11.6%,40.7%,43.5%
Value,2020-05-03 20:18:37,11,16,7,1356,34264,732,9,17,31228,600,5.6%,40.7%,43.5%
Value,2020-05-03 20:20:18,12,16,7,270,34264,723,8,13,31223,575,5.6%,40.7%,43.5%
Value,2020-05-03 20:22:02,10,16,7,400,34264,675,9,7,31259,572,18.9%,40.7%,44.1%
Value,2020-05-03 20:23:45,10,16,7,234,34264,700,14,5,31297,589,5.1%,40.7%,44.4%
Value,2020-05-03 20:25:20,10,16,7,175,34264,698,15,5,31297,585,5.4%,40.7%,44.4%
Value,2020-05-03 20:26:46,10,16,7,3713,34264,751,12,5,31291,566,5.8%,40.7%,44.4%
Value,2020-05-03 20:28:11,7,16,7,98,21742,625,11,3,31313,596,4.8%,40.7%,44.4%
Value,2020-05-03 20:29:39,10,16,7,627,21742,626,24,12,31298,567,6.7%,40.7%,44.4%
Value,2020-05-03 20:31:05,8,16,7,4069,21742,725,37,14,31343,597,9.6%,40.9%,44.4%
Value,2020-05-03 20:32:25,7,16,7,169,21742,629,54,16,31425,638,8.6%,40.7%,44.4%
Value,2020-05-03 20:33:54,8,17,7,3649,21742,703,71,16,31438,621,5.8%,40.7%,44.4%
Value,2020-05-03 20:35:46,7,17,7,3203,21742,719,70,8,31437,590,4.0%,40.7%,44.4%
Value,2020-05-03 20:37:11,9,17,7,1298,21742,760,74,15,31486,630,7.5%,40.7%,43.5%
Value,2020-05-03 20:38:39,8,17,7,568,21742,744,78,10,31511,628,9.9%,40.7%,43.5%
Value,2020-05-03 20:40:05,11,17,7,1915,21742,783,74,18,31545,649,4.4%,40.7%,43.5%
Value,2020-05-03 20:41:37,10,17,7,957,21742,801,78,18,31591,685,5.7%,40.7%,43.5%
Value,2020-05-03 20:43:02,8,17,7,619,21742,808,79,18,31578,654,6.1%,40.7%,43.5%
Value,2020-05-03 20:44:34,7,17,7,100,21742,794,76,9,31530,594,3.8%,40.7%,43.5%
Value,2020-05-03 20:46:04,8,17,8,238,21742,788,76,6,31538,581,5.0%,40.7%,43.5%
Value,2020-05-03 20:47:34,11,17,8,69,21742,780,55,5,31553,599,5.0%,40.7%,43.5%
Value,2020-05-03 20:49:15,12,21,8,1745,21742,837,44,5,31571,624,9.2%,40.7%,43.5%
Value,2020-05-03 20:50:50,13,21,8,1629,21742,852,24,5,31541,606,4.6%,40.7%,43.5%
Value,2020-05-03 20:52:23,10,21,8,1974,21742,908,24,6,31539,588,18.5%,40.7%,44.4%
Value,2020-05-03 20:53:51,10,21,8,1685,21742,906,10,8,31556,595,4.2%,40.7%,44.4%
Value,2020-05-03 20:55:22,10,21,8,1875,21742,959,20,12,31599,614,5.1%,40.7%,44.4%
Value,2020-05-03 20:56:49,12,21,8,1876,21742,969,15,14,31604,605,5.9%,40.7%,44.4%
Value,2020-05-03 20:58:19,10,21,9,1914,21742,1020,18,13,31591,575,6.0%,40.7%,43.5%
Value,2020-05-03 20:59:51,11,21,9,1485,21742,1041,19,13,31620,603,3.9%,40.7%,43.5%
Value,2020-05-03 21:01:36,9,21,9,1385,21742,1080,28,16,31628,595,12.3%,40.7%,43.5%
Value,2020-05-03 21:03:17,10,21,9,2910,21742,1181,19,10,31672,616,7.5%,40.8%,43.5%
Value,2020-05-03 21:05:06,9,21,9,1993,21742,1238,18,5,31679,609,4.1%,40.9%,43.5%
Value,2020-05-03 21:06:44,9,21,9,2116,21742,1272,15,5,31685,613,6.9%,40.7%,43.5%
Value,2020-05-03 21:08:23,7,21,9,116,21742,1259,10,3,31651,562,7.1%,40.7%,43.5%
Value,2020-05-03 21:10:07,7,21,9,665,21742,1296,16,8,31675,574,5.6%,40.8%,43.5%
Value,2020-05-03 21:11:40,8,21,9,761,21742,1299,21,9,31678,569,6.9%,40.7%,43.5%
Value,2020-05-03 21:13:16,4,21,9,300,21742,1305,20,10,31687,574,10.5%,40.7%,43.5%
Value,2020-05-03 21:14:41,2,21,9,373,21742,1300,18,9,31695,570,6.9%,40.7%,43.5%
Value,2020-05-03 21:16:06,2,21,8,654,21742,1304,26,13,31698,557,8.8%,40.7%,43.5%
Value,2020-05-03 21:17:30,2,21,8,194,21742,1286,20,17,31723,586,16.8%,40.7%,44.4%
Value,2020-05-03 21:18:57,3,21,8,112,21742,1253,15,15,31734,593,11.8%,40.8%,44.4%
Value,2020-05-03 21:20:30,7,21,8,731,21742,1262,25,9,31813,646,8.4%,40.8%,44.4%
Value,2020-05-03 21:21:58,3,21,8,420,21742,1241,12,5,31809,640,3.3%,40.7%,44.4%
Value,2020-05-03 21:23:30,2,21,8,673,21742,1246,14,2,31777,582,9.3%,40.8%,44.4%
Value,2020-05-03 21:25:03,4,21,7,3879,22103,1369,12,5,31889,683,7.1%,40.8%,44.4%
Value,2020-05-03 21:27:23,3,21,7,105,22103,1251,18,6,31831,607,7.3%,40.8%,44.4%
Value,2020-05-03 21:28:58,6,21,7,103,22103,1224,13,3,31804,571,4.2%,40.8%,44.4%
Value,2020-05-03 21:30:38,5,21,7,179,22103,1149,19,5,31812,567,4.6%,40.8%,44.4%
Value,2020-05-03 21:32:08,5,21,7,202,22103,1142,22,7,31829,581,4.9%,40.8%,44.4%
Value,2020-05-03 21:33:39,5,21,7,69,22103,1068,19,6,31850,589,4.3%,40.9%,44.4%
Value,2020-05-03 21:35:21,8,21,7,259,22103,1012,21,9,31883,611,6.6%,40.8%,44.4%
Value,2020-05-03 21:37:21,6,21,7,644,22103,1004,9,6,31892,592,5.5%,40.8%,44.4%
Value,2020-05-03 21:39:43,6,21,7,934,23597,1055,14,5,31903,565,5.0%,41.0%,44.4%
Value,2020-05-03 21:41:23,4,21,7,273,23597,985,14,6,31904,547,6.5%,40.8%,44.4%
Value,2020-05-03 21:43:05,5,21,7,298,23597,984,18,7,31927,562,4.5%,40.8%,44.4%
Value,2020-05-03 21:45:30,9,21,7,858,23597,1009,19,11,31935,566,4.5%,40.8%,44.4%
Value,2020-05-03 21:47:04,6,21,7,480,23597,1026,20,10,31978,588,7.5%,40.8%,44.4%
Value,2020-05-03 21:48:30,5,15,7,699,23597,1004,16,8,31956,554,7.7%,40.8%,44.4%
Value,2020-05-03 21:50:04,8,15,6,164,23597,954,18,11,31979,570,7.9%,40.8%,44.4%
Value,2020-05-03 21:51:37,7,15,6,953,23597,945,18,7,31999,564,9.5%,40.8%,44.4%
Value,2020-05-03 21:53:03,9,15,6,486,23597,914,17,10,32015,570,7.2%,40.8%,43.5%
Value,2020-05-03 21:54:28,5,15,6,210,23597,888,13,8,32003,551,6.3%,40.8%,43.5%
Value,2020-05-03 21:56:12,5,15,6,926,23597,862,15,10,32031,565,4.5%,40.8%,43.5%
Value,2020-05-03 21:57:52,4,15,6,679,23597,834,13,5,32045,552,6.2%,40.8%,43.5%
Value,2020-05-03 21:59:28,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,9.3%,40.8%,43.5%
Value,2020-05-03 22:01:02,7,15,6,145,23597,801,11,9,32059,548,8.5%,40.8%,43.5%
Value,2020-05-03 22:02:36,4,15,6,97,23597,758,11,6,32049,527,5.4%,41.0%,43.5%
Value,2020-05-03 22:04:12,5,15,5,478,23597,700,9,8,32067,547,8.6%,40.8%,43.5%
Value,2020-05-03 22:05:46,4,15,5,221,23597,663,12,8,32084,544,7.3%,40.8%,43.5%
Value,2020-05-03 22:07:24,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,5.7%,40.8%,43.5%
Value,2020-05-03 22:09:13,7,15,5,218,23597,606,13,10,32145,553,6.5%,40.8%,43.5%
Value,2020-05-03 22:11:16,5,15,5,176,23597,606,11,13,32203,607,4.8%,40.9%,43.5%
Value,2020-05-03 22:13:00,11,16,5,3165,23597,656,13,14,32167,556,11.2%,40.8%,44.4%
Value,2020-05-03 22:14:49,10,16,5,437,23597,668,15,15,32175,538,7.4%,40.9%,44.4%
Value,2020-05-03 22:16:30,10,16,6,597,23597,663,21,24,32257,598,5.8%,40.9%,44.4%
Value,2020-05-03 22:18:09,10,16,6,1931,23597,690,19,18,32227,549,5.1%,40.8%,44.4%
