,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-08 00:01:13,18,35,9,8551,32491,2309,16,15,830,713,7.3%,43.1%,50.4%
Value,2020-05-08 00:03:15,11,35,10,4293,32491,2466,6,14,780,670,5.9%,43.1%,50.4%
Value,2020-05-08 00:27:37,9,35,11,364,32491,2090,65,18,811,643,5.2%,43.1%,51.4%
Value,2020-05-08 00:29:10,7,35,11,314,32491,2071,66,23,833,668,5.1%,43.1%,51.4%
Value,2020-05-08 00:30:42,7,35,11,132,32491,1954,64,22,832,669,7.4%,43.1%,51.4%
Value,2020-05-08 00:32:14,7,35,11,143,32491,1932,67,20,837,668,7.7%,43.1%,50.4%
Value,2020-05-08 00:33:44,10,35,11,346,32491,1899,58,16,792,628,7.6%,43.1%,50.4%
Value,2020-05-08 00:35:14,9,35,11,1388,32491,1899,59,17,869,705,7.6%,43.2%,50.4%
Value,2020-05-08 00:36:48,16,35,11,1736,32491,1919,61,17,822,656,12.1%,43.1%,51.4%
Value,2020-05-08 00:38:24,15,35,11,1493,32491,1902,65,10,823,650,8.7%,43.1%,51.4%
Value,2020-05-08 00:39:54,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,6.2%,43.1%,51.4%
Value,2020-05-08 00:41:26,7,35,11,2052,32491,1695,63,8,772,600,5.8%,43.1%,50.4%
Value,2020-05-08 00:43:01,7,35,11,2777,32491,1694,66,6,789,609,5.8%,43.1%,50.4%
Value,2020-05-08 00:44:37,7,35,11,170,32491,1584,65,3,853,671,5.9%,43.1%,50.4%
Value,2020-05-08 00:46:10,8,35,11,330,32491,1382,68,6,842,659,10.8%,43.2%,50.4%
Value,2020-05-08 00:47:43,9,35,11,2171,15093,1190,67,11,837,660,5.6%,43.1%,50.5%
Value,2020-05-08 00:49:17,7,35,10,178,15093,1099,61,13,782,610,7.1%,43.0%,50.5%
Value,2020-05-08 00:50:49,7,35,10,178,16979,1118,63,7,737,559,4.4%,43.2%,50.5%
Value,2020-05-08 00:52:23,2,35,10,3578,16979,1166,58,5,707,533,3.5%,43.2%,50.5%
Value,2020-05-08 00:53:56,2,35,10,893,16979,1149,63,6,724,546,9.2%,43.0%,50.4%
Value,2020-05-08 00:55:32,2,35,10,9582,57190,1295,59,4,699,524,11.5%,43.0%,50.4%
Value,2020-05-08 00:57:04,1,35,10,4057,57190,1361,59,3,695,519,5.6%,43.0%,50.4%
Value,2020-05-08 00:58:37,2,35,9,77,57190,1303,61,5,713,536,6.9%,43.0%,50.4%
Value,2020-05-08 01:00:10,3,23,9,154,57190,1176,60,11,727,554,5.8%,43.1%,50.4%
Value,2020-05-08 01:01:42,3,22,8,101,57190,910,60,12,703,533,6.9%,43.0%,50.4%
