,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-05 00:01:19,7,21,5,5807,25478,639,8,16,876,330,6.3%,39.1%,44.6%
Value,2020-05-05 00:02:41,8,21,5,2951,25478,682,6,14,841,273,3.3%,39.1%,44.6%
Value,2020-05-05 08:20:06,28,34,7,11222,50357,3329,87,56,5808,892,9.2%,39.7%,44.7%
Value,2020-05-05 08:27:15,21,49,9,10266,50357,4753,29,31,5915,953,7.0%,39.7%,44.7%
Value,2020-05-05 08:33:00,16,49,11,3751,50357,5169,31,23,6089,1065,5.2%,39.7%,44.8%
Value,2020-05-05 08:38:08,24,49,12,7294,50357,5577,38,24,6270,1213,7.4%,39.7%,44.8%
Value,2020-05-05 08:41:27,21,49,13,6421,226894,6446,65,27,6425,1326,7.5%,39.8%,44.8%
Value,2020-05-05 08:46:09,23,49,15,18462,226894,7551,60,34,6702,1565,6.6%,39.8%,43.8%
Value,2020-05-05 08:50:49,28,49,17,5727,226894,8109,81,36,6846,1664,8.6%,39.9%,43.8%
Value,2020-05-05 08:54:21,25,49,18,4733,226894,8702,98,33,6896,1658,8.0%,39.8%,43.8%
Value,2020-05-05 08:58:07,30,49,20,3418,226894,8903,63,27,6899,1657,7.7%,39.8%,43.8%
Value,2020-05-05 09:00:30,25,50,21,36544,226894,10626,77,35,7039,1793,8.3%,39.8%,43.8%
Value,2020-05-05 09:03:14,28,50,22,8336,226894,11085,81,27,7145,1861,14.5%,39.8%,44.8%
Value,2020-05-05 09:05:51,25,50,23,4146,226894,11292,65,21,7135,1813,6.3%,39.9%,44.8%
Value,2020-05-05 09:09:10,23,50,24,8145,226894,12220,94,20,7194,1845,10.1%,39.9%,44.8%
Value,2020-05-05 09:12:32,18,50,24,7362,226894,12006,86,23,7239,1872,7.5%,39.9%,44.8%
Value,2020-05-05 09:15:22,11.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",1%,Forward,Off,Enabled,6.1%,40.0%,44.8%
Value,2020-05-05 09:18:06,22,50,24,2840,226894,11085,81,44,7406,2041,10.0%,39.9%,44.8%
Value,2020-05-05 09:21:12,31,50,24,11731,226894,10983,107,49,7583,2169,10.6%,39.9%,44.8%
Value,2020-05-05 09:23:39,30,50,24,10278,226894,10756,101,48,7708,2261,7.9%,39.9%,44.8%
Value,2020-05-05 09:26:24,28,50,25,7819,226894,10580,83,29,7594,2137,8.3%,39.9%,44.8%
Value,2020-05-05 09:29:19,11.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,9.9%,39.9%,44.8%
Value,2020-05-05 09:32:02,25,50,25,8297,226894,10867,81,28,7696,2213,7.6%,39.9%,44.8%
Value,2020-05-05 09:35:10,28,50,26,29020,226894,11753,80,26,7707,2197,8.4%,39.9%,44.8%
Value,2020-05-05 09:37:34,38,50,26,10562,226894,11989,75,27,7774,2258,8.8%,39.9%,44.8%
Value,2020-05-05 09:39:59,31,50,27,5065,203609,11420,89,31,7898,2363,6.4%,40.0%,44.8%
Value,2020-05-05 09:42:00,34,57,27,4912,203609,11408,101,22,8098,2502,8.0%,39.9%,44.8%
Value,2020-05-05 09:50:32,37,57,27,11567,203609,10594,74,27,7996,2376,8.9%,39.9%,43.8%
Value,2020-05-05 09:53:06,26,57,27,7551,203609,11044,76,43,8121,2491,9.8%,40.0%,43.8%
Value,2020-05-05 09:55:17,23,57,27,5255,203609,11000,103,37,8251,2570,9.4%,39.9%,43.8%
Value,2020-05-05 09:57:18,28,57,27,6652,203609,11289,114,32,8296,2575,10.7%,40.0%,43.8%
Value,2020-05-05 09:59:11,21,57,26,5960,203609,10208,119,47,8504,2770,8.4%,39.9%,44.8%
Value,2020-05-05 10:01:06,19,57,26,13556,189164,9665,101,45,8414,2674,8.1%,40.0%,44.8%
Value,2020-05-05 10:03:02,24,57,26,5649,189164,9687,90,30,8494,2733,9.5%,40.0%,44.8%
Value,2020-05-05 10:04:57,22,57,26,41444,225278,10412,86,17,8453,2683,9.4%,40.0%,44.8%
Value,2020-05-05 10:06:46,24,57,26,7396,225278,10379,101,23,8497,2710,7.0%,40.0%,44.8%
Value,2020-05-05 10:08:44,22,57,26,5363,225278,9910,99,38,8533,2743,10.7%,40.0%,43.8%
Value,2020-05-05 10:10:29,22,57,26,7727,225278,9829,90,27,8487,2681,8.0%,40.0%,43.8%
