,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-06 00:25:44,11,27,12,260,126605,1022,17,6,13373,447,4.2%,40.4%,44.9%
Value,2020-05-06 00:27:12,11,27,12,81,126605,1009,11,10,13366,441,5.1%,40.4%,44.9%
Value,2020-05-06 00:28:47,7,27,12,1707,126605,1041,10,8,13376,433,4.3%,40.4%,44.9%
Value,2020-05-06 00:30:20,8,27,12,460,126605,1008,12,10,13383,426,4.4%,40.4%,44.9%
Value,2020-05-06 00:31:47,7,27,11,117,126605,1013,19,17,13408,431,3.6%,40.4%,44.9%
Value,2020-05-06 00:33:17,7,27,11,344,126605,1015,9,16,13411,430,4.6%,40.4%,44.9%
Value,2020-05-06 00:34:45,8,27,11,108,126605,975,5,21,13432,427,6.3%,40.4%,44.9%
Value,2020-05-06 00:36:15,8,27,11,153,126605,977,8,16,13459,430,7.2%,40.4%,44.9%
Value,2020-05-06 00:37:44,9,24,11,213,126605,929,4,14,13463,415,6.5%,40.4%,44.0%
Value,2020-05-06 00:39:14,12,24,11,614,126605,925,15,10,13506,426,7.9%,40.4%,44.0%
Value,2020-05-06 00:40:45,10,24,11,4994,126605,1092,14,9,13499,402,6.4%,40.4%,44.0%
Value,2020-05-06 00:42:13,9,24,11,179,126605,1011,15,7,13534,416,9.7%,40.5%,44.0%
Value,2020-05-06 00:43:44,10,24,11,186,126605,1012,20,12,13577,440,9.1%,40.3%,44.0%
Value,2020-05-06 00:45:15,10,24,11,117,126605,1047,10,12,13572,436,8.9%,40.5%,44.0%
Value,2020-05-06 00:46:44,8,24,11,703,126605,998,14,11,13580,427,2.6%,40.3%,44.0%
Value,2020-05-06 00:48:13,9,24,11,260,126605,988,13,5,13577,404,4.0%,40.3%,44.0%
Value,2020-05-06 00:49:41,9,24,10,154,126605,983,14,5,13593,411,2.8%,40.4%,44.0%
Value,2020-05-06 00:51:09,10,24,10,445,126605,992,14,8,13602,422,4.0%,40.4%,44.0%
Value,2020-05-06 00:52:36,9,24,10,194,126605,994,26,6,13600,387,3.7%,40.4%,44.0%
Value,2020-05-06 00:54:06,9,24,10,294,126605,995,49,4,13627,371,4.6%,40.4%,44.0%
Value,2020-05-06 00:55:36,9,24,10,1999,126605,1027,66,7,13688,414,5.6%,40.4%,44.0%
