,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-19 11:01:07,33,70,32,7329,358283,16029,79,37,4876,4280,9.8%,42.5%,63.9%
Value,2020-05-19 11:02:44,32,70,32,9144,286169,15172,80,39,4901,4287,5.8%,42.4%,63.9%
Value,2020-05-19 11:04:01,33,70,32,12330,286169,15182,78,35,4796,4201,5.8%,42.5%,63.9%
Value,2020-05-19 11:05:18,31,70,32,15616,286169,15283,67,34,4717,4121,7.5%,42.5%,63.9%
Value,2020-05-19 11:06:44,32,70,32,23947,286169,15695,51,35,4682,4108,6.7%,42.5%,63.9%
Value,2020-05-19 11:08:34,28,70,32,12222,286169,15581,46,31,4656,4075,5.4%,42.7%,64.9%
Value,2020-05-19 11:10:39,26,70,32,7811,118001,14561,54,32,4554,3974,4.5%,42.5%,64.9%
Value,2020-05-19 11:12:10,29,70,32,11772,118001,14587,89,37,4667,4053,7.5%,42.5%,64.9%
Value,2020-05-19 11:14:06,24,70,32,4710,118001,14513,62,32,4631,4037,3.7%,42.4%,64.9%
Value,2020-05-19 11:15:57,31,70,32,10319,118001,14590,72,36,4692,4102,6.6%,42.4%,64.9%
Value,2020-05-19 11:17:42,39,70,33,9483,118001,14437,77,59,4692,4124,5.4%,42.4%,63.9%
Value,2020-05-19 11:19:42,31,70,33,9198,118001,14476,64,46,4670,4095,6.0%,42.5%,63.9%
Value,2020-05-19 11:21:17,26,70,33,4651,118001,14473,75,46,4606,4023,4.7%,42.4%,63.9%
Value,2020-05-19 11:23:06,36,70,33,6995,118001,14291,84,43,4779,4186,8.7%,42.4%,63.9%
Value,2020-05-19 11:24:51,35,70,33,8549,118001,13995,95,38,4744,4145,9.1%,42.5%,63.9%
Value,2020-05-19 11:26:45,36,70,33,14301,118001,13990,96,49,4947,4355,8.1%,42.5%,63.9%
Value,2020-05-19 11:28:20,36,70,33,39227,161402,14291,105,42,4876,4272,7.4%,42.5%,63.9%
Value,2020-05-19 11:29:43,33,70,33,9014,161402,13950,106,42,4815,4211,5.8%,42.5%,63.9%
