,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-13 23:33:55,11,30,12,846,21372,1797,24,8,1312,775,5.0%,42.1%,63.0%
Value,2020-05-13 23:36:05,11,30,12,2300,21372,1700,20,14,1256,727,3.9%,42.1%,63.0%
Value,2020-05-13 23:37:05,12,30,12,2802,21372,1648,12,12,1249,728,4.3%,42.1%,63.0%
Value,2020-05-13 23:38:07,9,30,12,1142,21372,1564,7,13,1276,759,3.2%,42.1%,63.0%
Value,2020-05-13 23:39:07,6,30,12,1163,21372,1481,9,14,1281,764,2.9%,42.1%,63.0%
Value,2020-05-13 23:40:09,5,30,12,768,21372,1370,8,13,1241,722,2.7%,42.1%,63.0%
Value,2020-05-13 23:41:09,3,30,12,494,21372,1270,8,10,1243,721,2.5%,42.1%,63.0%
Value,2020-05-13 23:42:10,2,30,12,629,21372,1179,5,10,1225,706,2.9%,42.1%,63.0%
Value,2020-05-13 23:43:10,5,30,12,2717,21372,1123,8,16,1228,716,7.1%,42.1%,63.0%
Value,2020-05-13 23:44:11,11,30,12,10617,21372,1239,10,10,1232,708,3.4%,42.1%,63.0%
Value,2020-05-13 23:45:11,20,30,12,13334,21372,1425,8,11,1215,692,3.9%,41.0%,63.0%
Value,2020-05-13 23:46:15,15,30,12,10581,21372,1592,5,11,1215,695,3.9%,42.1%,63.0%
Value,2020-05-13 23:47:23,9,30,12,12903,24555,1938,8,10,1212,688,4.3%,42.1%,63.0%
Value,2020-05-13 23:48:30,7,30,12,7127,24555,1999,7,8,1199,674,3.2%,42.1%,63.0%
Value,2020-05-13 23:49:35,7,30,12,7070,24555,2092,11,11,1203,677,6.8%,42.1%,63.0%
Value,2020-05-13 23:50:40,6,30,12,6470,24555,2210,9,12,1196,672,5.1%,42.1%,63.0%
Value,2020-05-13 23:51:48,3,30,11,423,24555,2122,5,9,1177,654,2.8%,42.1%,63.0%
Value,2020-05-13 23:52:56,4,30,11,2560,24555,2186,11,8,1199,669,3.0%,42.1%,63.0%
Value,2020-05-13 23:54:18,9,29,11,13033,24555,2354,13,4,1203,667,4.3%,42.1%,63.0%
Value,2020-05-13 23:55:30,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,3.5%,42.1%,63.0%
Value,2020-05-13 23:57:04,2,29,11,1169,24555,2377,9,9,1199,674,3.9%,42.1%,62.9%
Value,2020-05-13 23:58:51,3,29,11,418,24555,2338,6,9,1187,664,2.7%,42.1%,62.9%
