,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-04 07:15:32,2,13,3,132,21694,609,43,14,36726,378,6.3%,40.9%,43.5%
Value,2020-05-04 07:17:02,5,13,2,920,21694,628,41,13,36707,353,7.5%,40.9%,43.5%
Value,2020-05-04 07:18:35,2,13,2,214,21694,619,39,9,36751,389,5.4%,40.9%,43.5%
Value,2020-05-04 07:20:04,4,13,2,375,21694,613,41,9,36760,379,8.1%,40.9%,43.5%
Value,2020-05-04 07:21:32,3,13,2,330,21694,612,42,10,36802,398,7.7%,40.9%,44.5%
Value,2020-05-04 07:23:02,3,13,2,4988,28439,748,35,12,36797,399,10.7%,40.9%,44.5%
Value,2020-05-04 07:24:31,3,13,2,934,28439,697,39,8,36854,430,4.5%,41.1%,44.5%
Value,2020-05-04 07:26:11,3,13,2,746,28439,645,37,7,36851,410,5.1%,41.1%,44.5%
Value,2020-05-04 07:27:41,4,13,2,313,28439,642,41,8,36893,434,5.8%,40.9%,44.5%
Value,2020-05-04 07:29:15,2,13,2,427,28439,632,39,7,36902,442,4.9%,40.9%,44.5%
Value,2020-05-04 07:30:45,3,13,2,211,28439,627,41,10,36900,433,4.0%,40.9%,44.5%
Value,2020-05-04 07:32:17,4,13,2,2109,28439,661,46,15,36951,471,3.1%,40.9%,44.5%
Value,2020-05-04 07:33:45,3,13,2,157,28439,729,47,16,36963,472,4.7%,40.9%,44.5%
Value,2020-05-04 07:35:16,7,13,2,1295,28439,702,42,31,37012,536,3.9%,40.9%,44.5%
Value,2020-05-04 07:36:49,4,13,3,173,28439,693,54,21,37009,507,4.1%,40.9%,44.5%
Value,2020-05-04 07:38:33,4,13,3,544,28439,689,50,25,36992,475,8.2%,40.9%,44.5%
Value,2020-05-04 07:40:04,4,13,3,101,28439,690,54,19,37029,486,7.6%,41.0%,44.5%
Value,2020-05-04 07:41:33,3,13,3,892,28439,701,55,15,37044,478,9.8%,40.9%,44.5%
Value,2020-05-04 07:43:03,3,13,3,499,28439,721,43,15,37113,525,10.2%,40.9%,44.5%
Value,2020-05-04 07:44:44,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,20.5%,40.9%,44.5%
Value,2020-05-04 07:46:16,2,13,3,4215,28439,893,43,26,37156,546,8.8%,41.0%,44.5%
Value,2020-05-04 07:48:11,2,13,3,131,28439,831,46,27,37168,548,5.4%,41.0%,44.5%
Value,2020-05-04 07:49:41,3,13,3,385,28439,834,48,11,37205,546,13.6%,40.9%,44.5%
Value,2020-05-04 07:51:31,3,13,3,1102,28439,861,47,11,37208,538,5.1%,40.9%,44.5%
Value,2020-05-04 07:52:58,8,14,3,3314,28439,952,53,16,37273,583,10.2%,40.9%,44.5%
Value,2020-05-04 07:54:31,6,14,3,1649,28439,946,50,13,37281,568,4.9%,40.9%,44.5%
Value,2020-05-04 07:56:01,3,14,3,1377,28439,986,49,13,37305,577,4.9%,40.9%,43.5%
Value,2020-05-04 07:57:30,5,14,3,4227,28439,1016,48,20,37377,635,4.6%,40.9%,43.5%
Value,2020-05-04 07:59:03,9,15,3,1946,47086,1128,49,20,37379,620,6.8%,40.9%,43.5%
Value,2020-05-04 08:00:31,5,15,3,2407,47086,1150,45,19,37378,601,6.9%,40.9%,43.5%
Value,2020-05-04 08:02:04,3,15,3,280,47086,1144,49,21,37399,607,6.2%,40.9%,43.5%
Value,2020-05-04 08:03:33,3,15,3,4271,47086,1263,47,11,37399,579,6.8%,41.0%,43.5%
Value,2020-05-04 08:05:04,5,15,4,2077,47086,1239,47,13,37446,610,6.3%,40.9%,43.5%
Value,2020-05-04 08:06:35,3,15,4,456,47086,1261,41,14,37502,654,6.3%,40.9%,43.5%
Value,2020-05-04 08:08:07,4,15,4,2247,47086,1300,50,27,37558,709,7.5%,40.9%,43.5%
Value,2020-05-04 08:09:39,8,23,4,2753,47086,1341,62,32,37654,793,4.8%,40.9%,43.5%
Value,2020-05-04 15:44:03,17,44,21,4862,59863,6103,45,19,43032,2491,12.9%,41.3%,43.6%
Value,2020-05-04 15:45:55,11,44,21,3091,59863,5993,49,18,42995,2437,7.4%,41.4%,43.6%
Value,2020-05-04 15:47:48,17,44,21,7009,59863,5994,106,24,43218,2577,13.0%,41.4%,44.5%
Value,2020-05-04 15:49:37,16,44,21,5549,59863,6072,61,26,43204,2600,10.4%,41.4%,44.5%
Value,2020-05-04 15:51:33,18,44,21,8868,59863,6106,87,37,43301,2648,9.6%,41.4%,44.5%
Value,2020-05-04 15:53:23,24,44,21,5450,59863,6144,90,36,43570,2894,13.7%,41.4%,44.5%
Value,2020-05-04 15:55:16,19,44,21,8668,59863,6194,76,35,43620,2935,9.0%,41.4%,44.5%
Value,2020-05-04 15:57:20,15,44,21,3004,59863,6163,62,25,43242,2531,7.5%,41.4%,44.5%
