,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-04-30 00:02:24,7,26,7,668,48058,811,12,12,570,572,5.0%,42.8%,49.2%
Value,2020-04-30 00:05:11,9,23,7,896,48058,825,16,12,654,657,5.8%,42.8%,49.2%
Value,2020-04-30 00:08:21,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Off,Enabled,Non-inline,4.7%,42.8%,49.2%
Value,2020-04-30 00:10:45,8,23,7,414,19252,660,17,10,601,599,7.2%,42.8%,49.2%
Value,2020-04-30 00:13:34,7,23,8,738,19252,692,15,10,565,566,5.5%,42.8%,49.2%
Value,2020-04-30 00:16:06,13,23,8,1474,19252,747,18,6,567,564,4.7%,42.8%,49.2%
Value,2020-04-30 00:18:29,9,23,8,842,19252,770,11,9,544,545,3.7%,42.8%,49.2%
Value,2020-04-30 00:20:50,3,23,8,595,19252,796,16,9,547,546,6.0%,42.8%,49.2%
Value,2020-04-30 00:22:58,3,23,8,853,19252,823,16,11,507,511,4.5%,42.8%,49.2%
Value,2020-04-30 00:24:53,4,23,8,472,19252,816,11,9,569,571,7.3%,42.8%,49.2%
Value,2020-04-30 00:26:55,3,23,8,763,19252,842,14,12,525,529,16.7%,42.8%,49.3%
Value,2020-04-30 00:28:59,4,23,8,502,19252,883,24,13,526,525,9.4%,42.8%,49.6%
Value,2020-04-30 00:30:48,5,23,8,2965,19252,946,25,12,561,559,9.1%,42.8%,49.7%
Value,2020-04-30 00:32:38,6,23,8,480,19252,946,17,12,563,567,8.8%,42.8%,49.9%
Value,2020-04-30 00:34:27,5,23,7,361,19252,936,15,11,518,520,7.7%,42.8%,50.0%
Value,2020-04-30 00:36:11,5,23,7,1035,19252,956,22,8,554,548,6.2%,42.8%,50.0%
Value,2020-04-30 00:38:00,5,23,7,429,19252,958,16,6,537,534,6.0%,42.8%,50.0%
Value,2020-04-30 00:39:42,10,23,7,3337,19252,1057,19,6,561,554,5.9%,42.8%,50.0%
Value,2020-04-30 00:41:29,10,23,7,968,19252,992,11,8,580,585,4.7%,42.8%,50.0%
Value,2020-04-30 00:43:21,6,23,7,506,19252,988,12,9,580,584,5.3%,42.8%,50.0%
Value,2020-04-30 00:45:37,9,23,7,514,19252,982,12,2,562,557,4.4%,42.9%,50.0%
Value,2020-04-30 00:47:37,7,23,7,321,19252,989,20,7,525,520,4.9%,42.9%,49.1%
Value,2020-04-30 00:49:19,7,23,7,402,19252,1021,17,8,520,519,6.4%,42.8%,49.1%
Value,2020-04-30 00:51:05,4,23,7,1816,19252,1033,11,8,494,494,6.1%,42.8%,49.1%
Value,2020-04-30 00:52:51,4,23,7,155,17134,978,5,6,504,508,6.6%,42.8%,49.1%
Value,2020-04-30 00:54:37,5,23,7,46,17134,973,7,5,480,482,4.8%,42.8%,49.1%
Value,2020-04-30 00:56:21,4,23,7,76,17134,946,13,5,466,462,4.9%,42.8%,49.1%
Value,2020-04-30 00:58:05,3,23,6,59,17134,920,7,6,456,459,5.2%,42.8%,49.1%
Value,2020-04-30 00:59:49,4,23,6,218,17134,907,14,9,470,471,4.0%,42.8%,49.1%
Value,2020-04-30 01:01:29,5,23,6,2077,17134,925,24,15,510,509,11.7%,42.8%,49.1%
Value,2020-04-30 01:03:12,4,23,6,8045,113537,1352,10,16,467,474,4.6%,42.8%,49.1%
Value,2020-04-30 01:05:03,4,23,6,129,113537,1317,24,11,495,485,5.0%,42.8%,49.1%
Value,2020-04-30 01:06:51,10,23,6,396,113537,1294,51,5,521,487,5.8%,42.8%,49.1%
Value,2020-04-30 01:08:36,5,23,6,101,113537,1253,61,2,536,481,4.2%,42.8%,49.1%
Value,2020-04-30 01:10:09,4,23,6,818,113537,1253,58,2,525,472,7.3%,42.8%,49.1%
