,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-20 09:47:01,38,95,37,23317,326660,23877,125,45,4646,4030,6.3%,42.4%,64.1%
Value,2020-05-20 09:48:03,40,95,37,10233,326660,23908,134,36,4793,4153,8.2%,42.4%,64.1%
Value,2020-05-20 09:49:05,36,95,37,15198,326660,23420,127,36,4643,4015,5.8%,42.6%,64.1%
Value,2020-05-20 09:50:08,30,95,37,18387,326660,23391,119,36,4767,4143,4.5%,42.4%,64.2%
Value,2020-05-20 09:51:09,31,95,37,42114,326660,23572,130,30,4686,4044,7.1%,42.4%,64.1%
Value,2020-05-20 09:52:14,11.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,5.0%,42.5%,64.1%
Value,2020-05-20 09:53:18,37,95,37,36237,326660,23896,124,44,4745,4124,4.4%,42.4%,64.1%
Value,2020-05-20 09:54:34,40,95,37,21692,326660,23452,113,44,4580,3965,6.0%,42.4%,64.2%
Value,2020-05-20 09:55:39,40,95,37,10525,326660,22896,119,51,4592,3985,4.8%,42.4%,64.2%
Value,2020-05-20 09:56:42,27,95,37,12261,326660,22612,119,47,4570,3957,8.5%,42.6%,64.2%
Value,2020-05-20 09:57:47,31,95,36,25663,326660,22755,124,46,4585,3965,4.8%,42.5%,64.1%
Value,2020-05-20 09:58:52,36,95,36,16889,326660,22570,108,38,4668,4054,10.5%,42.4%,64.1%
Value,2020-05-20 09:59:55,11.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,7.3%,42.4%,64.2%
Value,2020-05-20 10:01:07,35,95,36,18024,326660,22650,110,47,4535,3926,7.1%,42.3%,64.1%
Value,2020-05-20 10:02:26,42,95,37,20883,326660,22210,102,38,4621,4016,7.0%,42.3%,64.1%
Value,2020-05-20 10:03:31,44,95,37,28953,326660,21892,99,33,4683,4070,5.3%,42.5%,64.2%
Value,2020-05-20 10:04:32,34,95,37,14873,326660,21619,101,25,4678,4064,8.0%,42.4%,64.2%
Value,2020-05-20 10:05:40,31,95,37,10678,326660,21441,97,24,4726,4106,8.5%,42.5%,65.0%
Value,2020-05-20 10:06:49,27,95,36,14083,326660,21194,101,25,4603,3980,4.9%,42.4%,65.1%
Value,2020-05-20 10:08:02,26,95,36,13119,326660,20990,98,30,4473,3856,5.0%,42.4%,65.1%
Value,2020-05-20 10:09:08,23,95,36,12503,326660,20784,84,30,4595,3984,6.4%,42.4%,65.1%
Value,2020-05-20 10:10:11,25,95,36,13514,326660,20797,94,33,4694,4080,7.0%,42.4%,65.1%
Value,2020-05-20 10:11:13,30,95,36,12571,326660,20605,78,33,4658,4059,6.5%,42.4%,65.1%
Value,2020-05-20 10:12:19,Disabled,Enabled,Forward,Non-inline,Monitor,S600V,4.7%,42.4%,65.1%
Value,2020-05-20 10:13:26,28,95,35,16260,326660,20530,66,37,4581,3997,4.6%,42.4%,65.1%
Value,2020-05-20 10:14:33,25,95,35,14138,326660,20519,57,41,4492,3922,3.8%,42.4%,65.1%
Value,2020-05-20 10:15:34,23,95,35,8035,326660,20256,58,44,4740,4172,9.3%,42.5%,65.1%
Value,2020-05-20 10:16:36,27,95,35,28440,326660,20692,67,46,4768,4194,5.7%,42.5%,65.1%
Value,2020-05-20 10:17:40,25,95,34,12571,326660,20334,62,47,4626,4055,5.6%,42.4%,65.1%
Value,2020-05-20 10:18:42,28,95,34,9110,326660,20114,74,39,4745,4164,5.9%,42.4%,65.1%
Value,2020-05-20 10:19:43,27,95,34,26852,326660,20345,83,38,4826,4244,4.8%,42.4%,65.1%
Value,2020-05-20 10:20:48,27,95,34,12292,326660,20268,82,45,4782,4200,7.1%,42.4%,65.1%
Value,2020-05-20 10:21:51,26,95,34,7196,326660,19729,78,36,4834,4237,6.9%,42.5%,65.1%
Value,2020-05-20 10:22:52,24,95,34,16620,326660,19842,78,36,4779,4187,6.7%,42.4%,65.1%
