,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-16 10:18:34,7,31,9,2025,237012,3885,20,9,1569,1091,6.2%,43.6%,53.8%
Value,2020-05-16 10:20:44,8,31,9,8105,44408,3204,29,12,1583,1098,7.0%,43.6%,52.8%
Value,2020-05-16 10:21:51,8,31,9,684,44408,3019,15,16,1608,1139,7.1%,43.6%,52.8%
Value,2020-05-16 10:22:56,7,31,9,1282,44408,2952,33,19,1629,1149,7.7%,43.7%,52.8%
Value,2020-05-16 10:24:05,6,31,9,12060,67881,3187,22,15,1626,1152,5.4%,43.6%,52.8%
Value,2020-05-16 10:25:13,7,31,9,4060,67881,3022,15,17,1662,1193,7.9%,43.6%,52.8%
Value,2020-05-16 10:26:22,7,31,9,712,67881,2889,24,30,1686,1224,5.3%,43.6%,52.8%
Value,2020-05-16 10:27:34,6,31,8,1922,67881,2785,26,22,1659,1185,11.7%,43.6%,52.8%
Value,2020-05-16 10:28:41,7,31,8,1610,67881,2706,35,20,1621,1143,7.3%,43.6%,52.8%
Value,2020-05-16 10:29:48,7,31,8,1638,67881,2666,19,17,1557,1086,7.9%,43.6%,52.8%
Value,2020-05-16 10:30:54,9,31,8,2956,67881,2616,27,18,1576,1106,7.1%,43.6%,52.8%
Value,2020-05-16 10:32:01,6,31,8,3729,67881,2637,25,18,1565,1086,7.0%,43.6%,52.8%
Value,2020-05-16 10:33:13,7,31,8,1141,67881,2575,25,14,1604,1123,7.7%,43.6%,52.8%
Value,2020-05-16 10:34:34,10,31,8,2868,67881,2578,33,12,1617,1136,6.9%,43.6%,52.8%
Value,2020-05-16 10:35:59,10,31,8,2680,67881,2491,22,31,1691,1237,8.5%,43.6%,52.8%
Value,2020-05-16 10:37:09,14,31,9,1239,67881,2504,36,26,1700,1233,10.1%,43.6%,52.8%
Value,2020-05-16 10:38:21,10,31,9,2835,67881,2533,34,29,1651,1182,8.3%,43.6%,52.8%
Value,2020-05-16 10:39:27,7,31,9,5903,67881,2588,30,30,1653,1191,7.3%,43.6%,52.8%
Value,2020-05-16 10:40:35,10,31,9,2373,67881,2564,29,29,1656,1195,10.2%,43.6%,53.8%
Value,2020-05-16 10:41:55,8,31,9,1395,67881,2572,30,24,1653,1193,11.3%,43.6%,53.8%
