,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-05 00:00:49,6,22,9,76,56899,916,8,3,612,609,5.5%,42.9%,50.5%
Value,2020-05-05 00:02:13,7,21,9,2108,56899,1067,8,3,580,580,6.1%,42.9%,50.5%
Value,2020-05-05 08:17:38,10,25,8,1556,46269,2012,59,23,1045,1011,6.9%,42.9%,50.6%
Value,2020-05-05 08:25:37,15,27,9,6467,54174,2429,81,41,1406,1367,5.8%,42.9%,50.7%
Value,2020-05-05 08:31:02,14,27,10,8564,54174,3112,85,27,1552,1497,6.9%,42.9%,50.7%
Value,2020-05-05 08:36:29,15,27,11,3107,54174,3392,83,24,1715,1657,9.4%,42.9%,50.7%
Value,2020-05-05 08:40:30,20,27,11,11005,54174,3779,91,33,1728,1671,8.5%,42.9%,50.7%
Value,2020-05-05 08:44:27,16,29,12,6173,54174,3952,98,18,1779,1721,8.5%,42.9%,49.7%
Value,2020-05-05 08:49:17,14,30,12,8962,55031,4522,52,28,1841,1824,9.2%,43.0%,49.7%
Value,2020-05-05 08:53:22,15,30,13,5977,63704,5039,72,28,2123,2081,11.0%,42.9%,49.7%
Value,2020-05-05 08:57:18,13,34,13,39862,202478,6199,51,23,1928,1903,8.6%,43.0%,49.7%
Value,2020-05-05 08:59:46,16,34,13,28756,202478,7075,39,22,2050,2036,13.7%,42.9%,49.7%
Value,2020-05-05 09:02:16,20,34,14,10740,202478,7313,44,32,2259,2257,7.3%,42.9%,49.7%
Value,2020-05-05 09:04:56,18,34,14,21493,202478,7928,84,35,2281,2240,9.2%,43.3%,50.7%
Value,2020-05-05 09:07:40,19,34,15,8509,202478,8323,69,33,2257,2221,9.4%,43.0%,49.7%
Value,2020-05-05 09:11:37,16,34,15,16181,202478,8677,55,36,2478,2469,12.0%,43.0%,49.7%
Value,2020-05-05 09:14:28,25,37,16,108458,621824,10683,43,25,2366,2359,7.3%,43.0%,49.7%
Value,2020-05-05 09:17:18,21,37,17,16757,621824,11113,45,32,2472,2466,11.1%,43.0%,49.7%
Value,2020-05-05 09:20:06,17,37,17,8459,621824,11152,42,23,2442,2429,9.3%,43.0%,49.7%
Value,2020-05-05 09:22:48,19,37,17,7311,621824,12729,54,19,2458,2438,10.4%,42.9%,49.7%
Value,2020-05-05 09:25:26,18,37,17,19688,621824,12995,39,30,2639,2634,9.2%,43.0%,49.7%
Value,2020-05-05 09:28:18,33,44,18,9941,621824,13227,50,21,2723,2701,12.4%,43.0%,50.7%
Value,2020-05-05 09:31:08,27,46,18,6838,621824,13229,78,20,2720,2671,8.4%,42.9%,50.7%
Value,2020-05-05 09:34:01,23,46,19,7351,621824,13542,80,22,2837,2787,8.9%,43.0%,50.7%
Value,2020-05-05 09:36:48,21,46,19,13237,621824,13893,106,34,2704,2646,7.9%,42.9%,50.7%
Value,2020-05-05 09:39:16,24,46,19,7086,621824,13799,64,38,2732,2718,8.4%,43.0%,50.7%
Value,2020-05-05 09:41:20,25,46,19,6128,621824,13763,75,33,2942,2913,11.4%,43.0%,50.7%
Value,2020-05-05 09:43:44,24,46,20,9850,621824,14509,66,28,2907,2891,10.7%,43.0%,49.7%
Value,2020-05-05 09:52:17,24,47,22,9445,621824,14764,59,24,2832,2806,9.2%,43.1%,49.8%
Value,2020-05-05 09:54:37,26,47,22,8272,621824,14775,50,23,2743,2724,7.8%,43.1%,49.7%
Value,2020-05-05 09:56:35,19,47,22,4425,621824,14802,65,20,3018,2986,11.2%,43.0%,49.7%
Value,2020-05-05 09:58:34,25,47,22,9309,621824,14263,70,25,3045,3021,12.8%,43.0%,50.7%
Value,2020-05-05 10:00:26,32,47,23,20302,621824,14427,58,23,3059,3035,11.5%,43.1%,50.7%
Value,2020-05-05 10:02:21,29,47,23,26642,621824,14351,77,39,3219,3199,8.8%,43.1%,50.7%
Value,2020-05-05 10:04:19,33,47,24,10048,621824,14312,119,36,3116,3051,11.1%,43.1%,50.7%
Value,2020-05-05 10:06:09,31,51,24,11760,621824,14279,59,44,2994,2987,10.8%,43.0%,50.7%
Value,2020-05-05 10:08:07,32,51,24,8075,621824,15353,93,45,3094,3048,9.9%,43.0%,49.8%
Value,2020-05-05 10:09:54,47,104,25,10263,621824,15669,55,48,3276,3275,8.4%,43.0%,49.8%
Value,2020-05-05 10:11:41,26,104,25,20971,621824,15929,59,34,3073,3055,11.7%,43.1%,49.8%
Value,2020-05-05 10:13:32,26,104,25,14456,621824,15711,56,35,3283,3266,10.7%,43.2%,49.8%
Value,2020-05-05 10:15:26,29,104,26,10293,497047,14293,64,25,3191,3159,9.1%,43.0%,49.8%
Value,2020-05-05 10:18:03,27,104,26,58892,497047,15343,64,26,3155,3129,9.8%,43.0%,49.8%
Value,2020-05-05 10:20:00,24,104,26,8937,497047,15262,51,29,3150,3139,10.6%,43.0%,49.8%
Value,2020-05-05 10:21:57,29,104,26,13832,426596,13953,50,25,3209,3195,9.0%,43.0%,49.8%
Value,2020-05-05 10:23:53,25,104,27,8808,426596,13917,46,20,3174,3159,11.2%,43.0%,49.8%
Value,2020-05-05 10:25:50,24,104,27,7061,426596,13539,46,24,3236,3228,9.4%,43.0%,49.8%
Value,2020-05-05 10:27:53,20,104,26,15888,426596,13771,55,24,3213,3191,12.8%,43.1%,49.8%
Value,2020-05-05 10:30:01,16,104,26,5977,426596,13571,64,25,3109,3077,10.0%,43.1%,50.7%
