,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-04 07:14:59,10,27,10,350,218532,2307,17,14,453,453,5.6%,42.8%,49.5%
Value,2020-05-04 07:16:31,9,27,10,506,218532,2293,14,21,495,505,4.2%,42.8%,49.5%
Value,2020-05-04 07:18:02,10,27,10,212,243352,2963,15,16,476,481,6.2%,42.8%,49.5%
Value,2020-05-04 07:19:32,10,27,10,373,243352,2964,12,15,459,463,6.9%,42.8%,50.4%
Value,2020-05-04 07:21:03,9,27,10,210,243352,2735,9,9,452,454,6.4%,42.8%,50.4%
Value,2020-05-04 07:22:30,10,27,10,132,243352,2677,9,5,501,499,5.2%,42.8%,50.4%
Value,2020-05-04 07:24:02,9,27,10,428,243352,2652,14,6,502,502,6.5%,42.8%,49.5%
Value,2020-05-04 07:25:31,10,27,10,1733,243352,2781,16,15,510,514,5.5%,42.8%,49.5%
Value,2020-05-04 07:27:10,10,27,10,1062,243352,2650,13,12,473,475,3.8%,42.9%,49.5%
Value,2020-05-04 07:28:44,6,27,10,188,243352,2613,13,15,462,468,6.3%,42.8%,49.5%
Value,2020-05-04 07:30:14,6,27,10,49,243352,2617,13,6,463,462,6.0%,42.8%,49.5%
Value,2020-05-04 07:31:46,7,27,10,162,243352,2584,14,9,486,486,4.9%,42.8%,49.5%
Value,2020-05-04 07:33:14,10,27,10,1706,243352,2653,10,16,511,520,7.4%,42.8%,49.5%
Value,2020-05-04 07:34:43,7,27,10,957,243352,2681,16,13,509,509,6.3%,42.8%,49.5%
Value,2020-05-04 07:36:15,8,27,9,3802,243352,2742,10,10,519,521,8.0%,42.8%,49.5%
Value,2020-05-04 07:37:50,9,27,9,1217,243352,2739,15,10,600,601,6.7%,42.8%,49.5%
Value,2020-05-04 07:39:33,6,27,9,128,243352,2745,14,6,542,542,4.2%,43.0%,49.5%
Value,2020-05-04 07:41:02,8,24,9,640,243352,2563,13,7,520,521,4.3%,42.8%,49.5%
Value,2020-05-04 07:42:31,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,5.7%,42.9%,49.5%
Value,2020-05-04 07:44:02,10,24,9,1901,243352,2584,12,10,687,686,4.7%,42.8%,49.5%
Value,2020-05-04 07:45:45,10,24,9,1138,243352,2319,13,13,571,576,5.0%,42.8%,49.5%
Value,2020-05-04 07:47:17,9,24,9,1604,243352,2351,23,14,612,609,8.8%,42.8%,49.5%
Value,2020-05-04 07:49:10,9,24,9,1466,243352,2388,13,16,578,586,6.2%,42.8%,50.4%
Value,2020-05-04 07:50:40,11,24,9,3935,243352,2510,11,13,574,577,5.9%,42.8%,50.4%
Value,2020-05-04 07:52:29,11,24,9,3039,243352,2540,12,11,555,557,6.7%,42.8%,50.4%
Value,2020-05-04 07:54:00,10,24,9,1144,243352,2745,13,13,641,643,6.7%,42.9%,49.5%
Value,2020-05-04 07:55:28,10,24,9,7542,243352,2865,18,12,676,672,9.3%,42.8%,49.5%
Value,2020-05-04 07:56:59,10,24,9,3785,243352,2422,22,21,677,677,8.2%,42.8%,49.5%
Value,2020-05-04 07:58:29,8,24,9,1570,243352,2399,12,11,625,626,9.4%,42.8%,49.5%
Value,2020-05-04 08:00:00,9,24,9,9426,243352,2639,13,21,678,687,7.8%,42.8%,49.5%
Value,2020-05-04 08:01:31,9,24,9,2085,243352,2492,15,20,669,677,8.7%,42.8%,49.5%
Value,2020-05-04 08:03:02,11,24,9,2189,243352,2532,19,20,704,707,8.1%,42.8%,49.5%
Value,2020-05-04 08:04:33,18,34,9,6303,243352,2680,28,44,703,719,8.1%,42.8%,49.5%
Value,2020-05-04 08:06:03,10,34,9,1415,243352,2829,23,28,733,740,6.4%,42.9%,49.5%
Value,2020-05-04 08:07:33,16,34,9,20946,243352,3166,29,31,784,788,6.3%,42.9%,49.5%
Value,2020-05-04 08:09:06,17,34,9,4367,243352,3268,36,33,826,826,4.9%,42.8%,49.5%
Value,2020-05-04 15:43:23,14,44,21,9875,947781,10593,45,25,2794,2782,7.5%,42.9%,49.5%
Value,2020-05-04 15:45:12,16,44,21,8118,947781,10481,49,23,2797,2783,9.2%,43.0%,49.5%
Value,2020-05-04 15:47:08,14,44,20,1627,947781,10349,55,29,2838,2829,7.0%,42.9%,50.4%
Value,2020-05-04 15:49:00,12,44,20,2255,947781,10199,39,21,2781,2772,9.6%,42.9%,50.4%
Value,2020-05-04 15:50:52,15,44,20,5961,947781,10324,43,15,2890,2880,9.3%,42.9%,50.4%
Value,2020-05-04 15:52:44,13,44,19,3946,947781,10142,32,14,2925,2914,8.9%,42.9%,50.4%
Value,2020-05-04 15:54:35,17,40,19,2092,947781,10130,42,17,2875,2858,6.2%,42.9%,50.4%
Value,2020-05-04 15:56:39,22,40,19,2473,947781,10045,44,20,3006,3001,9.1%,42.9%,50.4%
Value,2020-05-04 15:58:41,17,40,19,7615,947781,10299,46,18,3011,2998,8.8%,42.9%,50.4%
Value,2020-05-04 16:00:54,26,56,19,5366,947781,10186,52,14,2964,2940,10.9%,42.9%,50.4%
Value,2020-05-04 16:02:49,10.0%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,9.1%,43.0%,50.4%
Value,2020-05-04 16:06:51,17,56,18,2292,947781,9493,38,12,3071,3052,6.5%,42.9%,50.4%
Value,2020-05-04 16:16:05,17,56,18,5856,947781,9792,39,18,2968,2965,9.2%,42.9%,49.6%
Value,2020-05-04 16:22:31,17,56,18,5547,125056,7683,42,46,3149,3164,9.7%,42.9%,50.4%
Value,2020-05-04 16:30:04,29,56,19,10183,125056,7848,37,17,3097,3085,8.8%,42.9%,50.4%
Value,2020-05-04 16:38:48,22,56,19,16079,125056,7191,63,38,3070,3057,5.9%,43.0%,49.6%
Value,2020-05-04 16:42:48,18,56,19,9620,125056,7223,62,37,2996,2993,8.5%,42.9%,49.6%
Value,2020-05-04 16:44:45,16,56,19,11758,125056,7295,37,16,2898,2895,9.1%,42.9%,49.6%
Value,2020-05-04 16:46:42,15,56,19,16683,125056,7403,43,19,2820,2812,15.4%,42.9%,49.6%
Value,2020-05-04 16:48:36,15,56,19,5923,125056,7679,37,17,2910,2899,6.7%,42.9%,49.6%
Value,2020-05-04 16:50:32,18,56,19,8436,125056,7724,50,22,3024,3011,8.2%,42.9%,49.6%
Value,2020-05-04 16:52:28,26,56,19,5717,125056,7763,41,18,2844,2838,10.3%,42.9%,50.4%
Value,2020-05-04 16:54:17,16,56,19,14094,125056,7906,49,21,2935,2918,11.1%,42.9%,50.4%
