,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-14 00:01:35,3,25,6,1612,80698,2406,18,14,1186,755,4.8%,43.2%,52.0%
Value,2020-05-14 00:03:12,3,25,6,161,80698,2381,13,15,1207,783,4.7%,43.2%,52.0%
Value,2020-05-14 00:04:36,7,25,6,724,80698,2384,11,8,1205,775,3.8%,43.2%,52.0%
Value,2020-05-14 00:05:54,5,25,6,806,80698,2388,11,4,1178,745,4.3%,43.2%,52.0%
Value,2020-05-14 00:06:58,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,3.2%,43.2%,52.0%
Value,2020-05-14 00:07:57,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,3.9%,43.3%,52.0%
Value,2020-05-14 00:08:56,5,25,6,390,80698,2361,8,6,1163,736,4.0%,43.2%,52.0%
Value,2020-05-14 00:09:54,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,3.9%,43.2%,52.0%
Value,2020-05-14 00:10:56,5,25,6,1131,80698,2324,15,5,1180,746,6.0%,43.2%,52.0%
Value,2020-05-14 00:11:57,7,25,6,677,80698,2325,14,5,1164,730,4.3%,43.2%,52.0%
Value,2020-05-14 00:13:01,5,25,6,2369,80698,2351,15,5,1154,719,3.9%,43.2%,52.0%
Value,2020-05-14 00:13:59,3.33%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,3.4%,43.2%,52.0%
Value,2020-05-14 00:14:58,6,25,6,882,80698,2409,19,18,1216,794,5.1%,43.2%,52.0%
Value,2020-05-14 00:15:56,7,25,6,638,80698,2415,18,15,1168,746,4.8%,43.2%,52.0%
Value,2020-05-14 00:16:54,3,18,6,112,80698,2374,17,17,1167,744,4.9%,43.2%,52.0%
Value,2020-05-14 00:17:54,3,18,5,323,80698,2373,11,17,1141,725,5.8%,43.2%,52.0%
Value,2020-05-14 00:18:55,3,18,5,515,80698,2356,11,12,1132,709,4.5%,43.3%,52.0%
Value,2020-05-14 00:19:57,3,18,5,140,80698,2343,10,9,1134,709,5.7%,43.3%,52.0%
Value,2020-05-14 00:21:01,8,18,5,443,80698,2332,5,8,1156,732,5.4%,43.3%,52.0%
Value,2020-05-14 00:22:01,5,18,5,161,80698,2322,9,4,1128,697,3.9%,43.2%,52.0%
Value,2020-05-14 00:23:03,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,9.0%,43.3%,52.0%
Value,2020-05-14 00:24:05,8,24,5,783,80698,2198,9,6,1126,699,7.0%,43.3%,52.0%
Value,2020-05-14 00:25:05,3,24,5,618,80698,2159,8,6,1086,659,2.8%,43.2%,52.0%
Value,2020-05-14 00:26:02,4,24,5,291,80698,2161,7,5,1084,656,4.2%,43.2%,52.0%
Value,2020-05-14 00:27:01,5,24,5,878,80698,2109,6,5,1092,666,3.6%,43.2%,52.0%
Value,2020-05-14 00:27:58,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,5.5%,43.2%,52.0%
Value,2020-05-14 00:28:55,3,24,5,199,80698,2079,16,6,1130,696,4.0%,43.2%,52.0%
Value,2020-05-14 00:29:53,2,24,5,387,80698,2043,9,10,1101,676,5.0%,43.2%,52.0%
Value,2020-05-14 00:30:50,2,24,5,979,41470,1700,9,9,1079,654,5.5%,43.2%,52.0%
Value,2020-05-14 00:31:50,3,24,5,386,35009,1081,11,6,1070,641,6.4%,43.2%,52.0%
Value,2020-05-14 00:32:49,3,24,5,67,20279,885,4,5,1047,622,8.5%,43.2%,52.0%
Value,2020-05-14 00:33:47,2,24,5,114,20279,860,7,5,1031,603,3.3%,43.2%,52.0%
Value,2020-05-14 00:34:44,3,24,5,140,20279,833,8,5,1039,612,3.6%,43.3%,52.0%
Value,2020-05-14 00:35:44,1,24,5,76,20279,825,6,5,1049,622,3.8%,43.3%,52.0%
Value,2020-05-14 00:36:44,2,24,5,78,20279,791,7,3,1052,623,4.3%,43.2%,52.0%
Value,2020-05-14 00:37:42,5,24,5,116,20279,781,10,3,1039,606,4.6%,43.2%,52.0%
Value,2020-05-14 00:38:40,5,24,5,273,20279,784,4,5,1045,619,7.8%,43.2%,52.0%
Value,2020-05-14 00:39:37,7,24,5,170,20279,764,6,7,1049,622,3.8%,43.2%,52.0%
Value,2020-05-14 00:40:35,7,24,5,154,20279,738,5,6,1049,622,4.6%,43.2%,52.0%
Value,2020-05-14 00:41:31,7,24,5,59,20279,733,4,10,1059,636,7.1%,42.1%,52.0%
Value,2020-05-14 00:42:29,8,24,5,90,20279,716,8,10,1060,634,4.3%,43.2%,52.0%
Value,2020-05-14 00:43:28,8,24,5,183,20279,710,11,8,1071,641,4.6%,43.2%,52.0%
Value,2020-05-14 00:44:34,9,24,5,97,20279,704,11,9,1061,633,4.9%,43.3%,52.0%
Value,2020-05-14 00:45:30,7,24,5,405,20279,676,10,7,1050,622,5.1%,43.2%,52.0%
Value,2020-05-14 00:46:27,7,24,5,578,20279,669,7,8,1047,622,5.9%,43.2%,52.0%
Value,2020-05-14 00:47:26,8,24,5,110,20279,654,8,8,1035,609,7.1%,43.2%,52.0%
Value,2020-05-14 00:48:22,7,24,5,139,20279,652,8,8,1024,599,4.2%,43.3%,52.0%
Value,2020-05-14 00:49:18,7,24,5,100,20279,636,7,6,1019,591,5.8%,43.3%,52.0%
Value,2020-05-14 00:50:15,5,24,5,1465,20279,666,5,10,1039,616,6.6%,43.2%,52.0%
Value,2020-05-14 00:51:14,4,24,5,843,16953,531,4,8,1038,614,7.8%,43.2%,52.0%
