,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-07 00:56:11,9,18,10,787,21706,584,9,9,25724,398,7.8%,41.1%,44.2%
Value,2020-05-07 00:57:45,9,15,9,121,21706,573,11,10,25719,387,7.3%,41.1%,44.2%
Value,2020-05-07 00:59:21,10,15,10,293,21706,510,7,6,25710,373,10.6%,41.1%,44.2%
Value,2020-05-07 01:00:53,9,15,9,63,21706,434,11,8,25740,392,5.1%,41.1%,44.2%
Value,2020-05-07 01:02:26,10,15,9,156,21706,426,25,6,25789,412,5.1%,41.1%,44.2%
Value,2020-05-07 01:04:06,7,15,9,160,21706,348,43,22,25820,421,6.0%,41.1%,44.2%
Value,2020-05-07 01:05:47,8,15,9,336,21706,319,59,18,25846,423,7.0%,41.1%,45.2%
Value,2020-05-07 01:07:26,4,15,9,213,21706,296,51,13,25817,387,8.1%,41.2%,45.2%
Value,2020-05-07 01:09:02,4,15,9,190,21706,293,35,6,25815,389,5.9%,41.1%,45.2%
Value,2020-05-07 01:10:37,6,15,9,121,21706,291,47,10,25875,432,4.6%,41.1%,44.2%
Value,2020-05-07 01:12:16,6,15,9,2750,21706,351,41,14,25861,416,7.0%,41.1%,44.2%
Value,2020-05-07 01:13:51,4,15,9,151,21706,330,37,11,25832,380,3.5%,41.1%,44.2%
Value,2020-05-07 01:15:24,4,15,9,49,21706,329,33,11,25825,368,2.7%,41.1%,44.2%
Value,2020-05-07 01:17:05,4,15,8,118,21706,309,41,7,25844,374,6.2%,41.1%,44.2%
Value,2020-05-07 01:18:40,4,15,8,90,21706,304,35,9,25854,385,6.6%,41.2%,44.2%
Value,2020-05-07 01:20:14,6,15,8,620,21706,315,38,7,25857,367,4.9%,41.1%,44.2%
Value,2020-05-07 01:21:48,4,15,8,106,21706,317,37,9,25889,369,4.8%,41.1%,44.2%
Value,2020-05-07 01:23:23,6,15,8,332,21706,321,39,8,25910,391,5.0%,41.1%,44.2%
Value,2020-05-07 01:25:00,5,15,8,142,21706,314,37,9,25942,403,3.7%,41.1%,44.2%
Value,2020-05-07 01:26:37,4,15,8,179,21706,311,37,12,25955,407,4.3%,41.1%,44.2%
Value,2020-05-07 01:28:11,2,15,7,251,21706,312,38,12,25963,402,3.6%,41.1%,44.2%
Value,2020-05-07 01:29:44,6,15,7,385,21706,314,34,9,25948,378,9.0%,41.1%,44.2%
Value,2020-05-07 01:31:20,3,15,7,80,8549,246,44,7,25976,388,6.7%,41.1%,44.2%
Value,2020-05-07 01:32:59,8,14,7,834,8549,258,47,8,25996,398,6.5%,41.1%,44.2%
Value,2020-05-07 01:34:37,5,14,7,519,8549,259,37,9,25992,391,18.3%,41.1%,45.0%
Value,2020-05-07 01:36:12,3,14,7,37,8549,256,41,9,26000,385,4.2%,41.1%,45.2%
Value,2020-05-07 01:37:45,2,14,6,46,8549,255,38,5,25996,363,4.3%,41.1%,45.2%
Value,2020-05-07 01:39:20,4,14,6,184,8549,257,39,5,26027,379,6.0%,41.2%,44.3%
Value,2020-05-07 01:40:53,2,14,6,298,8549,263,36,5,26047,379,4.6%,41.1%,44.2%
Value,2020-05-07 01:42:27,2,14,6,293,8549,264,38,5,26057,364,10.6%,41.1%,44.2%
Value,2020-05-07 01:44:06,2,14,6,163,8549,265,39,7,26066,367,7.5%,41.1%,44.3%
Value,2020-05-07 01:45:48,2,14,6,65,8549,263,45,13,26100,392,3.9%,41.1%,44.3%
