,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-04-27 00:00:11,1,18,5,28,16498,393,19,3,440,425,4.4%,42.8%,48.4%
Value,2020-04-27 00:01:35,2,18,5,67,16586,432,12,7,418,413,8.5%,42.8%,48.4%
Value,2020-04-27 00:02:57,1,18,5,97,16586,432,26,2,445,435,7.2%,42.8%,48.4%
Value,2020-04-27 00:04:21,1,18,4,118,16586,433,22,4,458,450,5.3%,42.8%,48.4%
Value,2020-04-27 00:05:44,3,18,4,901,16586,445,23,8,493,487,3.3%,42.8%,48.4%
Value,2020-04-27 00:07:10,2,18,4,951,16586,408,18,10,463,457,4.9%,42.8%,48.4%
Value,2020-04-27 00:08:33,1,18,4,230,16586,398,11,7,436,433,5.9%,42.8%,48.4%
Value,2020-04-27 00:09:57,1,18,4,1759,16586,457,14,7,445,439,7.5%,42.8%,48.4%
Value,2020-04-27 00:11:22,1,18,4,129,16586,384,16,7,462,454,7.8%,42.8%,49.0%
Value,2020-04-27 00:12:46,2,18,4,114,16586,385,8,3,434,431,3.7%,42.8%,49.3%
Value,2020-04-27 00:14:08,2,18,4,630,16586,400,14,8,443,440,3.5%,42.8%,49.3%
Value,2020-04-27 00:15:32,2,18,4,80,16586,399,18,9,438,431,4.8%,42.8%,49.3%
Value,2020-04-27 00:16:56,1,18,4,70,16586,385,11,9,431,428,4.1%,42.8%,48.4%
Value,2020-04-27 00:18:21,1,18,4,32,16586,384,12,5,429,423,5.3%,42.8%,48.4%
Value,2020-04-27 00:19:42,1,18,4,29,16586,378,9,2,431,426,6.1%,42.8%,48.4%
Value,2020-04-27 00:21:06,2,18,4,51,16586,378,18,4,462,449,4.0%,42.8%,48.4%
Value,2020-04-27 00:22:26,2,18,4,101,16586,371,15,4,447,437,3.4%,42.8%,48.4%
Value,2020-04-27 00:23:51,2,18,3,129,16586,336,10,3,435,428,6.8%,42.8%,48.4%
Value,2020-04-27 00:25:15,1,18,3,73,16586,335,21,6,445,431,3.1%,42.8%,48.4%
Value,2020-04-27 00:26:37,1,18,3,25,16586,334,12,5,440,434,4.5%,42.8%,48.4%
Value,2020-04-27 00:28:02,2,18,3,32,16586,328,18,5,441,429,7.4%,42.8%,48.4%
Value,2020-04-27 00:29:25,1,18,3,29,16586,322,23,5,447,429,5.2%,42.8%,48.4%
Value,2020-04-27 00:30:47,1,18,3,50,16586,315,20,5,437,423,4.6%,43.0%,48.4%
