,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-01 00:00:19,4,20,6,50,18091,963,44,10,589,466,2.4%,41.3%,61.3%
Value,2020-05-01 00:01:50,3,20,6,94,18270,1007,42,9,616,495,2.8%,41.3%,61.3%
Value,2020-05-01 00:03:14,4,20,5,160,18270,917,44,8,590,467,3.7%,41.5%,61.3%
Value,2020-05-01 00:04:42,4,20,5,64,18270,883,40,7,582,461,6.5%,41.3%,60.4%
Value,2020-05-01 00:06:06,5,20,5,188,18270,863,44,3,618,490,3.7%,41.3%,60.4%
Value,2020-05-01 00:07:33,6,20,5,392,18270,809,41,5,644,520,3.0%,41.3%,60.4%
Value,2020-05-01 00:08:58,8,21,5,180,18270,787,44,5,685,557,3.5%,41.3%,60.4%
Value,2020-05-01 00:10:26,6,21,5,422,18270,769,42,5,627,501,4.1%,41.4%,60.4%
Value,2020-05-01 00:11:51,5,21,5,113,18270,745,37,9,600,481,2.9%,41.3%,60.4%
Value,2020-05-01 00:13:18,5,21,5,298,18270,702,33,15,611,502,4.5%,41.3%,60.4%
Value,2020-05-01 00:14:45,5,21,5,523,18270,690,37,12,632,515,4.8%,41.3%,60.4%
Value,2020-05-01 00:16:13,5,21,5,1559,18270,692,45,14,603,484,4.2%,41.3%,60.4%
Value,2020-05-01 00:17:54,4,21,4,217,18270,652,41,8,623,502,3.4%,41.3%,60.4%
Value,2020-05-01 00:19:22,5,21,4,836,18270,659,39,7,593,472,2.8%,41.3%,60.4%
Value,2020-05-01 00:20:48,4,21,4,70,18270,641,44,9,586,464,3.8%,41.4%,60.4%
Value,2020-05-01 00:22:14,4,21,4,104,18270,572,38,5,575,453,5.2%,41.3%,60.4%
Value,2020-05-01 01:04:30,9,25,7,575,84288,832,14,5,499,404,5.4%,41.3%,61.3%
Value,2020-05-01 01:05:57,8,25,7,514,84288,836,15,3,529,429,3.5%,41.3%,61.3%
Value,2020-05-01 01:07:31,7,25,7,191,84288,832,11,5,496,404,4.7%,41.3%,61.3%
Value,2020-05-01 01:09:01,6,25,7,171,84288,829,10,6,505,413,3.8%,41.3%,61.3%
