,TimeStamp,Average in last minute(Transactions per Second),Maximum in last hour(Transactions per Second),Average in last hour(Transactions per Second),Average in last minute(Bandwidth),Maximum in last hour(Bandwidth),Average in last hour(Bandwidth),Current idle client connections,Current idle server connections,Current total client connections,Current total server connections,CPU,RAM,Reporting/LoggingDisk
Value,2020-05-14 00:00:17,3,29,11,197,24555,2335,5,3,1162,634,3.4%,42.1%,62.9%
Value,2020-05-14 00:02:28,4,29,10,790,24555,2306,5,3,1171,643,3.8%,42.1%,62.9%
Value,2020-05-14 00:03:51,4,29,10,367,24555,2302,10,6,1191,664,4.6%,42.1%,62.9%
Value,2020-05-14 00:05:22,4,29,10,329,24555,2313,11,5,1184,654,3.3%,42.1%,62.9%
Value,2020-05-14 00:06:28,4,29,9,988,24555,2296,7,8,1174,654,3.2%,42.1%,62.9%
Value,2020-05-14 00:07:27,3,29,9,94,24555,2279,5,8,1164,645,3.4%,42.1%,62.9%
Value,2020-05-14 00:08:26,3,25,9,521,24555,2284,6,3,1149,623,4.2%,42.1%,62.9%
Value,2020-05-14 00:09:25,3,25,9,95,24555,2252,9,4,1176,648,2.0%,42.1%,62.9%
Value,2020-05-14 00:10:24,3,25,9,107,24555,2227,9,4,1169,641,1.8%,42.1%,62.9%
Value,2020-05-14 00:11:25,3,25,8,115,24555,2214,9,8,1170,646,1.9%,42.1%,62.9%
Value,2020-05-14 00:12:28,4,25,8,682,24555,2170,10,8,1167,642,3.4%,42.2%,62.9%
Value,2020-05-14 00:13:30,4,25,8,156,24555,2159,10,5,1172,644,3.3%,42.1%,62.9%
Value,2020-05-14 00:14:27,6,24,8,179,24555,2134,7,6,1162,638,4.6%,42.1%,62.9%
Value,2020-05-14 00:15:27,5,24,8,180,24555,2120,10,6,1157,631,5.5%,42.1%,62.9%
Value,2020-05-14 00:16:25,3,24,7,594,24555,2128,12,5,1151,622,2.5%,42.1%,62.9%
Value,2020-05-14 00:17:24,4,24,7,61,24555,2108,6,5,1161,636,3.5%,42.1%,62.9%
Value,2020-05-14 00:18:24,7,24,7,933,24555,2126,9,8,1187,662,4.1%,42.3%,62.9%
Value,2020-05-14 00:19:25,5,24,7,1633,24555,2148,9,7,1172,644,2.9%,42.1%,62.9%
Value,2020-05-14 00:20:28,3,24,7,132,24555,2093,9,4,1159,631,5.4%,42.1%,62.9%
Value,2020-05-14 00:21:30,3,24,7,102,24555,2085,12,6,1155,629,5.0%,42.1%,62.9%
Value,2020-05-14 00:22:31,3,24,6,124,24555,2073,11,6,1130,603,3.1%,42.1%,62.9%
Value,2020-05-14 00:23:35,3,24,6,93,24555,2064,11,10,1124,601,3.0%,42.1%,62.9%
Value,2020-05-14 00:24:35,3,24,6,214,24555,2059,11,10,1121,596,2.8%,42.1%,62.9%
Value,2020-05-14 00:25:33,2,24,6,254,24555,2061,8,10,1130,608,2.7%,42.1%,62.9%
Value,2020-05-14 00:26:32,3,24,6,51,24555,2025,17,11,1169,640,2.1%,42.1%,62.9%
Value,2020-05-14 00:27:29,3,24,6,308,24555,2020,17,11,1159,633,3.6%,42.1%,62.9%
Value,2020-05-14 00:28:26,3,24,6,652,24555,2024,8,6,1159,634,2.7%,42.1%,62.9%
Value,2020-05-14 00:29:24,6,24,6,105,24555,1995,13,5,1166,636,3.7%,42.1%,62.9%
Value,2020-05-14 00:30:21,8,24,6,321,24555,1999,12,5,1147,618,4.0%,42.1%,62.9%
Value,2020-05-14 00:31:20,7,24,6,182,24555,1994,10,4,1143,615,5.4%,42.1%,62.9%
Value,2020-05-14 00:32:19,7,24,5,287,24555,1989,8,4,1133,606,3.4%,42.1%,62.9%
Value,2020-05-14 00:33:17,6,24,5,97,24555,1977,7,5,1151,623,3.0%,42.1%,62.9%
Value,2020-05-14 00:34:14,7,24,5,161,24555,1961,11,6,1146,617,3.6%,42.1%,62.9%
Value,2020-05-14 00:35:14,9,24,5,152,24555,1902,12,6,1139,611,3.7%,42.1%,62.9%
Value,2020-05-14 00:36:14,12,24,5,1169,24555,1883,13,6,1124,597,3.6%,42.1%,62.9%
Value,2020-05-14 00:37:12,10,24,5,142,24555,1833,15,3,1138,606,3.9%,42.1%,62.9%
Value,2020-05-14 00:38:11,10,24,5,303,24555,1821,14,3,1148,616,5.5%,42.1%,62.9%
Value,2020-05-14 00:39:08,9,24,5,509,24555,1816,10,3,1151,623,2.3%,42.1%,62.9%
Value,2020-05-14 00:40:05,9,24,5,771,24555,1814,10,5,1119,592,3.4%,42.1%,62.9%
Value,2020-05-14 00:41:03,7,24,5,160,24555,1809,9,6,1112,587,3.4%,42.1%,62.9%
Value,2020-05-14 00:41:59,7,24,5,127,24555,1801,10,4,1099,572,4.7%,42.1%,62.9%
Value,2020-05-14 00:42:58,7,24,6,101,24555,1746,11,6,1086,562,4.9%,42.1%,62.9%
Value,2020-05-14 00:43:59,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,4.8%,42.1%,62.9%
Value,2020-05-14 00:45:02,9,24,5,471,24555,1357,9,16,1093,578,6.7%,42.1%,62.9%
Value,2020-05-14 00:45:59,8,15,5,169,24555,1183,10,11,1074,551,4.2%,42.1%,62.9%
Value,2020-05-14 00:46:56,8,15,5,108,24555,1012,10,11,1076,553,4.3%,42.1%,62.9%
Value,2020-05-14 00:47:54,7,15,5,84,14313,843,14,11,1083,556,4.8%,42.1%,62.9%
Value,2020-05-14 00:48:50,7,15,5,112,14313,743,15,5,1070,536,1.8%,42.1%,62.9%
Value,2020-05-14 00:49:46,7,15,5,226,14313,610,18,5,1092,557,3.4%,42.1%,62.9%
Value,2020-05-14 00:50:44,8,15,5,153,14313,582,19,6,1092,559,5.0%,42.1%,62.9%
Value,2020-05-14 00:51:43,7,15,5,134,14313,543,12,5,1067,535,3.4%,42.1%,62.9%
Value,2020-05-14 00:52:40,6,15,5,115,14313,540,18,6,1086,554,3.4%,42.2%,62.9%
Value,2020-05-14 00:53:37,10,15,5,370,6366,331,14,6,1118,589,4.6%,42.1%,62.9%
Value,2020-05-14 00:54:34,10,15,5,607,6366,334,12,3,1085,557,6.3%,42.1%,62.9%
Value,2020-05-14 00:55:31,9,15,6,280,6366,317,14,3,1073,543,1.5%,42.1%,62.9%
Value,2020-05-14 00:56:28,7,15,6,101,6366,313,11,4,1080,552,4.2%,42.1%,63.1%
Value,2020-05-14 00:57:27,8,15,6,607,6366,325,7,4,1050,525,4.8%,42.1%,63.2%
Value,2020-05-14 00:58:26,7,15,6,310,6366,318,9,4,1054,526,6.7%,42.1%,63.3%
Value,2020-05-14 00:59:26,8,15,6,676,6366,334,7,5,1046,520,6.2%,42.1%,63.4%
Value,2020-05-14 01:00:27,6,15,6,76,6366,323,8,6,1059,535,6.2%,42.1%,63.6%
Value,2020-05-14 01:01:28,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,6.6%,42.1%,63.7%
Value,2020-05-14 01:02:38,8,15,6,906,6366,334,7,8,1038,514,3.5%,42.2%,63.8%
Value,2020-05-14 01:03:47,8,15,6,128,6366,312,13,13,1046,522,3.6%,42.1%,63.8%
Value,2020-05-14 01:04:56,9,15,6,465,6366,319,14,13,1048,526,3.3%,42.1%,63.8%
Value,2020-05-14 01:06:07,9,15,6,1387,6366,326,9,10,1032,511,4.2%,42.1%,62.8%
Value,2020-05-14 01:07:10,7,15,6,3515,20471,434,7,7,1034,512,5.1%,42.1%,62.8%
Value,2020-05-14 01:08:14,6,15,6,56,20471,370,5,6,1030,508,3.8%,42.1%,62.8%
Value,2020-05-14 01:09:21,7,15,6,55,20471,369,8,2,1023,497,5.9%,42.1%,62.8%
Value,2020-05-14 01:10:23,7,15,7,409,20471,379,7,2,1021,494,4.9%,42.1%,62.8%
Value,2020-05-14 01:11:26,7,15,7,421,20471,370,8,2,1031,502,3.6%,42.1%,62.8%
Value,2020-05-14 01:12:26,10,15,7,849,20471,394,10,2,1088,557,3.6%,42.1%,62.8%
Value,2020-05-14 01:13:26,10,15,7,627,20471,397,9,2,1063,534,2.7%,42.1%,62.8%
Value,2020-05-14 01:14:28,12,16,7,207,20471,390,9,15,1071,554,7.4%,42.1%,62.8%
Value,2020-05-14 01:15:28,10,16,7,247,20471,387,9,17,1053,537,7.7%,42.1%,62.8%
Value,2020-05-14 01:16:29,10,16,7,653,20471,402,8,18,1056,541,6.9%,42.1%,62.8%
Value,2020-05-14 01:17:28,10,16,7,180,20471,381,11,18,1044,528,7.3%,42.1%,62.8%
Value,2020-05-14 01:18:28,10,16,7,150,20471,365,10,13,1048,529,3.1%,42.1%,62.8%
Value,2020-05-14 01:19:27,11,16,7,1073,20471,388,14,7,1076,545,3.2%,42.1%,62.8%
Value,2020-05-14 01:20:28,9,16,8,1003,20471,401,5,5,1072,544,3.6%,42.1%,62.8%
Value,2020-05-14 01:21:24,9,16,8,536,20471,401,7,3,1067,539,4.7%,42.1%,62.8%
Value,2020-05-14 01:22:24,8,16,8,622,20471,406,10,4,1066,537,4.1%,42.1%,62.8%
Value,2020-05-14 01:23:21,7,16,8,413,20471,402,6,4,1050,522,6.0%,42.1%,62.8%
Value,2020-05-14 01:24:19,8,16,8,95,20471,403,9,7,1098,572,2.6%,42.1%,62.8%
Value,2020-05-14 01:25:16,11,16,8,2713,20471,444,4,7,1052,528,2.0%,42.2%,62.8%
Value,2020-05-14 01:26:14,8,16,8,376,20471,447,8,8,1071,545,7.3%,42.1%,63.7%
Value,2020-05-14 01:27:11,7,16,8,402,20471,448,15,9,1093,560,5.5%,42.1%,63.7%
Value,2020-05-14 01:28:09,7,16,8,575,20471,447,7,11,1095,573,2.2%,42.1%,63.7%
Value,2020-05-14 01:29:08,6,16,8,98,20471,447,11,5,1114,584,1.8%,42.1%,63.7%
Value,2020-05-14 01:30:07,7,16,8,282,20471,448,10,6,1091,560,2.4%,42.2%,63.7%
Value,2020-05-14 01:31:06,6,16,8,186,20471,446,8,5,1065,536,3.6%,42.1%,62.9%
Value,2020-05-14 01:32:05,8,16,8,496,20471,452,10,7,1061,534,5.7%,42.1%,62.9%
Value,2020-05-14 01:33:06,15,20,8,2143,20471,488,14,6,1136,606,4.2%,42.1%,62.9%
Value,2020-05-14 01:34:05,12,20,8,790,20471,496,10,7,1112,587,3.7%,42.1%,62.9%
Value,2020-05-14 01:35:05,12,20,8,3856,20471,609,11,8,1096,570,4.5%,42.1%,62.9%
Value,2020-05-14 01:36:04,8,20,8,208,20471,540,6,8,1079,558,4.3%,42.1%,62.9%
Value,2020-05-14 01:37:03,9,20,8,556,20471,548,9,11,1101,573,5.2%,42.1%,62.9%
Value,2020-05-14 01:38:02,17,20,8,6308,20471,647,21,10,1071,532,6.3%,42.1%,62.9%
Value,2020-05-14 01:39:02,11,21,9,8147,48315,932,3,9,1045,523,6.1%,42.1%,62.9%
Value,2020-05-14 01:40:01,9,21,8,411,48315,771,4,9,1034,512,3.4%,42.1%,62.9%
Value,2020-05-14 01:40:59,11,21,9,870,48315,793,1,6,1028,506,3.5%,42.1%,62.9%
Value,2020-05-14 01:41:58,10,21,9,109,48315,783,4,8,1052,531,3.5%,42.2%,62.9%
Value,2020-05-14 01:42:56,9,21,9,150,48315,785,4,8,1048,525,3.7%,42.2%,62.9%
Value,2020-05-14 01:43:54,8,21,9,71,48315,782,5,4,1055,526,3.7%,42.1%,62.9%
Value,2020-05-14 01:44:55,8,21,9,128,48315,777,4,4,1055,527,3.8%,42.1%,62.9%
Value,2020-05-14 01:45:56,10,21,9,731,48315,787,7,9,1050,527,3.8%,42.1%,62.9%
Value,2020-05-14 01:46:57,9,21,9,1088,48315,815,12,11,1046,520,3.8%,42.1%,62.9%
Value,2020-05-14 01:47:57,8,21,9,482,48315,812,5,10,1041,519,3.7%,42.1%,62.9%
Value,2020-05-14 01:48:56,8,21,9,69,48315,808,0,9,1035,516,3.6%,42.1%,62.9%
Value,2020-05-14 01:49:55,10,21,9,48,48315,806,5,10,1044,522,3.2%,42.1%,62.9%
Value,2020-05-14 01:50:55,10,21,9,61,48315,805,3,6,1035,511,3.5%,42.2%,62.9%
Value,2020-05-14 01:51:55,8,21,9,374,48315,814,3,4,1046,521,3.8%,42.2%,63.6%
Value,2020-05-14 01:52:54,8,21,9,69,48315,806,4,5,1034,509,6.9%,42.1%,63.7%
Value,2020-05-14 01:53:53,9,21,9,84,48315,801,5,5,1043,517,3.1%,42.1%,63.7%
Value,2020-05-14 01:54:52,7,21,9,69,48315,794,5,3,1032,504,3.1%,42.1%,63.7%
Value,2020-05-14 01:55:50,8,21,9,78,48315,794,5,4,1054,527,3.9%,42.1%,63.7%
Value,2020-05-14 01:56:47,1.67%,"'3128': 0, '443': 0, '80': 0, '8000': 0, '8080': 0",0%,Forward,Off,Enabled,4.2%,42.1%,63.7%
Value,2020-05-14 01:57:43,10,21,9,607,48315,809,8,6,1053,524,6.0%,42.1%,63.7%
Value,2020-05-14 01:58:42,8,21,9,414,48315,804,7,9,1074,551,4.3%,42.1%,63.7%
Value,2020-05-14 01:59:40,9,21,9,566,48315,817,12,14,1076,553,3.8%,42.1%,63.7%
Value,2020-05-14 02:00:38,6,21,9,64,48315,809,12,12,1062,539,3.5%,42.1%,63.7%
Value,2020-05-14 02:01:39,5,21,9,137,48315,800,14,12,1056,532,5.3%,42.1%,63.7%
Value,2020-05-14 02:02:38,5,21,9,82,48315,796,18,15,1049,523,3.3%,42.1%,63.7%
Value,2020-05-14 02:03:37,5,21,9,74,48315,790,16,15,1042,517,4.1%,42.1%,63.7%
